work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-balanced-3, 10, 400, 10, 10, 331.27, 6.88329718, , 0, , 29.6, 28.6
balanced-3, 10, 400, 10, 10, 458.34, 9.33736998, 24, 3.35629, 89636, 32.8, 32.5
base-balanced-3, 10, 400, 10, 10, 335.02, 6.80828466, , 0, , 31.1, 31.0
balanced-3, 10, 400, 10, 10, 449.49, 9.27027172, 21, 7.73320700000001, 78377, 33.0, 32.5
base-balanced-3, 10, 400, 10, 10, 309.22, 6.63499649, , 0, , 32.0, 33.4
balanced-3, 10, 400, 10, 10, 511.20, 9.58528888, 18, 4.873723, 67298, 33.5, 31.5
base-balanced-3, 10, 400, 10, 10, 411.33, 7.14147721, , 0, , 39.6, 39.0
balanced-3, 10, 400, 10, 10, 615.95, 10.02429801, 20, 8.207201, 74723, 38.9, 38.5
base-balanced-3, 10, 400, 10, 10, 539.91, 7.61550141, , 0, , 35.4, 35.4
balanced-3, 10, 400, 10, 10, 738.99, 10.49735559, 33, 6.23455300000001, 122511, 33.0, 32.0
base-balanced-3, 10, 400, 10, 10, 444.95, 7.14818414, , 0, , 38.4, 38.8
balanced-3, 10, 400, 10, 10, 623.30, 9.77770480, 21, 9.26790200000001, 78522, 36.1, 33.9
base-balanced-3, 10, 400, 10, 10, 613.65, 7.73918351, , 0, , 55.5, 36.8
balanced-3, 10, 400, 10, 10, 713.20, 10.10404263, 26, 2.466825, 96589, 42.2, 35.9
base-balanced-3, 10, 400, 10, 10, 513.86, 7.41628346, , 0, , 35.0, 36.8
balanced-3, 10, 400, 10, 10, 742.68, 10.30276094, 27, 5.342797, 100834, 43.8, 35.9
base-balanced-3, 10, 400, 10, 10, 610.23, 7.90160728, , 0, , 36.4, 35.4
balanced-3, 10, 400, 10, 10, 897.49, 10.89135331, 15, 6.771112, 56277, 44.0, 38.8
base-balanced-3, 10, 400, 10, 10, 566.43, 7.61398567, , 0, , 40.2, 39.2
balanced-3, 10, 400, 10, 10, 686.51, 9.90805159, 17, 4.05699300000001, 63636, 43.0, 38.5
base-balanced-3, 10, 400, 10, 10, 335.65, 6.83531758, , 0, , 35.4, 35.9
balanced-3, 10, 400, 10, 10, 641.27, 10.10755141, 21, 3.397063, 78456, 34.5, 33.4
base-balanced-3, 10, 400, 10, 10, 378.62, 7.00647819, , 0, , 33.5, 34.9
balanced-3, 10, 400, 10, 10, 748.15, 10.51131394, 15, 6.28534400000001, 56127, 34.0, 32.5
base-balanced-3, 10, 400, 10, 10, 563.74, 7.72611585, , 0, , 36.4, 36.8
balanced-3, 10, 400, 10, 10, 804.08, 10.49667419, 16, 3.7315, 59920, 40.2, 35.4
base-balanced-3, 10, 400, 10, 10, 518.33, 7.54571765, , 0, , 46.1, 42.1
balanced-3, 10, 400, 10, 10, 640.47, 10.08435306, 12, 3.52396400000001, 45051, 35.2, 36.2
base-balanced-3, 10, 400, 10, 10, 413.86, 7.12425058, , 0, , 37.9, 35.9
balanced-3, 10, 400, 10, 10, 495.20, 9.51053477, 19, 8.993531, 71099, 34.5, 34.4
base-balanced-3, 10, 400, 10, 10, 489.07, 7.44494340, , 0, , 34.0, 33.9
balanced-3, 10, 400, 10, 10, 637.42, 10.05414429, 28, 4.659734, 104184, 37.6, 34.4
base-balanced-3, 10, 400, 10, 10, 350.12, 6.93107650, , 0, , 33.0, 33.0
balanced-3, 10, 400, 10, 10, 503.39, 9.54453329, 24, 4.59930700000001, 89340, 34.0, 33.0
base-balanced-3, 10, 400, 10, 10, 437.12, 7.16545690, , 0, , 35.0, 35.9
balanced-3, 10, 400, 10, 10, 553.57, 9.76065424, 18, 9.095552, 67198, 33.5, 33.0
base-balanced-3, 10, 400, 10, 10, 487.70, 7.44845370, , 0, , 34.0, 35.9
balanced-3, 10, 400, 10, 10, 444.96, 9.39457558, 30, 4.683537, 111326, 35.0, 33.0
base-balanced-3, 10, 400, 10, 10, 455.89, 7.36724135, , 0, , 44.6, 42.6
balanced-3, 10, 400, 10, 10, 589.79, 9.93407817, 28, 6.05445800000001, 104010, 61.5, 34.4
base-balanced-3, 10, 400, 10, 10, 378.33, 7.01399602, , 0, , 47.1, 41.5
balanced-3, 10, 400, 10, 10, 623.78, 10.00267846, 25, 5.48641000000001, 93167, 33.5, 33.9
base-balanced-3, 10, 400, 10, 10, 462.57, 7.34524979, , 0, , 38.6, 35.9
balanced-3, 10, 400, 10, 10, 580.88, 9.87641154, 16, 4.763778, 59931, 43.2, 35.9
base-balanced-3, 10, 400, 10, 10, 482.70, 7.48704544, , 0, , 35.0, 36.2
balanced-3, 10, 400, 10, 10, 565.97, 9.85274515, 36, 7.17151100000001, 133842, 33.5, 33.0
