work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-microopt-2, 10, 400, 10, 10, 16, 164.72, 3.70988479, , 0, , 1, 28.1, 26.8, 31.2, 29.1
microopt-2, 10, 400, 10, 10, 16, 276.47, 5.95590331, 26, 10.16343, 85224, 1, 32.8, 29.4, 37.9, 32.2
base-microopt-2, 10, 400, 10, 10, 16, 161.74, 3.65865953, , 0, , 1, 33.0, 30.1, 32.0, 29.1
microopt-2, 10, 400, 10, 10, 16, 280.56, 5.94044603, 21, 8.23308300000002, 69576, 1, 34.9, 30.9, 31.5, 29.6
base-microopt-2, 10, 400, 10, 10, 16, 167.51, 3.65370367, , 0, , 1, 32.0, 30.1, 34.0, 30.1
microopt-2, 10, 400, 10, 10, 16, 259.57, 5.88614616, 17, 14.558649, 56467, 1, 33.5, 30.6, 33.5, 29.6
base-microopt-2, 10, 400, 10, 10, 16, 168.46, 3.66779429, , 0, , 1, 32.8, 30.1, 34.2, 30.9
microopt-2, 10, 400, 10, 10, 16, 279.02, 5.94877834, 14, 8.13966399999998, 46383, 1, 32.5, 30.5, 35.2, 32.2
base-microopt-2, 10, 400, 10, 10, 16, 163.74, 3.65991197, , 0, , 1, 32.8, 30.1, 36.1, 32.2
microopt-2, 10, 400, 10, 10, 16, 244.30, 5.24743509, 22, 9.22796599999998, 72492, 1, 32.8, 29.6, 32.5, 30.1
base-microopt-2, 10, 400, 10, 10, 16, 167.55, 3.65991569, , 0, , 1, 32.5, 30.5, 32.5, 30.5
microopt-2, 10, 400, 10, 10, 16, 269.43, 5.92611493, 29, 8.87863099999998, 94919, 1, 32.5, 30.5, 33.0, 30.1
base-microopt-2, 10, 400, 10, 10, 16, 165.29, 3.66598223, , 0, , 1, 32.0, 30.5, 33.5, 30.9
microopt-2, 10, 400, 10, 10, 16, 276.73, 5.96100929, 14, 7.66967499999998, 46484, 1, 35.4, 32.2, 38.4, 35.1
base-microopt-2, 10, 400, 10, 10, 16, 169.83, 3.65090560, , 0, , 1, 34.5, 32.1, 37.4, 34.1
microopt-2, 10, 400, 10, 10, 16, 279.24, 5.98644283, 24, 3.96990399999999, 79092, 1, 36.4, 35.1, 33.5, 30.5
base-microopt-2, 10, 400, 10, 10, 16, 171.15, 3.66363597, , 0, , 1, 33.0, 31.0, 34.4, 30.4
microopt-2, 10, 400, 10, 10, 16, 268.62, 5.89031631, 31, 3.58992499999999, 101242, 1, 37.9, 33.2, 37.4, 33.5
base-microopt-2, 10, 400, 10, 10, 16, 208.96, 3.80415129, , 0, , 1, 33.0, 30.5, 34.8, 32.8
microopt-2, 10, 400, 10, 10, 16, 406.43, 6.49924890, 20, 7.72916900000001, 66136, 1, 34.0, 32.0, 41.2, 36.6
base-microopt-2, 10, 400, 10, 10, 16, 223.08, 3.84281110, , 0, , 1, 40.4, 38.2, 34.8, 32.0
microopt-2, 10, 400, 10, 10, 16, 383.10, 6.40874036, 13, 8.44590899999997, 43830, 1, 36.4, 33.0, 51.2, 39.8
base-microopt-2, 10, 400, 10, 10, 16, 347.49, 4.20640892, , 0, , 1, 45.2, 44.2, 44.6, 35.4
microopt-2, 10, 400, 10, 10, 16, 453.37, 6.22927069, 17, 6.52945499999998, 56435, 1, 38.9, 35.9, 50.0, 43.5
base-microopt-2, 10, 400, 10, 10, 16, 314.59, 4.20951009, , 0, , 1, 42.8, 38.5, 44.5, 38.5
microopt-2, 10, 400, 10, 10, 16, 422.19, 6.49798775, 25, 4.01311299999998, 81621, 1, 39.8, 36.4, 36.4, 33.5
base-microopt-2, 10, 400, 10, 10, 16, 270.91, 4.07219542, , 0, , 1, 35.0, 33.0, 44.6, 40.1
microopt-2, 10, 400, 10, 10, 16, 443.28, 6.60328016, 19, 6.50483100000002, 63005, 1, 43.0, 42.0, 52.9, 38.2
base-microopt-2, 10, 400, 10, 10, 16, 284.85, 4.19082708, , 0, , 1, 60.0, 39.4, 36.4, 33.8
microopt-2, 10, 400, 10, 10, 16, 374.77, 6.40070863, 14, 6.51138700000001, 46545, 1, 35.8, 32.5, 43.0, 39.8
base-microopt-2, 10, 400, 10, 10, 16, 300.26, 4.21733736, , 0, , 1, 54.2, 39.4, 45.2, 40.6
microopt-2, 10, 400, 10, 10, 16, 488.69, 6.88259008, 21, 11.859592, 69426, 1, 45.8, 43.0, 44.6, 40.6
base-microopt-2, 10, 400, 10, 10, 16, 323.71, 4.36135770, , 0, , 1, 37.9, 34.9, 48.6, 40.1
microopt-2, 10, 400, 10, 10, 16, 433.63, 6.52927196, 12, 6.46616399999999, 40231, 1, 44.1, 40.9, 35.4, 33.0
base-microopt-2, 10, 400, 10, 10, 16, 265.04, 4.07791548, , 0, , 1, 35.0, 33.4, 46.9, 38.8
microopt-2, 10, 400, 10, 10, 16, 489.60, 6.78387367, 12, 10.257663, 40311, 1, 37.9, 35.4, 42.5, 38.8
base-microopt-2, 10, 400, 10, 10, 16, 266.27, 4.06620457, , 0, , 1, 39.1, 35.9, 35.4, 32.2
microopt-2, 10, 400, 10, 10, 16, 436.13, 6.63025059, 14, 8.30154499999998, 46892, 1, 35.9, 33.0, 51.5, 37.0
base-microopt-2, 10, 400, 10, 10, 16, 363.02, 4.40136577, , 0, , 1, 69.4, 36.9, 55.5, 44.0
microopt-2, 10, 400, 10, 10, 16, 498.31, 6.95728251, 16, 9.72900399999997, 53417, 1, 62.0, 46.4, 37.4, 34.4
base-microopt-2, 10, 400, 10, 10, 16, 329.92, 4.12716740, , 0, , 1, 36.9, 34.4, 58.5, 35.9
microopt-2, 10, 400, 10, 10, 16, 305.26, 6.12919921, 31, 9.45580200000001, 101688, 1, 61.9, 34.9, 33.8, 32.0
base-microopt-2, 10, 400, 10, 10, 16, 217.60, 3.89009156, , 0, , 1, 45.2, 33.0, 37.4, 34.4
microopt-2, 10, 400, 10, 10, 16, 360.47, 6.35102018, 35, 9.11052799999999, 114436, 1, 42.0, 38.2, 38.4, 35.1
base-microopt-2, 10, 400, 10, 10, 16, 209.22, 3.88835454, , 0, , 1, 35.9, 33.9, 45.0, 36.8
microopt-2, 10, 400, 10, 10, 16, 361.45, 6.38122062, 19, 5.27925099999999, 63127, 1, 45.2, 41.6, 35.4, 32.5
base-microopt-2, 10, 400, 10, 10, 16, 209.90, 3.89130472, , 0, , 1, 34.5, 32.0, 39.4, 33.8
microopt-2, 10, 400, 10, 10, 16, 305.43, 6.06872440, 24, 7.07710100000003, 78434, 1, 35.8, 32.5, 34.8, 32.0
base-microopt-2, 10, 400, 10, 10, 16, 188.48, 3.78352787, , 0, , 1, 33.8, 32.0, 34.8, 31.5
microopt-2, 10, 400, 10, 10, 16, 276.72, 5.96906002, 16, 9.20920899999999, 53085, 1, 34.2, 32.0, 34.0, 32.5
base-microopt-2, 10, 400, 10, 10, 16, 199.99, 3.80658183, , 0, , 1, 34.0, 32.0, 34.0, 32.0
microopt-2, 10, 400, 10, 10, 16, 311.81, 6.12578017, 22, 9.12598200000002, 72675, 1, 34.0, 32.0, 33.5, 31.5
base-microopt-2, 10, 400, 10, 10, 16, 184.86, 3.72068655, , 0, , 1, 33.0, 31.5, 34.5, 31.5
microopt-2, 10, 400, 10, 10, 16, 310.40, 6.10910828, 18, 8.48122999999998, 59736, 1, 33.5, 32.0, 33.5, 31.5
base-microopt-2, 10, 400, 10, 10, 16, 292.26, 4.23716232, , 0, , 1, 33.5, 31.5, 49.0, 43.8
microopt-2, 10, 400, 10, 10, 16, 391.70, 6.44789240, 29, 7.04048, 94745, 1, 60.1, 51.2, 35.9, 33.4
base-microopt-2, 10, 400, 10, 10, 16, 230.32, 3.95386958, , 0, , 1, 35.4, 33.0, 34.5, 32.0
microopt-2, 10, 400, 10, 10, 16, 292.22, 5.96795485, 18, 13.700831, 59882, 1, 34.5, 32.0, 34.5, 32.0
base-microopt-2, 10, 400, 10, 10, 16, 174.69, 3.66905265, , 0, , 1, 34.0, 32.0, 34.0, 32.5
microopt-2, 10, 400, 10, 10, 16, 276.55, 5.90332927, 29, 4.877229, 95010, 1, 34.0, 32.0, 36.1, 32.0
base-microopt-2, 10, 400, 10, 10, 16, 188.92, 3.74479511, , 0, , 1, 35.2, 32.0, 35.2, 32.5
base-microopt-2, 10, 400, 10, 10, 64, 179.64, 3.69790191, , 0, , 1, 34.8, 33.0, 35.2, 32.0
microopt-2, 10, 400, 10, 10, 64, 290.81, 5.97075805, 14, 13.371791, 46560, 1, 34.2, 32.5, 34.0, 32.0
base-microopt-2, 10, 400, 10, 10, 64, 177.14, 3.68438198, , 0, , 1, 34.0, 32.0, 34.8, 32.0
microopt-2, 10, 400, 10, 10, 64, 293.78, 5.98190986, 15, 7.90067099999999, 50113, 1, 34.0, 31.5, 34.5, 32.0
base-microopt-2, 10, 400, 10, 10, 64, 175.46, 3.68982482, , 0, , 1, 35.4, 33.8, 39.6, 36.1
microopt-2, 10, 400, 10, 10, 64, 283.18, 5.91897300, 21, 7.77952399999998, 69555, 1, 35.2, 33.2, 33.5, 32.0
base-microopt-2, 10, 400, 10, 10, 64, 171.04, 3.65335493, , 0, , 1, 34.0, 32.0, 33.5, 31.0
microopt-2, 10, 400, 10, 10, 64, 281.66, 5.92037511, 23, 10.411891, 75973, 1, 34.0, 32.0, 33.0, 31.5
base-microopt-2, 10, 400, 10, 10, 64, 172.20, 3.65600212, , 0, , 1, 33.0, 32.0, 34.0, 31.5
microopt-2, 10, 400, 10, 10, 64, 282.26, 5.97333001, 27, 9.36873800000001, 88571, 1, 33.0, 31.5, 34.0, 31.5
