work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-balanced-2, 10, 400, 10, 10, 341.48, 6.95367688, , 0, , 29.1, 28.1
balanced-2, 10, 400, 10, 10, 460.33, 9.31711027, 14, 6.48935300000001, 52505, 37.6, 37.0
base-balanced-2, 10, 400, 10, 10, 341.41, 6.89037067, , 0, , 31.1, 31.0
balanced-2, 10, 400, 10, 10, 471.55, 9.35609277, 12, 7.32603900000001, 45094, 31.1, 31.0
base-balanced-2, 10, 400, 10, 10, 301.08, 6.70889176, , 0, , 31.1, 31.5
balanced-2, 10, 400, 10, 10, 478.77, 9.40523236, 30, 2.759569, 111735, 38.9, 35.4
base-balanced-2, 10, 400, 10, 10, 298.10, 6.68583698, , 0, , 33.0, 34.9
balanced-2, 10, 400, 10, 10, 467.29, 9.36355370, 21, 5.180863, 78190, 41.0, 36.1
base-balanced-2, 10, 400, 10, 10, 334.72, 6.85412792, , 0, , 31.1, 31.0
balanced-2, 10, 400, 10, 10, 471.47, 9.37210128, 22, 4.23087100000001, 82071, 37.9, 37.0
base-balanced-2, 10, 400, 10, 10, 302.43, 6.71941499, , 0, , 38.4, 38.5
balanced-2, 10, 400, 10, 10, 481.97, 9.39180837, 16, 4.15785000000001, 59958, 38.4, 35.4
base-balanced-2, 10, 400, 10, 10, 353.57, 6.85698050, , 0, , 31.5, 32.0
balanced-2, 10, 400, 10, 10, 527.68, 9.62034978, 33, 6.83563500000001, 122553, 43.2, 36.6
base-balanced-2, 10, 400, 10, 10, 304.59, 6.71094265, , 0, , 31.5, 32.5
balanced-2, 10, 400, 10, 10, 544.53, 9.62703802, 13, 5.730699, 48811, 33.0, 31.5
base-balanced-2, 10, 400, 10, 10, 335.58, 6.74875004, , 0, , 31.5, 32.5
balanced-2, 10, 400, 10, 10, 502.74, 9.44157738, 17, 6.881821, 63623, 34.0, 33.4
base-balanced-2, 10, 400, 10, 10, 349.19, 6.80221293, , 0, , 33.0, 34.4
balanced-2, 10, 400, 10, 10, 528.76, 9.51785765, 20, 5.778807, 74719, 35.9, 32.5
base-balanced-2, 10, 400, 10, 10, 520.69, 7.48379154, , 0, , 37.9, 42.2
balanced-2, 10, 400, 10, 10, 657.31, 10.20318552, 20, 6.80672100000001, 74614, 44.2, 44.5
base-balanced-2, 10, 400, 10, 10, 338.58, 6.88440320, , 0, , 36.4, 33.4
balanced-2, 10, 400, 10, 10, 427.54, 9.13782270, 33, 4.872483, 122648, 33.0, 35.4
base-balanced-2, 10, 400, 10, 10, 334.91, 6.85709083, , 0, , 33.5, 32.5
