work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
gradient-descent-1, 10, 400, 10, 10, 395.27, 7.30301293, 26, 7.29306600000001, 85897, 33.0, 32.039.9, 33.2
base-gradient-descent-1, 10, 400, 10, 10, 218.16, 4.28237981, , 0, , 34.4, 32.548.9, 33.2
gradient-descent-1, 10, 400, 10, 10, 414.55, 7.93544011, 24, 13.106409, 79123, 46.4, 38.035.0, 31.8
base-gradient-descent-1, 10, 400, 10, 10, 214.61, 4.25997593, , 0, , 33.2, 32.037.9, 37.5
gradient-descent-1, 10, 400, 10, 10, 383.36, 7.86258811, 28, 12.88955, 91981, 35.0, 32.039.9, 33.0
base-gradient-descent-1, 10, 400, 10, 10, 198.62, 4.19369754, , 0, , 34.5, 32.037.4, 39.8
gradient-descent-1, 10, 400, 10, 10, 389.81, 7.87523006, 18, 8.567021, 60001, 35.0, 31.643.8, 33.9
base-gradient-descent-1, 10, 400, 10, 10, 207.05, 4.21529268, , 0, , 34.5, 33.539.4, 36.1
gradient-descent-1, 10, 400, 10, 10, 379.23, 7.86979719, 40, 7.25681, 130584, 37.9, 33.542.8, 35.6
base-gradient-descent-1, 10, 400, 10, 10, 197.36, 4.18613350, , 0, , 35.4, 33.041.2, 33.8
gradient-descent-1, 10, 400, 10, 10, 357.04, 7.14866918, 27, 10.479281, 88943, 35.8, 32.041.5, 35.1
base-gradient-descent-1, 10, 400, 10, 10, 218.17, 4.27115622, , 0, , 35.4, 31.635.9, 32.0
gradient-descent-1, 10, 400, 10, 10, 389.16, 7.84637853, 32, 8.26884700000001, 105232, 39.4, 32.533.5, 33.0
base-gradient-descent-1, 10, 400, 10, 10, 187.44, 4.16736122, , 0, , 33.0, 31.636.1, 31.8
gradient-descent-1, 10, 400, 10, 10, 370.98, 7.80220009, 22, 13.563344, 72772, 38.6, 35.141.5, 34.6
base-gradient-descent-1, 10, 400, 10, 10, 195.38, 4.19686643, , 0, , 33.8, 32.042.8, 31.8
base-gradient-descent-1, 10, 400, 10, 10, 193.22, 4.14531836, , 0, , 34.0, 32.034.4, 30.9
gradient-descent-1, 10, 400, 10, 10, 363.64, 7.75059444, 29, 8.77594000000001, 95570, 33.0, 31.538.4, 36.4
base-gradient-descent-1, 10, 400, 10, 10, 208.44, 4.24370908, , 0, , 34.2, 32.237.9, 35.6
gradient-descent-1, 10, 400, 10, 10, 383.45, 7.82022869, 28, 12.323847, 92503, 33.5, 32.038.4, 34.1
base-gradient-descent-1, 10, 400, 10, 10, 185.62, 4.17613618, , 0, , 33.0, 32.538.4, 32.2
gradient-descent-1, 10, 400, 10, 10, 385.04, 7.88007957, 23, 12.522643, 75901, 33.5, 31.533.0, 31.5
base-gradient-descent-1, 10, 400, 10, 10, 191.87, 4.17858246, , 0, , 33.0, 31.042.0, 32.8
gradient-descent-1, 10, 400, 10, 10, 415.48, 7.97722719, 13, 14.969316, 43798, 33.0, 32.033.2, 30.5
base-gradient-descent-1, 10, 400, 10, 10, 195.45, 4.19388455, , 0, , 32.5, 30.533.2, 29.6
gradient-descent-1, 10, 400, 10, 10, 355.20, 7.75908109, 21, 8.92576600000001, 70089, 32.8, 30.533.0, 31.0
base-gradient-descent-1, 10, 400, 10, 10, 186.80, 4.14527260, , 0, , 32.5, 31.531.1, 30.5
gradient-descent-1, 10, 400, 10, 10, 381.67, 7.88140599, 25, 10.628576, 81771, 31.5, 31.034.0, 31.5
base-gradient-descent-1, 10, 400, 10, 10, 189.37, 4.17974004, , 0, , 33.0, 31.534.2, 33.8
gradient-descent-1, 10, 400, 10, 10, 367.81, 7.81700564, 21, 13.461913, 69749, 32.2, 31.032.8, 31.2
base-gradient-descent-1, 10, 400, 10, 10, 192.96, 4.19786227, , 0, , 32.8, 32.034.9, 31.5
