work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
cec-sandwich, 10, 400, 25, 10, 445.98, 9.06836134, 42, 3.79029099999997, 155765
base-cec-sandwich, 10, 400, 25, 10, 315.24, 6.60109623, , 0, 
cec-sandwich, 10, 400, 25, 10, 446.21, 9.06985191, 43, 3.938109, 159555
base-cec-sandwich, 10, 400, 25, 10, 336.63, 6.61320161, , 0, 
cec-sandwich, 10, 400, 25, 10, 436.97, 9.02114935, 37, 4.89354399999996, 137690
base-cec-sandwich, 10, 400, 25, 10, 317.18, 6.59128212, , 0, 
cec-sandwich, 10, 400, 25, 10, 449.70, 9.11496295, 65, 2.33022199999999, 240959
base-cec-sandwich, 10, 400, 25, 10, 327.58, 6.62603713, , 0, 
cec-sandwich, 10, 400, 25, 10, 440.53, 8.99432014, 29, 2.552547, 108042
base-cec-sandwich, 10, 400, 25, 10, 326.80, 6.63364806, , 0, 
cec-sandwich, 10, 400, 25, 10, 443.85, 9.04056545, 34, 2.36283700000001, 126438
base-cec-sandwich, 10, 400, 25, 10, 323.10, 6.60034244, , 0, 
cec-sandwich, 10, 400, 25, 10, 446.35, 9.03960787, 47, 5.22333399999997, 174327
base-cec-sandwich, 10, 400, 25, 10, 324.65, 6.61548831, , 0, 
cec-sandwich, 10, 400, 25, 10, 435.34, 9.03977199, 66, 4.42894899999999, 245018
base-cec-sandwich, 10, 400, 25, 10, 325.45, 6.55699712, , 0, 
cec-sandwich, 10, 400, 25, 10, 431.51, 9.06921147, 55, 4.02151099999998, 204078
base-cec-sandwich, 10, 400, 25, 10, 330.27, 6.67802236, , 0, 
cec-sandwich, 10, 400, 25, 10, 446.32, 9.03947461, 42, 3.76332500000001, 156331
base-cec-sandwich, 10, 400, 25, 10, 313.90, 6.54842457, , 0, 
cec-sandwich, 10, 400, 25, 10, 431.63, 8.99529308, 47, 4.56626299999999, 174618
base-cec-sandwich, 10, 400, 25, 10, 323.36, 6.61967580, , 0, 
cec-sandwich, 10, 400, 25, 10, 440.02, 9.00796605, 34, 3.11122799999998, 126427
base-cec-sandwich, 10, 400, 25, 10, 318.63, 6.61691257, , 0, 
cec-sandwich, 10, 400, 25, 10, 433.82, 9.01856684, 49, 3.189706, 181983
base-cec-sandwich, 10, 400, 25, 10, 331.41, 6.61384159, , 0, 
cec-sandwich, 10, 400, 25, 10, 444.96, 9.03617529, 43, 3.74513200000001, 159670
base-cec-sandwich, 10, 400, 25, 10, 312.62, 6.59042278, , 0, 
cec-sandwich, 10, 400, 25, 10, 432.94, 8.99638033, 48, 4.06881399999997, 178148
base-cec-sandwich, 10, 400, 25, 10, 328.79, 6.60593520, , 0, 
cec-sandwich, 10, 400, 25, 10, 436.15, 8.96592056, 48, 4.83703299999996, 177880
base-cec-sandwich, 10, 400, 25, 10, 336.75, 6.62458117, , 0, 
cec-sandwich, 10, 400, 25, 10, 449.53, 9.08619915, 110, 3.81653999999997, 407183
base-cec-sandwich, 10, 400, 25, 10, 333.85, 6.65228667, , 0, 
cec-sandwich, 10, 400, 25, 10, 441.90, 9.02866713, 50, 1.36913499999997, 185554
base-cec-sandwich, 10, 400, 25, 10, 321.23, 6.63411609, , 0, 
cec-sandwich, 10, 400, 25, 10, 441.25, 9.03755963, 43, 3.78509199999996, 159482
base-cec-sandwich, 10, 400, 25, 10, 324.38, 6.61327065, , 0, 
cec-sandwich, 10, 400, 25, 10, 441.55, 9.00813500, 40, 4.60805199999999, 148741
base-cec-sandwich, 10, 400, 25, 10, 324.57, 6.67279658, , 0, 
cec-sandwich, 10, 400, 25, 10, 433.30, 9.06973914, 69, 2.44457899999998, 255671
base-cec-sandwich, 10, 400, 25, 10, 323.33, 6.61258409, , 0, 
cec-sandwich, 10, 400, 25, 10, 436.45, 8.98176983, 31, 1.91060099999999, 115345
base-cec-sandwich, 10, 400, 25, 10, 330.61, 6.63712129, , 0, 
cec-sandwich, 10, 400, 25, 10, 434.35, 9.00397010, 43, 4.72571599999998, 159724
base-cec-sandwich, 10, 400, 25, 10, 335.30, 6.63226867, , 0, 
cec-sandwich, 10, 400, 25, 10, 444.58, 9.07777762, 57, 3.82345099999998, 211384
base-cec-sandwich, 10, 400, 25, 10, 331.86, 6.63149198, , 0, 
cec-sandwich, 10, 400, 25, 10, 443.56, 9.04369612, 37, 3.83387699999997, 137360
cec-sandwich, 10, 400, 25, 10, 434.43, 9.00121822, 49, 3.75328999999999, 181548
base-cec-sandwich, 10, 200, 10, 10, 317.61, 6.59521905, , 0, 
cec-sandwich, 10, 200, 10, 10, 433.89, 8.98999975, 34, 4.500001, 63228
base-cec-sandwich, 10, 200, 10, 10, 318.27, 6.59834979, , 0, 
cec-sandwich, 10, 200, 10, 10, 438.51, 8.98247291, 24, 7.647606, 44848
base-cec-sandwich, 10, 200, 10, 10, 309.39, 6.60158872, , 0, 
cec-sandwich, 10, 200, 10, 10, 441.09, 9.04087705, 17, 5.95986199999999, 31786
base-cec-sandwich, 10, 200, 10, 10, 324.13, 6.60597554, , 0, 
cec-sandwich, 10, 200, 10, 10, 439.15, 9.00942288, 38, 3.57440299999996, 70592
base-cec-sandwich, 10, 200, 10, 10, 325.33, 6.66954317, , 0, 
cec-sandwich, 10, 200, 10, 10, 451.99, 9.03914607, 17, 6.29202900000001, 31860
base-cec-sandwich, 10, 200, 10, 10, 321.42, 6.58903493, , 0, 
cec-sandwich, 10, 200, 10, 10, 454.14, 9.05247899, 20, 6.567879, 37209
base-cec-sandwich, 10, 200, 10, 10, 320.09, 6.60192528, , 0, 
cec-sandwich, 10, 200, 10, 10, 447.81, 9.01699802, 36, 4.097937, 66866
base-cec-sandwich, 10, 200, 10, 10, 314.64, 6.55378254, , 0, 
cec-sandwich, 10, 200, 10, 10, 425.22, 8.95141308, 23, 6.26214399999998, 42713
base-cec-sandwich, 10, 200, 10, 10, 323.19, 6.62663155, , 0, 
cec-sandwich, 10, 200, 10, 10, 440.22, 8.98222157, 24, 3.617616, 44751
base-cec-sandwich, 10, 200, 10, 10, 327.83, 6.62600860, , 0, 
cec-sandwich, 10, 200, 10, 10, 436.78, 8.98148229, 24, 5.58966799999996, 44713
base-cec-sandwich, 10, 200, 10, 10, 314.67, 6.57770023, , 0, 
cec-sandwich, 10, 200, 10, 10, 452.06, 9.01179738, 17, 5.59459599999997, 31826
base-cec-sandwich, 10, 200, 10, 10, 321.15, 6.62419738, , 0, 
cec-sandwich, 10, 200, 10, 10, 451.49, 9.05265896, 39, 3.92085199999997, 72334
base-cec-sandwich, 10, 200, 10, 10, 319.59, 6.63965916, , 0, 
cec-sandwich, 10, 200, 10, 10, 438.12, 9.07320631, 38, 5.51334099999997, 70571
base-cec-sandwich, 10, 200, 10, 10, 327.01, 6.60761265, , 0, 
cec-sandwich, 10, 200, 10, 10, 435.73, 9.00718687, 25, 4.30284899999998, 46631
base-cec-sandwich, 10, 200, 10, 10, 319.98, 6.58063147, , 0, 
cec-sandwich, 10, 200, 10, 10, 435.05, 9.00196470, 24, 3.94464899999997, 44599
base-cec-sandwich, 10, 200, 10, 10, 314.18, 6.54021877, , 0, 
cec-sandwich, 10, 200, 10, 10, 434.11, 8.98272007, 19, 4.79410000000001, 35583
base-cec-sandwich, 10, 200, 10, 10, 326.86, 6.61956433, , 0, 
cec-sandwich, 10, 200, 10, 10, 437.66, 8.98279089, 27, 3.88199600000002, 50298
base-cec-sandwich, 10, 200, 10, 10, 315.88, 6.59489845, , 0, 
cec-sandwich, 10, 200, 10, 10, 445.20, 9.00207468, 29, 2.20279099999999, 53952
base-cec-sandwich, 10, 200, 10, 10, 326.02, 6.59243202, , 0, 
cec-sandwich, 10, 200, 10, 10, 452.51, 9.07089990, 31, 5.13404800000001, 57689
base-cec-sandwich, 10, 200, 10, 10, 316.22, 6.58649666, , 0, 
cec-sandwich, 10, 200, 10, 10, 426.37, 8.99059172, 31, 5.97100799999998, 57647
base-cec-sandwich, 10, 200, 10, 10, 320.31, 6.63069687, , 0, 
cec-sandwich, 10, 200, 10, 10, 440.94, 9.08758951, 36, 5.56470999999999, 66808
base-cec-sandwich, 10, 200, 10, 10, 321.62, 6.60078663, , 0, 
cec-sandwich, 10, 200, 10, 10, 443.63, 9.06021341, 26, 4.48061300000001, 48463
base-cec-sandwich, 10, 200, 10, 10, 324.56, 6.62881523, , 0, 
cec-sandwich, 10, 200, 10, 10, 430.38, 8.96956355, 27, 5.25924399999997, 50215
base-cec-sandwich, 10, 200, 10, 10, 314.86, 6.59462301, , 0, 
cec-sandwich, 10, 200, 10, 10, 429.39, 8.99520961, 23, 4.72759200000002, 43008
base-cec-sandwich, 10, 200, 10, 10, 322.16, 6.60848632, , 0, 
cec-sandwich, 10, 200, 10, 10, 440.11, 9.03563027, 26, 5.92073199999999, 48406
base-cec-sandwich, 10, 200, 10, 10, 317.50, 6.58977932, , 0, 
cec-sandwich, 10, 200, 10, 10, 437.47, 8.94534146, 12, 4.35237999999998, 22706
base-cec-sandwich, 10, 200, 10, 10, 313.14, 6.59582285, , 0, 
cec-sandwich, 10, 200, 10, 10, 432.23, 8.99731023, 14, 7.15606400000001, 26172
base-cec-sandwich, 10, 200, 10, 10, 310.77, 6.59203065, , 0, 
cec-sandwich, 10, 200, 10, 10, 436.87, 9.01551083, 16, 4.27744200000001, 30107
base-cec-sandwich, 10, 200, 10, 10, 326.34, 6.63844795, , 0, 
cec-sandwich, 10, 200, 10, 10, 439.72, 8.98699664, 18, 3.96955500000001, 33625
base-cec-sandwich, 10, 200, 10, 10, 335.13, 6.63610696, , 0, 
cec-sandwich, 10, 200, 10, 10, 432.49, 9.00079516, 22, 4.61492099999998, 40984
cec-sandwich, 10, 200, 10, 10, 439.44, 9.00798759, 22, 8.14672000000002, 40907
base-cec-sandwich, 10, 200, 25, 10, 330.63, 6.62821892, , 0, 
cec-sandwich, 10, 200, 25, 10, 443.90, 9.01975636, 40, 4.01809199999997, 74420
base-cec-sandwich, 10, 200, 25, 10, 317.33, 6.58473750, , 0, 
cec-sandwich, 10, 200, 25, 10, 439.32, 9.02489348, 38, 5.04650699999996, 70603
base-cec-sandwich, 10, 200, 25, 10, 316.70, 6.58355367, , 0, 
cec-sandwich, 10, 200, 25, 10, 443.78, 9.01284918, 42, 6.10298299999999, 77917
base-cec-sandwich, 10, 200, 25, 10, 345.05, 6.68113006, , 0, 
cec-sandwich, 10, 200, 25, 10, 460.94, 9.07708734, 45, 4.88359700000001, 83320
base-cec-sandwich, 10, 200, 25, 10, 332.22, 6.63167714, , 0, 
cec-sandwich, 10, 200, 25, 10, 447.23, 9.02623425, 50, 5.15177299999999, 92442
base-cec-sandwich, 10, 200, 25, 10, 320.02, 6.62834764, , 0, 
cec-sandwich, 10, 200, 25, 10, 436.46, 9.00900593, 35, 5.05520200000001, 64948
base-cec-sandwich, 10, 200, 25, 10, 330.02, 6.63692123, , 0, 
cec-sandwich, 10, 200, 25, 10, 458.53, 9.06597707, 43, 4.92832399999998, 79686
base-cec-sandwich, 10, 200, 25, 10, 324.36, 6.63724364, , 0, 
cec-sandwich, 10, 200, 25, 10, 436.77, 9.01130774, 35, 3.40067299999998, 64848
base-cec-sandwich, 10, 200, 25, 10, 313.49, 6.55482160, , 0, 
cec-sandwich, 10, 200, 25, 10, 446.17, 9.01249270, 72, 2.73888299999999, 133347
base-cec-sandwich, 10, 200, 25, 10, 317.60, 6.62069325, , 0, 
cec-sandwich, 10, 200, 25, 10, 454.45, 9.13057582, 46, 3.308943, 85180
base-cec-sandwich, 10, 200, 25, 10, 325.71, 6.60690806, , 0, 
cec-sandwich, 10, 200, 25, 10, 439.97, 9.02418967, 75, 5.23231299999998, 138900
base-cec-sandwich, 10, 200, 25, 10, 317.01, 6.59830258, , 0, 
cec-sandwich, 10, 200, 25, 10, 440.44, 9.00747812, 57, 3.932772, 105733
base-cec-sandwich, 10, 200, 25, 10, 327.69, 6.60983928, , 0, 
cec-sandwich, 10, 200, 25, 10, 448.51, 9.02931739, 70, 5.18192999999997, 129655
base-cec-sandwich, 10, 200, 25, 10, 334.62, 6.63670974, , 0, 
cec-sandwich, 10, 200, 25, 10, 439.70, 9.00173425, 30, 3.33021400000001, 55803
base-cec-sandwich, 10, 200, 25, 10, 333.50, 6.65445810, , 0, 
cec-sandwich, 10, 200, 25, 10, 448.91, 9.08930936, 54, 2.43172499999997, 100249
base-cec-sandwich, 10, 200, 25, 10, 333.27, 6.69106459, , 0, 
cec-sandwich, 10, 200, 25, 10, 448.35, 9.04192395, 37, 4.61944299999999, 68844
base-cec-sandwich, 10, 200, 25, 10, 341.89, 6.65095644, , 0, 
cec-sandwich, 10, 200, 25, 10, 453.82, 9.06700777, 47, 3.48177499999997, 86978
base-cec-sandwich, 10, 200, 25, 10, 317.52, 6.56368261, , 0, 
cec-sandwich, 10, 200, 25, 10, 449.51, 9.03444169, 62, 5.04249099999998, 115166
base-cec-sandwich, 10, 200, 25, 10, 322.20, 6.64272083, , 0, 
cec-sandwich, 10, 200, 25, 10, 443.61, 9.03723910, 38, 5.054709, 70544
base-cec-sandwich, 10, 200, 25, 10, 312.53, 6.58391025, , 0, 
cec-sandwich, 10, 200, 25, 10, 441.16, 9.10004628, 26, 3.737278, 48367
base-cec-sandwich, 10, 200, 25, 10, 317.54, 6.60094249, , 0, 
cec-sandwich, 10, 200, 25, 10, 452.44, 9.01712168, 65, 4.29839899999996, 120307
base-cec-sandwich, 10, 200, 25, 10, 336.97, 6.65649228, , 0, 
cec-sandwich, 10, 200, 25, 10, 431.55, 8.97923865, 46, 5.24457799999999, 85087
base-cec-sandwich, 10, 200, 25, 10, 328.29, 6.64531230, , 0, 
cec-sandwich, 10, 200, 25, 10, 443.68, 9.01864792, 98, 4.40837199999999, 181193
base-cec-sandwich, 10, 200, 25, 10, 326.11, 6.64847498, , 0, 
cec-sandwich, 10, 200, 25, 10, 441.92, 9.03645248, 36, 3.95143000000002, 66672
base-cec-sandwich, 10, 200, 25, 10, 327.82, 6.63024169, , 0, 
cec-sandwich, 10, 200, 25, 10, 484.08, 9.17587414, 41, 5.71893299999999, 76104
base-cec-sandwich, 10, 200, 25, 10, 325.15, 6.59523319, , 0, 
cec-sandwich, 10, 200, 25, 10, 435.81, 8.96522675, 33, 3.82299399999999, 61433
base-cec-sandwich, 10, 200, 25, 10, 323.66, 6.62355322, , 0, 
cec-sandwich, 10, 200, 25, 10, 440.23, 9.04685039, 66, 4.80293399999999, 122311
base-cec-sandwich, 10, 200, 25, 10, 316.30, 6.60178028, , 0, 
cec-sandwich, 10, 200, 25, 10, 447.77, 9.02815759, 46, 5.85091199999999, 85499
base-cec-sandwich, 10, 200, 25, 10, 321.35, 6.59183079, , 0, 
cec-sandwich, 10, 200, 25, 10, 443.33, 9.06630408, 29, 4.79414800000001, 53779
base-cec-sandwich, 10, 200, 25, 10, 325.34, 6.62436748, , 0, 
cec-sandwich, 10, 200, 25, 10, 436.14, 8.99634669, 46, 3.20174199999997, 85316
cec-sandwich, 10, 200, 25, 10, 441.73, 8.99815107, 29, 4.42765900000001, 54043
base-cec-sandwich, 5, 400, 10, 10, 331.54, 6.62820172, , 0, 
cec-sandwich, 5, 400, 10, 10, 454.18, 9.05822463, 23, 0.219867999999963, 85756
base-cec-sandwich, 5, 400, 10, 10, 320.70, 6.58499055, , 0, 
cec-sandwich, 5, 400, 10, 10, 435.02, 8.96711529, 23, 0.112294999999961, 85765
base-cec-sandwich, 5, 400, 10, 10, 328.12, 6.61919207, , 0, 
cec-sandwich, 5, 400, 10, 10, 440.05, 9.05844747, 28, 0.11039199999999, 104666
base-cec-sandwich, 5, 400, 10, 10, 313.99, 6.55826474, , 0, 
cec-sandwich, 5, 400, 10, 10, 443.41, 9.08825319, 36, 0.0818909999999846, 134369
base-cec-sandwich, 5, 400, 10, 10, 315.93, 6.61050928, , 0, 
cec-sandwich, 5, 400, 10, 10, 452.57, 9.08497963, 16, 0.224866999999961, 59955
base-cec-sandwich, 5, 400, 10, 10, 328.55, 6.65458727, , 0, 
cec-sandwich, 5, 400, 10, 10, 440.94, 9.03834443, 21, 0.284467000000006, 78660
base-cec-sandwich, 5, 400, 10, 10, 318.74, 6.58438887, , 0, 
cec-sandwich, 5, 400, 10, 10, 438.71, 9.01521734, 26, 0.0728169999999864, 97076
base-cec-sandwich, 5, 400, 10, 10, 317.93, 6.61089633, , 0, 
cec-sandwich, 5, 400, 10, 10, 428.49, 8.94096763, 15, 0.168213999999978, 56353
base-cec-sandwich, 5, 400, 10, 10, 314.61, 6.60423719, , 0, 
cec-sandwich, 5, 400, 10, 10, 440.26, 9.04070590, 13, 0.149878999999999, 48869
base-cec-sandwich, 5, 400, 10, 10, 318.90, 6.59192524, , 0, 
cec-sandwich, 5, 400, 10, 10, 432.37, 8.99782341, 40, 0.14151099999998, 148657
base-cec-sandwich, 5, 400, 10, 10, 326.55, 6.65120001, , 0, 
cec-sandwich, 5, 400, 10, 10, 450.19, 9.11053470, 17, 0.349846000000014, 63865
base-cec-sandwich, 5, 400, 10, 10, 317.13, 6.60813776, , 0, 
cec-sandwich, 5, 400, 10, 10, 445.91, 9.03186754, 29, 0.215370000000007, 108250
base-cec-sandwich, 5, 400, 10, 10, 317.32, 6.60120777, , 0, 
cec-sandwich, 5, 400, 10, 10, 433.62, 8.97824673, 18, 0.0715379999999755, 67254
base-cec-sandwich, 5, 400, 10, 10, 326.41, 6.64888374, , 0, 
cec-sandwich, 5, 400, 10, 10, 438.65, 9.05494898, 21, 0.164052999999967, 78470
base-cec-sandwich, 5, 400, 10, 10, 324.90, 6.59394935, , 0, 
cec-sandwich, 5, 400, 10, 10, 443.16, 9.00977405, 32, 0.14819, 119286
base-cec-sandwich, 5, 400, 10, 10, 325.00, 6.65989891, , 0, 
cec-sandwich, 5, 400, 10, 10, 445.13, 9.04489235, 13, 0.0677049999999895, 48856
base-cec-sandwich, 5, 400, 10, 10, 320.03, 6.61322269, , 0, 
cec-sandwich, 5, 400, 10, 10, 441.81, 9.00202116, 35, 0.0910650000000146, 130357
base-cec-sandwich, 5, 400, 10, 10, 325.88, 6.60278711, , 0, 
cec-sandwich, 5, 400, 10, 10, 450.51, 9.00350158, 20, 0.183914000000016, 74960
base-cec-sandwich, 5, 400, 10, 10, 327.85, 6.61319934, , 0, 
cec-sandwich, 5, 400, 10, 10, 452.19, 9.02929399, 12, 0.164073999999971, 45307
base-cec-sandwich, 5, 400, 10, 10, 325.14, 6.60578954, , 0, 
cec-sandwich, 5, 400, 10, 10, 436.71, 8.96494421, 13, 0.176853999999992, 48901
base-cec-sandwich, 5, 400, 10, 10, 321.50, 6.66259399, , 0, 
cec-sandwich, 5, 400, 10, 10, 438.19, 9.06780953, 32, 0.0967789999999695, 119029
base-cec-sandwich, 5, 400, 10, 10, 315.11, 6.57884509, , 0, 
cec-sandwich, 5, 400, 10, 10, 449.53, 9.05951745, 29, 0.123412999999971, 108175
base-cec-sandwich, 5, 400, 10, 10, 324.44, 6.60983462, , 0, 
cec-sandwich, 5, 400, 10, 10, 436.49, 8.99591846, 33, 0.160857999999962, 122991
base-cec-sandwich, 5, 400, 10, 10, 314.48, 6.56584007, , 0, 
cec-sandwich, 5, 400, 10, 10, 432.88, 8.95656145, 14, 0.250458999999978, 52649
base-cec-sandwich, 5, 400, 10, 10, 320.72, 6.59578802, , 0, 
cec-sandwich, 5, 400, 10, 10, 436.69, 8.95958132, 17, 0.32446699999997, 63794
base-cec-sandwich, 5, 400, 10, 10, 328.59, 6.65518956, , 0, 
cec-sandwich, 5, 400, 10, 10, 438.65, 8.99969097, 20, 0.129602999999975, 75016
base-cec-sandwich, 5, 400, 10, 10, 321.51, 6.59758091, , 0, 
cec-sandwich, 5, 400, 10, 10, 443.75, 9.02978603, 17, 0.163773999999989, 63640
base-cec-sandwich, 5, 400, 10, 10, 330.31, 6.64008652, , 0, 
cec-sandwich, 5, 400, 10, 10, 432.91, 8.97476011, 24, 0.14507599999996, 89858
base-cec-sandwich, 5, 400, 10, 10, 310.72, 6.60075251, , 0, 
cec-sandwich, 5, 400, 10, 10, 445.75, 9.01145106, 17, 0.186842000000013, 63844
base-cec-sandwich, 5, 400, 10, 10, 325.72, 6.63311468, , 0, 
cec-sandwich, 5, 400, 10, 10, 441.45, 9.03292245, 27, 0.215637000000015, 100535
cec-sandwich, 5, 400, 10, 10, 424.86, 8.99378289, 19, 0.130725999999981, 71418
base-cec-sandwich, 5, 400, 25, 10, 321.13, 6.62717037, , 0, 
cec-sandwich, 5, 400, 25, 10, 425.03, 8.99386671, 35, 0.159162999999978, 130136
base-cec-sandwich, 5, 400, 25, 10, 332.33, 6.61737144, , 0, 
cec-sandwich, 5, 400, 25, 10, 449.27, 9.04946394, 65, 0.11424199999999, 241442
base-cec-sandwich, 5, 400, 25, 10, 318.42, 6.59507866, , 0, 
cec-sandwich, 5, 400, 25, 10, 439.34, 9.01323324, 33, 0.131268999999975, 122963
base-cec-sandwich, 5, 400, 25, 10, 313.76, 6.59053009, , 0, 
cec-sandwich, 5, 400, 25, 10, 435.43, 9.05549245, 54, 0.158999999999992, 200955
base-cec-sandwich, 5, 400, 25, 10, 324.05, 6.60993172, , 0, 
cec-sandwich, 5, 400, 25, 10, 429.46, 8.97701854, 73, 0.0217470000000048, 270908
base-cec-sandwich, 5, 400, 25, 10, 316.14, 6.60681632, , 0, 
