work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-gamma-upgrade-4, 10, 400, 10, 10, 16, 335.28, 5.37125339, , 0, , 2, 28.1, 28.1, 33.0, 33.4
gamma-upgrade-4, 10, 400, 10, 10, 16, 555.17, 8.04534386, 15, 13.199037, 49725, 1, 33.5, 33.0, 41.5, 37.8
base-gamma-upgrade-4, 10, 400, 10, 10, 16, 338.85, 4.52139652, , 0, , 1, 37.4, 34.4, 34.5, 32.5
gamma-upgrade-4, 10, 400, 10, 10, 16, 665.12, 8.64838283, 20, 17.13789, 65782, 1, 34.0, 32.5, 56.5, 35.9
base-gamma-upgrade-4, 10, 400, 10, 10, 16, 339.38, 4.54485269, , 0, , 1, 38.1, 36.4, 35.9, 33.5
gamma-upgrade-4, 10, 400, 10, 10, 16, 674.16, 8.75267363, 13, 10.487542, 43514, 1, 39.8, 33.5, 35.0, 33.0
base-gamma-upgrade-4, 10, 400, 10, 10, 16, 298.16, 4.32022438, , 0, , 1, 33.8, 32.5, 34.5, 32.5
gamma-upgrade-4, 10, 400, 10, 10, 16, 551.56, 7.55526502, 24, 13.809331, 78225, 1, 35.4, 33.0, 43.2, 39.8
base-gamma-upgrade-4, 10, 400, 10, 10, 16, 407.02, 4.84827456, , 0, , 1, 36.9, 35.4, 49.0, 39.8
gamma-upgrade-4, 10, 400, 10, 10, 16, 704.17, 8.86090450, 26, 10.712578, 84453, 1, 52.2, 40.6, 42.2, 39.8
base-gamma-upgrade-4, 10, 400, 10, 10, 16, 507.85, 5.36440152, , 0, , 1, 42.8, 40.1, 50.5, 38.8
gamma-upgrade-4, 10, 400, 10, 10, 16, 669.55, 8.47016147, 19, 6.12631300000001, 62168, 1, 42.5, 38.8, 37.9, 35.4
base-gamma-upgrade-4, 10, 400, 10, 10, 16, 430.67, 4.99497055, , 0, , 1, 38.1, 34.9, 43.2, 40.1
gamma-upgrade-4, 10, 400, 10, 10, 16, 741.35, 8.94275557, 38, 7.751774, 122820, 1, 40.8, 37.8, 39.4, 35.9
base-gamma-upgrade-4, 10, 400, 10, 10, 16, 351.36, 4.55148390, , 0, , 1, 36.9, 34.9, 39.1, 34.9
gamma-upgrade-4, 10, 400, 10, 10, 16, 646.74, 8.41757737, 35, 9.262474, 112398, 1, 39.8, 36.4, 36.4, 34.4
