work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-gradient-descent-4, 10, 400, 10, 10, 16, 194.68, 4.23761338, , 0, , 1, 27.2, 27.1, 31.1, 30.1
gradient-descent-4, 10, 400, 10, 10, 16, 390.38, 7.89536213, 28, 12.068418, 92444, 1, 32.0, 30.4, 40.4, 35.6
base-gradient-descent-4, 10, 400, 10, 10, 16, 258.94, 4.43450030, , 0, , 1, 47.9, 45.6, 36.9, 35.6
gradient-descent-4, 10, 400, 10, 10, 16, 360.76, 7.71342978, 13, 15.787303, 43754, 1, 39.8, 38.0, 31.2, 30.1
base-gradient-descent-4, 10, 400, 10, 10, 16, 190.76, 4.15981627, , 0, , 1, 31.5, 30.1, 33.2, 29.6
gradient-descent-4, 10, 400, 10, 10, 16, 364.47, 7.83228090, 31, 9.44734100000001, 101832, 1, 32.0, 30.1, 35.9, 33.0
base-gradient-descent-4, 10, 400, 10, 10, 16, 201.37, 4.20959406, , 0, , 1, 32.8, 30.5, 29.1, 28.6
gradient-descent-4, 10, 400, 10, 10, 16, 355.13, 7.82603243, 25, 11.140674, 82311, 1, 35.9, 34.4, 29.6, 29.1
base-gradient-descent-4, 10, 400, 10, 10, 16, 186.88, 4.15527990, , 0, , 1, 30.1, 29.6, 34.0, 30.1
gradient-descent-4, 10, 400, 10, 10, 16, 360.81, 7.74582156, 12, 11.956588, 40177, 1, 43.2, 30.5, 30.1, 29.6
base-gradient-descent-4, 10, 400, 10, 10, 16, 198.24, 4.16003655, , 0, , 1, 30.6, 30.1, 33.8, 31.4
gradient-descent-4, 10, 400, 10, 10, 16, 363.03, 7.76167272, 13, 22.253896, 43548, 1, 32.5, 31.0, 34.8, 32.0
base-gradient-descent-4, 10, 400, 10, 10, 16, 189.22, 4.19360608, , 0, , 1, 32.5, 31.5, 34.9, 30.5
gradient-descent-4, 10, 400, 10, 10, 16, 329.05, 7.02566640, 37, 5.773791, 121914, 1, 34.0, 31.2, 31.8, 29.6
base-gradient-descent-4, 10, 400, 10, 10, 16, 189.80, 4.16554983, , 0, , 1, 32.2, 30.5, 33.2, 30.1
gradient-descent-4, 10, 400, 10, 10, 16, 365.56, 7.77981995, 19, 13.330258, 63255, 1, 33.8, 30.1, 34.9, 31.5
base-gradient-descent-4, 10, 400, 10, 10, 16, 193.27, 4.15439872, , 0, , 1, 33.0, 31.5, 39.8, 30.5
gradient-descent-4, 10, 400, 10, 10, 16, 360.58, 7.77824456, 34, 6.44664400000001, 111789, 1, 32.8, 31.0, 34.5, 30.5
base-gradient-descent-4, 10, 400, 10, 10, 16, 193.71, 4.16600698, , 0, , 1, 33.5, 31.2, 41.8, 31.8
gradient-descent-4, 10, 400, 10, 10, 16, 364.38, 7.74407099, 20, 13.130048, 66761, 1, 35.4, 32.5, 33.2, 30.5
base-gradient-descent-4, 10, 400, 10, 10, 16, 188.05, 4.16329355, , 0, , 1, 33.0, 31.2, 34.2, 30.1
gradient-descent-4, 10, 400, 10, 10, 16, 316.74, 7.00035035, 22, 5.17416900000001, 72838, 1, 35.4, 31.5, 36.4, 30.1
base-gradient-descent-4, 10, 400, 10, 10, 16, 193.71, 4.17904700, , 0, , 1, 34.5, 30.5, 31.1, 30.1
gradient-descent-4, 10, 400, 10, 10, 16, 357.35, 7.76221801, 12, 23.556439, 40618, 1, 31.8, 30.5, 38.4, 31.0
base-gradient-descent-4, 10, 400, 10, 10, 16, 192.77, 4.17193881, , 0, , 1, 33.5, 31.2, 34.0, 30.5
gradient-descent-4, 10, 400, 10, 10, 16, 360.39, 7.77802493, 15, 14.961325, 49989, 1, 33.0, 31.0, 34.4, 32.8
base-gradient-descent-4, 10, 400, 10, 10, 16, 193.38, 4.17279579, , 0, , 1, 32.0, 31.5, 30.1, 29.6
gradient-descent-4, 10, 400, 10, 10, 16, 355.04, 7.74393015, 31, 8.587767, 102209, 1, 31.8, 29.6, 34.0, 32.2
base-gradient-descent-4, 10, 400, 10, 10, 16, 186.88, 4.16484885, , 0, , 1, 33.0, 31.5, 35.2, 31.8
gradient-descent-4, 10, 400, 10, 10, 16, 351.10, 7.79704070, 34, 8.193715, 111759, 1, 35.4, 30.5, 29.6, 29.6
base-gradient-descent-4, 10, 400, 10, 10, 16, 196.90, 4.20603566, , 0, , 1, 30.1, 29.6, 32.0, 30.1
gradient-descent-4, 10, 400, 10, 10, 16, 363.92, 7.74415274, 23, 13.997127, 76903, 1, 33.2, 30.5, 36.1, 32.2
base-gradient-descent-4, 10, 400, 10, 10, 16, 188.66, 4.17558830, , 0, , 1, 32.5, 31.5, 32.5, 30.1
gradient-descent-4, 10, 400, 10, 10, 16, 349.85, 7.73674687, 32, 14.896046, 105541, 1, 32.5, 30.5, 34.0, 30.1
