work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-v1, 3, 400, 10, 10, 16, 251.85, 4.09207951, , 0, , 1, 75.6, 39.6, 44.6, 40.6
v1, 3, 400, 10, 10, 16, 378.95, 6.11847129, 17, 0.314082999999982, 20440, 1, 52.8, 40.1, 70.8, 42.0
base-v1, 3, 400, 10, 10, 16, 253.35, 4.10058910, , 0, , 1, 60.1, 44.6, 66.4, 41.4
v1, 3, 400, 10, 10, 16, 377.01, 6.25542075, 15, 0.587278999999967, 17915, 1, 68.8, 41.1, 72.8, 41.1
base-v1, 3, 400, 10, 10, 16, 283.80, 4.18280418, , 0, , 1, 71.8, 41.6, 44.6, 40.1
v1, 3, 400, 10, 10, 16, 354.86, 6.04405977, 16, 0.493656999999985, 19471, 1, 45.0, 40.1, 45.1, 40.6
base-v1, 3, 400, 10, 10, 16, 258.37, 3.97456061, , 0, , 2, 44.6, 50.4, 59.2, 43.5
v1, 3, 400, 10, 10, 16, 386.41, 6.13223994, 19, 0.185847999999964, 22616, 1, 60.1, 43.0, 76.6, 41.6
base-v1, 3, 400, 10, 10, 16, 265.36, 4.06743059, , 0, , 1, 75.6, 41.1, 43.6, 41.6
v1, 3, 400, 10, 10, 16, 409.36, 6.20084967, 15, 1.07232599999998, 17959, 1, 43.2, 41.1, 74.6, 41.6
base-v1, 3, 400, 10, 10, 16, 267.45, 4.15408734, , 0, , 1, 78.1, 42.1, 78.1, 41.6
v1, 3, 400, 10, 10, 16, 373.42, 6.11800223, 18, 0.25578999999999, 21354, 1, 65.9, 41.1, 70.2, 42.1
base-v1, 3, 400, 10, 10, 16, 259.06, 4.08660192, , 0, , 1, 67.2, 41.6, 69.9, 41.1
v1, 3, 400, 10, 10, 16, 387.88, 6.12973972, 16, 0.0647730000000024, 19053, 1, 72.2, 41.1, 71.8, 42.6
base-v1, 3, 400, 10, 10, 16, 263.73, 4.01666918, , 0, , 1, 68.9, 42.6, 46.4, 42.2
v1, 3, 400, 10, 10, 16, 399.06, 6.10549704, 13, 0.238211999999976, 15672, 1, 45.9, 42.5, 60.1, 43.0
base-v1, 3, 400, 10, 10, 16, 256.14, 4.04305936, , 0, , 1, 76.6, 42.5, 65.9, 41.6
v1, 3, 400, 10, 10, 16, 382.43, 6.14046461, 18, 0.591797999999983, 21632, 1, 71.8, 41.4, 45.5, 41.1
base-v1, 3, 400, 10, 10, 16, 247.78, 4.03662174, , 0, , 1, 45.5, 41.9, 48.0, 41.6
v1, 3, 400, 10, 10, 16, 385.92, 6.10746357, 14, 0.462012000000016, 17219, 1, 44.6, 41.6, 77.6, 40.6
base-v1, 3, 400, 10, 10, 16, 254.16, 4.07241931, , 0, , 1, 67.9, 40.1, 64.9, 42.1
v1, 3, 400, 10, 10, 16, 365.37, 6.08266365, 16, 0.362158999999963, 19744, 1, 46.2, 42.6, 46.6, 41.6
base-v1, 3, 400, 10, 10, 16, 261.65, 4.09212590, , 0, , 1, 45.9, 41.1, 47.6, 41.6
v1, 3, 400, 10, 10, 16, 429.58, 6.20554997, 15, 0.14803999999998, 18293, 1, 63.0, 42.1, 70.4, 42.1
base-v1, 3, 400, 10, 10, 16, 254.25, 3.95952715, , 0, , 2, 49.4, 61.9, 42.2, 42.5
v1, 3, 400, 10, 10, 16, 380.05, 6.19831857, 21, 0.788182000000006, 24584, 1, 43.0, 42.1, 44.5, 41.1
base-v1, 3, 400, 10, 10, 16, 262.33, 4.04458191, , 0, , 1, 47.6, 40.6, 75.6, 43.0
v1, 3, 400, 10, 10, 16, 358.60, 6.08366891, 15, 0.320818999999972, 18090, 1, 75.2, 52.8, 72.2, 42.1
base-v1, 3, 400, 10, 10, 16, 253.36, 4.09178842, , 0, , 1, 65.9, 51.4, 78.1, 41.6
v1, 3, 400, 10, 10, 16, 362.51, 6.05213410, 16, 0.468350999999984, 19041, 1, 76.1, 43.2, 46.6, 40.1
base-v1, 3, 400, 10, 10, 16, 303.40, 4.21613475, , 0, , 1, 44.1, 40.1, 63.0, 49.0
v1, 3, 400, 10, 10, 16, 399.78, 6.21994850, 16, 0.341057999999975, 19032, 1, 68.9, 42.5, 74.8, 41.1
base-v1, 3, 400, 10, 10, 16, 245.16, 4.06797177, , 0, , 1, 75.6, 41.1, 73.8, 41.1
v1, 3, 400, 10, 10, 16, 413.55, 6.23524185, 18, 0.589341999999988, 21336, 1, 72.2, 41.6, 43.2, 40.6
base-v1, 3, 400, 10, 10, 16, 254.78, 3.97173896, , 0, , 2, 43.5, 49.1, 42.8, 43.5
v1, 3, 400, 10, 10, 16, 383.25, 5.93587480, 16, 0.193328000000008, 19054, 2, 42.8, 43.0, 72.2, 42.5
base-v1, 3, 400, 10, 10, 16, 241.46, 4.08333687, , 0, , 1, 71.2, 42.5, 44.1, 40.4
v1, 3, 400, 10, 10, 16, 379.85, 6.19317571, 19, 0.782917999999995, 22581, 1, 57.0, 41.1, 49.4, 41.6
base-v1, 3, 400, 10, 10, 16, 233.97, 4.06416395, , 0, , 1, 45.6, 41.6, 74.8, 40.6
v1, 3, 400, 10, 10, 16, 473.40, 6.60345015, 17, 0.357544000000019, 20662, 1, 71.2, 40.9, 48.9, 42.5
base-v1, 3, 400, 10, 10, 16, 285.45, 4.20353569, , 0, , 1, 60.1, 43.0, 54.2, 50.4
v1, 3, 400, 10, 10, 16, 421.46, 6.30002949, 17, 0.420652000000018, 20126, 1, 63.0, 45.1, 71.8, 41.9
base-v1, 3, 400, 10, 10, 16, 253.19, 4.07213948, , 0, , 1, 74.2, 41.6, 71.2, 44.2
v1, 3, 400, 10, 10, 16, 419.35, 6.23506566, 20, 0.315831000000003, 23497, 1, 71.2, 41.4, 74.8, 41.6
base-v1, 3, 400, 10, 10, 16, 266.79, 4.13044726, , 0, , 1, 72.8, 41.6, 68.2, 42.2
v1, 3, 400, 10, 10, 16, 396.76, 6.17911684, 14, 0.749831999999969, 17251, 1, 72.2, 42.1, 45.0, 41.1
base-v1, 3, 400, 10, 10, 16, 290.11, 4.13946870, , 0, , 1, 45.5, 41.6, 46.1, 43.8
v1, 3, 400, 10, 10, 16, 422.07, 6.13683170, 18, 0.325166999999965, 21125, 1, 45.6, 43.0, 69.2, 43.2
base-v1, 3, 400, 10, 10, 16, 251.54, 4.07359911, , 0, , 1, 66.8, 43.0, 62.1, 42.1
v1, 3, 400, 10, 10, 16, 349.43, 5.99184987, 16, 0.409932999999967, 19202, 1, 71.2, 42.1, 69.2, 42.5
base-v1, 3, 400, 10, 10, 16, 286.66, 4.14735469, , 0, , 1, 71.8, 42.1, 48.0, 43.2
v1, 3, 400, 10, 10, 16, 401.91, 6.18602205, 14, 0.460433999999964, 16787, 1, 45.6, 42.1, 56.1, 50.9
base-v1, 3, 400, 10, 10, 16, 277.01, 4.04557250, , 0, , 2, 46.9, 71.5, 51.6, 68.6
v1, 3, 400, 10, 10, 16, 405.97, 6.16408118, 14, 0.35580299999998, 16973, 1, 58.8, 46.1, 71.2, 41.6
base-v1, 3, 400, 10, 10, 16, 252.26, 4.06703790, , 0, , 1, 46.6, 41.6, 73.6, 41.1
v1, 3, 400, 10, 10, 16, 377.41, 6.13826661, 14, 0.850644999999986, 17303, 1, 68.8, 41.6, 45.0, 42.5
base-v1, 3, 400, 10, 10, 16, 271.27, 4.03248514, , 0, , 1, 44.6, 42.1, 45.5, 42.6
v1, 3, 400, 10, 10, 16, 407.42, 6.07371960, 17, 0.43444999999997, 20203, 1, 45.9, 43.0, 53.1, 63.8
base-v1, 3, 400, 10, 10, 16, 276.09, 4.02644213, , 0, , 2, 46.4, 62.9, 41.8, 42.5
v1, 3, 400, 10, 10, 16, 407.48, 6.32643424, 17, 0.370036999999968, 20190, 1, 57.0, 43.0, 43.5, 40.1
base-v1, 3, 400, 10, 10, 16, 231.46, 4.02443132, , 0, , 1, 43.6, 40.6, 69.9, 41.1
base-v1, 3, 400, 10, 10, 64, 260.27, 4.07980258, , 0, , 1, 63.6, 41.1, 46.1, 57.6
v1, 3, 400, 10, 10, 64, 441.56, 6.29400180, 14, 0.514197999999965, 16827, 1, 70.8, 42.1, 69.9, 52.2
base-v1, 3, 400, 10, 10, 64, 289.16, 4.11721190, , 0, , 1, 73.2, 43.0, 46.2, 65.2
v1, 3, 400, 10, 10, 64, 452.77, 6.21893872, 21, 0.289318999999978, 24716, 1, 72.2, 45.6, 69.8, 44.0
base-v1, 3, 400, 10, 10, 64, 301.97, 4.17096745, , 0, , 1, 74.2, 43.5, 75.1, 42.5
v1, 3, 400, 10, 10, 64, 433.67, 6.24089426, 16, 0.670835000000011, 19260, 1, 72.8, 42.8, 68.2, 42.5
base-v1, 3, 400, 10, 10, 64, 279.54, 4.13224384, , 0, , 1, 74.6, 42.5, 69.9, 42.5
v1, 3, 400, 10, 10, 64, 415.13, 6.23504969, 16, 0.342730000000017, 19352, 1, 71.8, 48.5, 61.5, 45.1
base-v1, 3, 400, 10, 10, 64, 292.81, 4.11251885, , 0, , 1, 49.4, 43.0, 67.2, 43.2
v1, 3, 400, 10, 10, 64, 437.00, 6.05542625, 15, 0.285173999999984, 18093, 2, 48.6, 63.8, 45.1, 44.5
base-v1, 3, 400, 10, 10, 64, 297.52, 4.18450275, , 0, , 1, 44.1, 44.0, 62.4, 46.4
v1, 3, 400, 10, 10, 64, 436.40, 6.12167426, 18, 0.321135999999967, 21784, 1, 63.6, 42.5, 63.0, 47.1
base-v1, 3, 400, 10, 10, 64, 250.10, 4.09718092, , 0, , 1, 52.2, 44.6, 58.8, 49.5
v1, 3, 400, 10, 10, 64, 361.26, 6.10863767, 18, 0.339992999999993, 21622, 1, 60.1, 43.0, 43.6, 40.6
base-v1, 3, 400, 10, 10, 64, 244.34, 4.00754285, , 0, , 1, 43.2, 41.1, 43.6, 41.6
v1, 3, 400, 10, 10, 64, 341.85, 6.04998566, 17, 0.151565000000005, 20167, 1, 44.0, 41.6, 43.5, 41.1
base-v1, 3, 400, 10, 10, 64, 227.36, 4.01368343, , 0, , 1, 45.1, 40.6, 79.1, 41.1
v1, 3, 400, 10, 10, 64, 359.73, 6.14510063, 13, 0.391404999999963, 15627, 1, 78.1, 41.1, 44.6, 41.1
base-v1, 3, 400, 10, 10, 64, 240.70, 4.04711511, , 0, , 1, 45.0, 41.6, 71.2, 54.6
v1, 3, 400, 10, 10, 64, 350.63, 6.07239079, 15, 0.224963000000002, 18065, 1, 74.6, 51.2, 44.1, 40.9
base-v1, 3, 400, 10, 10, 64, 226.50, 4.00898529, , 0, , 1, 44.0, 41.4, 41.8, 40.1
v1, 3, 400, 10, 10, 64, 352.33, 5.98203782, 17, 0.165687999999989, 20367, 1, 47.6, 42.8, 73.2, 41.1
base-v1, 3, 400, 10, 10, 64, 247.23, 4.03292984, , 0, , 1, 72.2, 51.9, 78.1, 40.6
v1, 3, 400, 10, 10, 64, 351.81, 6.05512444, 16, 0.39145400000001, 19519, 1, 77.1, 41.1, 67.8, 45.1
base-v1, 3, 400, 10, 10, 64, 249.03, 4.09611334, , 0, , 1, 70.2, 42.2, 72.2, 41.1
v1, 3, 400, 10, 10, 64, 367.85, 6.02627823, 17, 0.493145999999967, 20247, 1, 71.2, 42.2, 74.6, 47.4
base-v1, 3, 400, 10, 10, 64, 238.59, 4.01882284, , 0, , 1, 68.8, 44.6, 66.9, 51.4
v1, 3, 400, 10, 10, 64, 356.51, 6.09666834, 20, 0.540796, 23637, 1, 76.6, 41.1, 46.1, 40.6
base-v1, 3, 400, 10, 10, 64, 240.40, 4.05208453, , 0, , 1, 46.1, 41.1, 71.2, 41.4
v1, 3, 400, 10, 10, 64, 340.30, 5.99889076, 18, 0.793340999999998, 21358, 1, 55.8, 41.4, 46.9, 67.1
base-v1, 3, 400, 10, 10, 64, 224.19, 4.01097074, , 0, , 1, 46.4, 43.0, 73.2, 43.2
v1, 3, 400, 10, 10, 64, 359.08, 6.06286630, 13, 0.119114999999965, 15716, 1, 70.8, 43.2, 73.8, 40.1
base-v1, 3, 400, 10, 10, 64, 244.16, 4.01699233, , 0, , 1, 67.9, 48.0, 77.6, 40.6
v1, 3, 400, 10, 10, 64, 370.42, 6.17617266, 18, 0.332793999999978, 21412, 1, 74.8, 40.6, 65.9, 40.1
base-v1, 3, 400, 10, 10, 64, 235.72, 4.05355113, , 0, , 1, 73.1, 41.1, 67.2, 41.9
v1, 3, 400, 10, 10, 64, 352.69, 6.08278616, 14, 0.280170999999996, 16735, 1, 77.1, 41.6, 45.1, 41.1
base-v1, 3, 400, 10, 10, 64, 245.43, 4.04585433, , 0, , 1, 45.5, 42.8, 44.1, 41.6
v1, 3, 400, 10, 10, 64, 359.44, 6.05750559, 16, 0.42563899999999, 19247, 1, 44.5, 41.6, 52.8, 42.8
base-v1, 3, 400, 10, 10, 64, 237.55, 4.09708809, , 0, , 1, 69.4, 41.6, 43.6, 41.1
v1, 3, 400, 10, 10, 64, 358.63, 6.02416851, 18, 0.690949999999987, 21623, 1, 56.6, 41.6, 43.5, 69.5
base-v1, 3, 400, 10, 10, 64, 251.73, 3.97119858, , 0, , 2, 43.0, 71.9, 44.1, 43.0
v1, 3, 400, 10, 10, 64, 346.11, 6.14660164, 16, 0.454965000000016, 19277, 1, 44.4, 43.0, 66.4, 41.1
base-v1, 3, 400, 10, 10, 64, 217.39, 4.00522722, , 0, , 1, 73.6, 40.9, 67.8, 41.1
v1, 3, 400, 10, 10, 64, 350.16, 6.09391322, 16, 0.439018999999973, 19135, 1, 59.8, 44.0, 70.2, 40.6
base-v1, 3, 400, 10, 10, 64, 239.21, 4.09558801, , 0, , 1, 67.8, 41.1, 67.2, 41.1
v1, 3, 400, 10, 10, 64, 356.84, 6.08689276, 19, 0.072386999999992, 22770, 1, 65.4, 41.6, 45.1, 40.6
base-v1, 3, 400, 10, 10, 64, 238.12, 4.02354926, , 0, , 1, 44.5, 40.6, 61.1, 41.6
v1, 3, 400, 10, 10, 64, 355.96, 5.93879771, 16, 0.797949000000017, 18992, 1, 61.1, 41.1, 43.2, 40.6
base-v1, 3, 400, 10, 10, 64, 241.36, 4.05109944, , 0, , 1, 43.2, 41.1, 59.1, 50.9
