work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-v4, 10, 400, 10, 10, 16, 186.41, 4.62147630, , 0, , 1, 35.0, 33.4, 38.4, 35.4
v4, 10, 400, 10, 10, 16, 255.62, 5.84078051, 74, 0.0152160000000094, 208534, 1, 38.6, 35.9, 38.4, 34.9
base-v4, 10, 400, 10, 10, 16, 164.28, 3.61582669, , 0, , 1, 39.4, 35.9, 38.4, 35.9
v4, 10, 400, 10, 10, 16, 264.22, 5.83223575, 120, 0.00841600000001108, 315302, 1, 39.4, 36.2, 40.1, 36.2
base-v4, 10, 400, 10, 10, 16, 159.88, 3.62706242, , 0, , 1, 39.1, 36.2, 37.9, 35.9
v4, 10, 400, 10, 10, 16, 260.28, 5.86181609, 73, 0.00664299999999685, 203055, 1, 37.4, 35.9, 40.6, 36.2
base-v4, 10, 400, 10, 10, 16, 165.99, 3.64560549, , 0, , 1, 38.4, 36.2, 39.1, 35.9
v4, 10, 400, 10, 10, 16, 269.17, 5.90617437, 86, 0.0119720000000143, 236075, 1, 38.4, 36.2, 38.6, 36.2
base-v4, 10, 400, 10, 10, 16, 164.58, 3.65960232, , 0, , 1, 39.1, 36.8, 38.4, 36.2
v4, 10, 400, 10, 10, 16, 262.89, 5.89235819, 69, 0.00515799999999444, 195363, 1, 41.5, 36.2, 39.4, 36.2
base-v4, 10, 400, 10, 10, 16, 160.86, 3.64593917, , 0, , 1, 38.9, 35.9, 38.4, 35.9
v4, 10, 400, 10, 10, 16, 255.45, 5.88013257, 52, 0.0266879999999787, 153072, 1, 39.4, 36.2, 38.9, 36.2
base-v4, 10, 400, 10, 10, 16, 163.59, 3.64942854, , 0, , 1, 38.9, 36.2, 39.1, 36.8
v4, 10, 400, 10, 10, 16, 258.35, 5.93154760, 122, 0.00695999999999231, 319564, 1, 38.9, 37.2, 38.4, 36.8
base-v4, 10, 400, 10, 10, 16, 160.07, 3.66114412, , 0, , 1, 38.1, 36.2, 40.8, 36.2
v4, 10, 400, 10, 10, 16, 253.74, 5.89686399, 94, 0.00786299999998619, 253263, 1, 41.5, 36.2, 40.1, 36.2
base-v4, 10, 400, 10, 10, 16, 164.76, 3.64661118, , 0, , 1, 39.4, 36.2, 38.9, 36.8
v4, 10, 400, 10, 10, 16, 263.22, 5.86734575, 90, 0.0130209999999806, 245045, 1, 38.4, 36.8, 39.6, 36.8
base-v4, 10, 400, 10, 10, 16, 165.69, 3.61409679, , 0, , 1, 39.6, 36.8, 38.6, 36.8
v4, 10, 400, 10, 10, 16, 254.59, 5.89333999, 67, 0.0186259999999834, 190268, 1, 43.8, 36.2, 39.4, 36.8
base-v4, 10, 400, 10, 10, 16, 159.81, 3.68036283, , 0, , 1, 38.9, 36.8, 39.8, 36.2
v4, 10, 400, 10, 10, 16, 263.92, 5.86058597, 111, 0.00529299999999466, 294080, 1, 39.4, 37.2, 40.1, 37.2
base-v4, 10, 400, 10, 10, 16, 160.61, 3.66149078, , 0, , 1, 39.8, 37.2, 39.8, 36.2
v4, 10, 400, 10, 10, 16, 278.78, 5.36801068, 110, 0.00607100000001992, 292443, 1, 39.8, 37.2, 40.2, 37.8
base-v4, 10, 400, 10, 10, 16, 153.89, 3.64024660, , 0, , 1, 41.2, 39.0, 38.4, 36.2
v4, 10, 400, 10, 10, 16, 296.38, 6.03418077, 78, 0.026867999999979, 217483, 1, 40.4, 36.8, 42.5, 40.1
base-v4, 10, 400, 10, 10, 16, 300.48, 3.93355458, , 0, , 1, 44.1, 40.9, 46.4, 39.6
v4, 10, 400, 10, 10, 16, 370.07, 5.63625423, 100, 0.00280099999997674, 272087, 1, 42.5, 40.1, 61.5, 41.6
base-v4, 10, 400, 10, 10, 16, 290.66, 3.95773052, , 0, , 1, 51.9, 43.8, 42.0, 39.2
