work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-hc-64-3, 10, 400, 25, 10, 308.26, 4.61726372, , 0, , 43.6, 39.8
hc-64-3, 10, 400, 25, 10, 560.36, 8.15147869, 65, 5.48371300000001, 785050, 45.0, 36.9
base-hc-64-3, 10, 400, 25, 10, 348.85, 4.91378887, , 0, , 38.6, 34.6
hc-64-3, 10, 400, 25, 10, 551.68, 8.15138414, 50, 7.50060000000001, 604852, 47.1, 34.9
base-hc-64-3, 10, 400, 25, 10, 346.71, 4.91012963, , 0, , 43.6, 39.9
hc-64-3, 10, 400, 25, 10, 468.20, 7.73158131, 60, 9.549662, 720538, 39.8, 38.0
base-hc-64-3, 10, 400, 25, 10, 184.72, 4.19241878, , 0, , 34.5, 31.5
hc-64-3, 10, 400, 25, 10, 375.26, 7.23372835, 56, 4.32340600000001, 672776, 42.0, 36.4
base-hc-64-3, 10, 400, 25, 10, 186.10, 4.19252616, , 0, , 42.0, 39.8
hc-64-3, 10, 400, 25, 10, 325.65, 7.02713788, 42, 7.47293500000001, 504559, 37.9, 33.5
base-hc-64-3, 10, 400, 25, 10, 192.17, 4.20488139, , 0, , 37.4, 35.6
hc-64-3, 10, 400, 25, 10, 324.85, 7.00779167, 45, 10.17233, 541279, 38.4, 32.2
base-hc-64-3, 10, 400, 25, 10, 182.48, 4.19260345, , 0, , 34.0, 32.1
hc-64-3, 10, 400, 25, 10, 342.31, 7.18184432, 72, 5.52824100000001, 864829, 40.2, 36.1
base-hc-64-3, 10, 400, 25, 10, 219.26, 4.29797765, , 0, , 43.6, 39.8
hc-64-3, 10, 400, 25, 10, 324.41, 7.05565626, 35, 7.38972200000001, 419935, 37.4, 33.8
base-hc-64-3, 10, 400, 25, 10, 187.42, 4.19147478, , 0, , 33.5, 31.0
hc-64-3, 10, 400, 25, 10, 344.23, 7.16554047, 50, 4.25851300000001, 601064, 33.5, 31.6
base-hc-64-3, 10, 400, 25, 10, 237.38, 4.34477686, , 0, , 40.8, 38.8
hc-64-3, 10, 400, 25, 10, 353.18, 7.16593371, 39, 10.016201, 469608, 42.2, 39.2
base-hc-64-3, 10, 400, 25, 10, 223.13, 4.30140326, , 0, , 44.6, 37.8
hc-64-3, 10, 400, 25, 10, 367.83, 7.24700034, 65, 7.22021000000001, 779959, 35.2, 32.0
base-hc-64-3, 10, 400, 25, 10, 231.92, 4.32095793, , 0, , 35.9, 32.5
hc-64-3, 10, 400, 25, 10, 350.18, 7.20029701, 53, 10.156184, 635555, 41.8, 37.5
base-hc-64-3, 10, 400, 25, 10, 248.85, 4.36999315, , 0, , 42.8, 38.8
hc-64-3, 10, 400, 25, 10, 367.16, 7.21370359, 65, 8.984516, 779988, 42.0, 38.8
base-hc-64-3, 10, 400, 25, 10, 183.01, 4.17662389, , 0, , 33.8, 32.0
hc-64-3, 10, 400, 25, 10, 349.92, 7.16915531, 72, 7.41467900000001, 869022, 34.8, 31.1
base-hc-64-3, 10, 400, 25, 10, 230.95, 4.33869474, , 0, , 42.2, 37.8
hc-64-3, 10, 400, 25, 10, 490.54, 7.69822360, 69, 7.09163600000001, 832740, 39.2, 39.9
base-hc-64-3, 10, 400, 25, 10, 222.64, 4.32668718, , 0, , 42.2, 42.8
hc-64-3, 10, 400, 25, 10, 343.18, 7.11660739, 80, 11.817432, 966749, 33.5, 33.0
base-hc-64-3, 10, 400, 25, 10, 194.33, 4.20916142, , 0, , 34.0, 31.5
hc-64-3, 10, 400, 25, 10, 322.39, 7.01760209, 34, 9.927159, 409015, 32.2, 30.5
base-hc-64-3, 10, 400, 25, 10, 199.39, 4.22903461, , 0, , 34.0, 31.0
hc-64-3, 10, 400, 25, 10, 340.92, 7.07015268, 30, 12.06246, 360669, 33.0, 30.5
base-hc-64-3, 10, 400, 25, 10, 198.24, 4.24173725, , 0, , 38.9, 36.1
hc-64-3, 10, 400, 25, 10, 435.28, 7.48432448, 27, 7.25521500000001, 325886, 43.2, 41.1
