work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-cec-mixed-v4, 10, 400, 10, 10, 631.66, 8.93442170, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 796.30, 10.27659845, 15, 7.49495599999999, 56219
base-cec-mixed-v4, 10, 400, 10, 10, 637.01, 8.04821668, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 1131.57, 12.02481224, 27, 7.089709, 100553
base-cec-mixed-v4, 10, 400, 10, 10, 546.38, 7.95987243, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 875.00, 11.22142655, 20, 6.928944, 74647
base-cec-mixed-v4, 10, 400, 10, 10, 718.66, 8.40189903, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 818.67, 10.78953428, 20, 6.555902, 74537
base-cec-mixed-v4, 10, 400, 10, 10, 553.02, 7.58513408, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 650.62, 10.16084948, 19, 7.113462, 71097
base-cec-mixed-v4, 10, 400, 10, 10, 322.21, 6.92155618, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 423.26, 9.27454977, 21, 6.196193, 78344
base-cec-mixed-v4, 10, 400, 10, 10, 400.54, 7.09437345, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 548.09, 9.62721113, 14, 6.018399, 52659
base-cec-mixed-v4, 10, 400, 10, 10, 427.31, 7.22452559, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 679.35, 10.32136739, 31, 5.666359, 114984
base-cec-mixed-v4, 10, 400, 10, 10, 638.27, 8.26417903, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 469.18, 9.35418924, 15, 7.356639, 56293
base-cec-mixed-v4, 10, 400, 10, 10, 345.88, 6.99679574, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 511.69, 9.53879454, 27, 4.84615, 100353
base-cec-mixed-v4, 10, 400, 10, 10, 348.95, 6.94139956, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 586.60, 9.91634092, 15, 7.709564, 56063
base-cec-mixed-v4, 10, 400, 10, 10, 503.82, 7.58978383, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 736.66, 10.46369497, 23, 6.856269, 85702
base-cec-mixed-v4, 10, 400, 10, 10, 402.54, 7.15628498, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 620.11, 10.01933800, 42, 5.086189, 155614
base-cec-mixed-v4, 10, 400, 10, 10, 421.62, 7.29334890, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 535.27, 9.68263951, 13, 4.658529, 48797
base-cec-mixed-v4, 10, 400, 10, 10, 565.35, 7.79592043, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 786.83, 10.62103836, 13, 6.303781, 48895
base-cec-mixed-v4, 10, 400, 10, 10, 435.16, 7.31620612, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 554.92, 9.82464434, 25, 6.442024, 92780
base-cec-mixed-v4, 10, 400, 10, 10, 581.54, 7.96802384, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 633.44, 10.03990831, 14, 5.401078, 52425
base-cec-mixed-v4, 10, 400, 10, 10, 487.08, 7.32320130, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 510.02, 9.50217909, 12, 8.259975, 45063
base-cec-mixed-v4, 10, 400, 10, 10, 398.73, 7.02696376, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 493.00, 9.41202673, 19, 6.584195, 71004
base-cec-mixed-v4, 10, 400, 10, 10, 541.83, 7.65224382, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 581.85, 9.92491642, 24, 7.753019, 89607
base-cec-mixed-v4, 10, 400, 10, 10, 480.46, 7.54849164, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 686.55, 10.07612033, 13, 10.564352, 48872
base-cec-mixed-v4, 10, 400, 10, 10, 439.21, 7.43287753, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 484.89, 9.45463846, 20, 7.830008, 74541
base-cec-mixed-v4, 10, 400, 10, 10, 342.64, 6.95206285, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 455.96, 9.34560785, 17, 3.966371, 63547
base-cec-mixed-v4, 10, 400, 10, 10, 437.09, 7.35650353, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 625.93, 10.13153923, 17, 3.713906, 63658
base-cec-mixed-v4, 10, 400, 10, 10, 417.71, 7.25432741, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 594.71, 9.95064859, 33, 7.466592, 122519
base-cec-mixed-v4, 10, 400, 10, 10, 399.20, 7.12176497, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 524.25, 9.60111026, 19, 8.83982, 71072
base-cec-mixed-v4, 10, 400, 10, 10, 509.30, 7.69121388, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 424.42, 9.21581498, 22, 4.084116, 81985
base-cec-mixed-v4, 10, 400, 10, 10, 327.68, 6.87686340, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 501.20, 9.56139574, 20, 7.340087, 74743
base-cec-mixed-v4, 10, 400, 10, 10, 361.56, 7.04317613, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 616.48, 10.13740256, 48, 5.626832, 177846
base-cec-mixed-v4, 10, 400, 10, 10, 553.82, 7.73726537, , 0, 
cec-mixed-v4, 10, 400, 10, 10, 626.53, 10.12521357, 22, 7.46356, 81943
base-cec-mixed-v4, 10, 400, 10, 10, 691.37, 8.30162561, , 0, 
base-cec-mixed-v4, 10, 400, 25, 10, 527.79, 7.74881018, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 499.87, 9.59956808, 36, 4.051688, 133665
base-cec-mixed-v4, 10, 400, 25, 10, 401.75, 7.28970340, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 825.78, 10.83692705, 36, 4.409278, 133433
base-cec-mixed-v4, 10, 400, 25, 10, 520.56, 7.44762372, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 852.77, 10.94393473, 65, 3.231411, 240125
base-cec-mixed-v4, 10, 400, 25, 10, 523.20, 7.37471375, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 579.51, 9.91123585, 44, 6.06811, 163084
base-cec-mixed-v4, 10, 400, 25, 10, 469.83, 7.48964172, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 614.94, 10.15763073, 62, 5.934536, 229357
base-cec-mixed-v4, 10, 400, 25, 10, 451.98, 7.41408569, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 410.85, 9.22514656, 30, 3.084978, 111421
base-cec-mixed-v4, 10, 400, 25, 10, 312.71, 6.83975891, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 416.84, 9.24455979, 44, 4.259873, 163151
base-cec-mixed-v4, 10, 400, 25, 10, 316.40, 6.82613153, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 425.18, 9.24954091, 32, 6.527678, 118935
base-cec-mixed-v4, 10, 400, 25, 10, 310.94, 6.86190187, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 426.46, 9.27868444, 46, 2.115651, 170605
base-cec-mixed-v4, 10, 400, 25, 10, 311.15, 6.84416139, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 430.43, 9.25823685, 31, 5.410991, 115096
base-cec-mixed-v4, 10, 400, 25, 10, 310.85, 6.87343701, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 413.40, 9.25623817, 35, 5.180383, 129747
base-cec-mixed-v4, 10, 400, 25, 10, 304.51, 6.83561139, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 423.20, 9.22023349, 62, 2.920026, 229653
base-cec-mixed-v4, 10, 400, 25, 10, 319.05, 6.84410220, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 424.93, 9.21947437, 30, 6.826151, 111587
base-cec-mixed-v4, 10, 400, 25, 10, 312.66, 6.85368069, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 416.67, 9.26025637, 71, 5.95024, 262680
base-cec-mixed-v4, 10, 400, 25, 10, 305.78, 6.87161917, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 418.98, 9.25920142, 29, 4.894096, 107895
base-cec-mixed-v4, 10, 400, 25, 10, 315.89, 6.85270064, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 408.93, 9.22024230, 94, 5.713581, 347106
base-cec-mixed-v4, 10, 400, 25, 10, 311.05, 6.85786927, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 409.41, 9.26544451, 55, 5.836972, 203721
base-cec-mixed-v4, 10, 400, 25, 10, 316.64, 6.83300896, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 409.20, 9.20762306, 48, 7.430991, 178055
base-cec-mixed-v4, 10, 400, 25, 10, 296.83, 6.79463077, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 414.65, 9.29285292, 51, 3.81705, 188793
base-cec-mixed-v4, 10, 400, 25, 10, 315.49, 6.84195492, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 422.80, 9.23464555, 35, 4.801905, 129651
base-cec-mixed-v4, 10, 400, 25, 10, 318.38, 6.86160707, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 412.05, 9.25238578, 31, 4.961805, 115236
base-cec-mixed-v4, 10, 400, 25, 10, 309.86, 6.83504124, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 415.70, 9.24306013, 30, 6.397757, 111698
base-cec-mixed-v4, 10, 400, 25, 10, 304.90, 6.84397252, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 421.46, 9.22567709, 48, 4.585954, 178056
base-cec-mixed-v4, 10, 400, 25, 10, 312.99, 6.85584568, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 430.83, 9.23656538, 51, 5.234202, 188398
base-cec-mixed-v4, 10, 400, 25, 10, 321.19, 6.89000117, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 423.75, 9.26531893, 77, 4.834644, 284912
base-cec-mixed-v4, 10, 400, 25, 10, 306.94, 6.78544201, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 422.42, 9.25578633, 42, 3.092591, 155940
base-cec-mixed-v4, 10, 400, 25, 10, 313.83, 6.84318077, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 423.45, 9.24039643, 46, 4.554335, 170467
base-cec-mixed-v4, 10, 400, 25, 10, 299.17, 6.79847271, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 416.23, 9.24040806, 30, 2.225233, 111618
base-cec-mixed-v4, 10, 400, 25, 10, 495.74, 7.69500934, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 655.30, 10.28821083, 27, 4.991073, 100625
base-cec-mixed-v4, 10, 400, 25, 10, 378.38, 7.15047969, , 0, 
cec-mixed-v4, 10, 400, 25, 10, 723.75, 10.55118810, 31, 3.76917, 115093
base-cec-mixed-v4, 10, 400, 25, 10, 485.96, 7.43810429, , 0, 
base-cec-mixed-v4, 10, 200, 10, 10, 404.08, 7.14429515, , 0, 
cec-mixed-v4, 10, 200, 10, 10, 654.37, 10.23543319, 22, 7.83521, 40988
base-cec-mixed-v4, 10, 200, 10, 10, 681.19, 8.33522156, , 0, 
cec-mixed-v4, 10, 200, 10, 10, 735.33, 10.58442107, 49, 6.677144, 90538
base-cec-mixed-v4, 10, 200, 10, 10, 683.94, 8.32095331, , 0, 
cec-mixed-v4, 10, 200, 10, 10, 664.39, 10.13159157, 23, 4.63880899999999, 42774
