work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-cec-sandwich-v2, 10, 400, 10, 10, 456.44, 8.24172561, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 584.81, 9.81472047, 25, 5.73637199999996, 93303
base-cec-sandwich-v2, 10, 400, 10, 10, 385.45, 7.05481080, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 539.73, 9.67417478, 21, 4.67319700000002, 78612
base-cec-sandwich-v2, 10, 400, 10, 10, 416.08, 7.17030352, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 540.95, 9.57481115, 14, 4.529943, 52731
base-cec-sandwich-v2, 10, 400, 10, 10, 571.54, 7.61574221, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 595.16, 9.82214690, 22, 5.55759399999999, 82075
base-cec-sandwich-v2, 10, 400, 10, 10, 413.13, 7.10336092, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 664.28, 10.05053673, 19, 5.08749699999998, 71170
base-cec-sandwich-v2, 10, 400, 10, 10, 434.81, 7.22089217, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 572.43, 9.78245614, 14, 5.05491499999999, 52724
base-cec-sandwich-v2, 10, 400, 10, 10, 396.96, 7.09919527, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 550.92, 9.70272445, 43, 3.24028199999998, 159421
base-cec-sandwich-v2, 10, 400, 10, 10, 418.48, 7.16402689, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 586.64, 9.83098446, 14, 6.00933599999996, 52520
base-cec-sandwich-v2, 10, 400, 10, 10, 411.63, 7.10273775, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 590.61, 9.77667457, 28, 2.92811499999999, 104093
base-cec-sandwich-v2, 10, 400, 10, 10, 400.78, 7.05719696, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 530.66, 9.58192865, 14, 6.03810299999998, 52632
base-cec-sandwich-v2, 10, 400, 10, 10, 372.93, 7.10784107, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 512.92, 9.64796280, 14, 5.43738500000001, 52503
base-cec-sandwich-v2, 10, 400, 10, 10, 410.91, 7.29670042, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 520.49, 9.73224325, 30, 4.31068299999998, 111851
base-cec-sandwich-v2, 10, 400, 10, 10, 443.16, 7.24486684, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 556.68, 9.83133403, 17, 4.83142199999998, 63712
base-cec-sandwich-v2, 10, 400, 10, 10, 374.28, 7.12079639, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 502.36, 9.69910797, 14, 6.09479999999996, 52656
base-cec-sandwich-v2, 10, 400, 10, 10, 386.38, 7.12034111, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 540.52, 9.75175758, 32, 2.91534000000001, 118921
