work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-taskset-1, 10, 400, 10, 10, 629.95, 8.73074902, , 0, , 29.6, 29.1
taskset-1, 10, 400, 10, 10, 682.35, 9.62210702, 30, 4.524452, 111182, 43.0, 39.8
base-taskset-1, 10, 400, 10, 10, 482.85, 7.09033931, , 0, , 52.4, 34.0
taskset-1, 10, 400, 10, 10, 652.95, 9.57663779, 46, 4.912484, 170365, 38.4, 35.1
base-taskset-1, 10, 400, 10, 10, 492.33, 7.06712571, , 0, , 41.2, 41.9
taskset-1, 10, 400, 10, 10, 671.43, 9.58874944, 29, 2.79172, 107935, 38.9, 34.9
base-taskset-1, 10, 400, 10, 10, 484.74, 7.08618937, , 0, , 38.4, 35.9
taskset-1, 10, 400, 10, 10, 659.25, 9.56511364, 26, 3.31006199999999, 96895, 40.4, 36.4
base-taskset-1, 10, 400, 10, 10, 508.96, 7.12098953, , 0, , 38.6, 35.9
taskset-1, 10, 400, 10, 10, 817.11, 10.40266851, 43, 2.905096, 159637, 37.9, 36.1
base-taskset-1, 10, 400, 10, 10, 610.29, 7.57036766, , 0, , 49.0, 45.5
taskset-1, 10, 400, 10, 10, 802.67, 10.30938587, 21, 7.792517, 78352, 44.1, 40.1
base-taskset-1, 10, 400, 10, 10, 508.74, 7.21828485, , 0, , 42.8, 39.2
taskset-1, 10, 400, 10, 10, 772.63, 10.15647692, 44, 3.893574, 163097, 40.2, 37.2
base-taskset-1, 10, 400, 10, 10, 556.66, 7.40778074, , 0, , 41.2, 45.1
taskset-1, 10, 400, 10, 10, 656.82, 9.56356389, 20, 7.826996, 74589, 66.4, 36.9
base-taskset-1, 10, 400, 10, 10, 531.39, 7.31666778, , 0, , 37.9, 35.1
taskset-1, 10, 400, 10, 10, 751.11, 10.06735430, 25, 3.080638, 92936, 38.4, 35.4
base-taskset-1, 10, 400, 10, 10, 543.52, 7.35387963, , 0, , 55.4, 44.0
taskset-1, 10, 400, 10, 10, 815.07, 10.42228713, 27, 4.488797, 100370, 38.4, 35.9
base-taskset-1, 10, 400, 10, 10, 645.37, 7.72623774, , 0, , 47.1, 43.5
taskset-1, 10, 400, 10, 10, 837.48, 10.48888256, 32, 4.667728, 118999, 43.8, 43.2
base-taskset-1, 10, 400, 10, 10, 584.10, 7.43055119, , 0, , 39.6, 35.4
taskset-1, 10, 400, 10, 10, 736.57, 9.91550209, 21, 4.493412, 78307, 44.0, 41.6
base-taskset-1, 10, 400, 10, 10, 572.73, 7.43851811, , 0, , 51.6, 36.9
taskset-1, 10, 400, 10, 10, 693.35, 9.71430315, 25, 7.188464, 93139, 45.2, 39.2
base-taskset-1, 10, 400, 10, 10, 480.97, 7.09644374, , 0, , 38.9, 35.6
taskset-1, 10, 400, 10, 10, 649.27, 9.54473878, 12, 9.080786, 45054, 39.9, 38.0
base-taskset-1, 10, 400, 10, 10, 492.98, 7.15049636, , 0, , 49.6, 40.9
taskset-1, 10, 400, 10, 10, 730.97, 9.96088582, 19, 4.320145, 70926, 38.4, 34.9
base-taskset-1, 10, 400, 10, 10, 495.33, 7.12773672, , 0, , 41.8, 39.4
taskset-1, 10, 400, 10, 10, 650.81, 9.53759796, 19, 7.908285, 71020, 38.1, 35.1
base-taskset-1, 10, 400, 10, 10, 480.21, 7.07056371, , 0, , 38.4, 35.4
taskset-1, 10, 400, 10, 10, 653.20, 9.58302984, 22, 8.312963, 81772, 37.9, 35.4
base-taskset-1, 10, 400, 10, 10, 477.77, 7.06508269, , 0, , 38.9, 36.1
taskset-1, 10, 400, 10, 10, 657.28, 9.55916182, 17, 4.502201, 63570, 40.8, 38.2
base-taskset-1, 10, 400, 10, 10, 489.39, 7.12842195, , 0, , 37.4, 34.9
taskset-1, 10, 400, 10, 10, 647.95, 9.51770484, 14, 8.21064, 52485, 38.9, 35.6
base-taskset-1, 10, 400, 10, 10, 477.41, 7.04979929, , 0, , 38.4, 34.9
taskset-1, 10, 400, 10, 10, 649.36, 9.53231455, 22, 6.231131, 82087, 38.9, 35.1
base-taskset-1, 10, 400, 10, 10, 480.53, 7.07941509, , 0, , 38.9, 35.1
taskset-1, 10, 400, 10, 10, 649.89, 9.53705638, 35, 4.296731, 129634, 38.6, 35.1
base-taskset-1, 10, 400, 10, 10, 479.48, 7.07087315, , 0, , 40.8, 39.0
taskset-1, 10, 400, 10, 10, 663.13, 9.63034361, 38, 5.067075, 140851, 38.6, 36.1
base-taskset-1, 10, 400, 10, 10, 479.32, 7.10203375, , 0, , 38.4, 35.9
taskset-1, 10, 400, 10, 10, 650.29, 9.58525658, 32, 3.04934799999999, 118976, 41.2, 35.9
base-taskset-1, 10, 400, 10, 10, 479.70, 7.06026988, , 0, , 40.8, 35.1
taskset-1, 10, 400, 10, 10, 648.62, 9.50997384, 15, 5.973643, 56075, 37.9, 34.9
base-taskset-1, 10, 400, 10, 10, 478.09, 7.06137298, , 0, , 38.9, 35.4
taskset-1, 10, 400, 10, 10, 651.44, 9.55425064, 15, 7.39718999999999, 56262, 37.9, 34.6
base-taskset-1, 10, 400, 10, 10, 478.18, 7.05430009, , 0, , 39.9, 36.1
taskset-1, 10, 400, 10, 10, 651.19, 9.51710091, 32, 3.880971, 119007, 37.9, 35.4
base-taskset-1, 10, 400, 10, 10, 478.13, 7.07037229, , 0, , 37.4, 35.9
taskset-1, 10, 400, 10, 10, 650.33, 9.55627537, 17, 9.334885, 63589, 37.9, 35.4
base-taskset-1, 10, 400, 10, 10, 478.43, 7.06859249, , 0, , 42.8, 38.0
taskset-1, 10, 400, 10, 10, 651.22, 9.55386661, 29, 4.079273, 107590, 39.8, 39.0
base-taskset-1, 10, 400, 10, 10, 481.07, 7.05458331, , 0, , 37.4, 35.4
taskset-1, 10, 400, 10, 10, 655.44, 9.57405898, 20, 6.377724, 74742, 38.4, 35.4
base-taskset-1, 10, 400, 10, 10, 481.00, 7.06270838, , 0, , 45.8, 35.9
