work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-balanced-1, 10, 400, 10, 10, 366.52, 8.29652055, , 0, , 34.4, 28.1
balanced-1, 10, 400, 10, 10, 410.48, 9.08578356, 18, 4.18802700000001, 67168, 35.4, 36.5
base-balanced-1, 10, 400, 10, 10, 336.50, 6.83670461, , 0, , 38.6, 32.8
balanced-1, 10, 400, 10, 10, 421.55, 9.07960352, 28, 6.846918, 104134, 31.1, 32.0
base-balanced-1, 10, 400, 10, 10, 379.33, 7.04568219, , 0, , 36.1, 32.5
balanced-1, 10, 400, 10, 10, 479.89, 9.46416349, 23, 7.59841200000001, 85881, 34.0, 33.4
base-balanced-1, 10, 400, 10, 10, 419.84, 7.25776309, , 0, , 36.4, 35.9
balanced-1, 10, 400, 10, 10, 607.79, 9.66843927, 29, 8.133454, 108065, 38.1, 39.4
base-balanced-1, 10, 400, 10, 10, 393.27, 7.01495186, , 0, , 46.8, 42.2
balanced-1, 10, 400, 10, 10, 497.96, 9.47127501, 26, 5.822626, 96871, 38.1, 37.5
base-balanced-1, 10, 400, 10, 10, 335.91, 6.78334223, , 0, , 39.6, 39.9
balanced-1, 10, 400, 10, 10, 464.60, 9.33783957, 17, 4.864985, 63472, 42.0, 36.5
base-balanced-1, 10, 400, 10, 10, 344.28, 6.75174537, , 0, , 37.9, 38.5
balanced-1, 10, 400, 10, 10, 460.78, 9.38351500, 23, 6.03380100000001, 85535, 40.2, 36.1
base-balanced-1, 10, 400, 10, 10, 336.88, 6.84627914, , 0, , 44.2, 39.0
balanced-1, 10, 400, 10, 10, 418.43, 9.10463452, 18, 8.93528000000001, 67234, 37.9, 38.0
base-balanced-1, 10, 400, 10, 10, 496.92, 7.46866081, , 0, , 41.2, 35.9
balanced-1, 10, 400, 10, 10, 587.37, 9.74216217, 17, 5.97484200000001, 63753, 39.8, 40.4
base-balanced-1, 10, 400, 10, 10, 337.55, 6.87343964, , 0, , 40.2, 37.5
balanced-1, 10, 400, 10, 10, 547.97, 9.58806904, 13, 8.696201, 48959, 39.1, 39.9
base-balanced-1, 10, 400, 10, 10, 451.01, 7.25015842, , 0, , 43.6, 39.9
balanced-1, 10, 400, 10, 10, 537.67, 9.60713253, 13, 9.08671200000001, 48871, 40.2, 39.9
base-balanced-1, 10, 400, 10, 10, 441.79, 7.22423842, , 0, , 41.2, 39.9
balanced-1, 10, 400, 10, 10, 594.47, 9.76561370, 31, 6.283416, 115586, 39.4, 38.5
base-balanced-1, 10, 400, 10, 10, 424.59, 7.13280265, , 0, , 41.8, 40.4
balanced-1, 10, 400, 10, 10, 585.24, 9.79340791, 25, 6.85937800000001, 92976, 42.2, 39.9
base-balanced-1, 10, 400, 10, 10, 467.01, 7.33280114, , 0, , 39.9, 41.9
balanced-1, 10, 400, 10, 10, 675.64, 10.14416691, 28, 5.881584, 104074, 40.1, 36.6
base-balanced-1, 10, 400, 10, 10, 447.25, 7.21295266, , 0, , 40.8, 40.4
balanced-1, 10, 400, 10, 10, 743.96, 10.28398313, 13, 7.40943800000001, 48810, 42.5, 41.4
base-balanced-1, 10, 400, 10, 10, 568.97, 7.68165937, , 0, , 44.2, 42.8
balanced-1, 10, 400, 10, 10, 822.53, 10.61792227, 17, 3.87124200000001, 63597, 44.0, 43.0
base-balanced-1, 10, 400, 10, 10, 538.66, 7.61814247, , 0, , 57.6, 44.5
balanced-1, 10, 400, 10, 10, 610.69, 9.83473720, 17, 5.91296700000001, 63560, 44.0, 42.6
base-balanced-1, 10, 400, 10, 10, 354.15, 6.88032491, , 0, , 40.2, 39.4
