work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-v2, 3, 400, 10, 10, 16, 161.54, 3.78277091, , 0, , 1, 36.4, 35.4, 40.8, 37.8
v2, 3, 400, 10, 10, 16, 251.20, 5.59305575, 17, 0.359501999999964, 20152, 1, 40.0, 37.8, 40.8, 38.2
base-v2, 3, 400, 10, 10, 16, 166.00, 3.78467591, , 0, , 1, 41.0, 38.8, 41.2, 37.8
v2, 3, 400, 10, 10, 16, 248.14, 5.57329263, 14, 0.327639999999974, 16942, 1, 40.2, 38.2, 39.8, 38.2
base-v2, 3, 400, 10, 10, 16, 166.83, 3.77118054, , 0, , 1, 40.6, 37.8, 41.5, 37.8
v2, 3, 400, 10, 10, 16, 252.26, 5.63373476, 14, 0.417881999999963, 16922, 1, 40.6, 38.5, 40.6, 37.2
base-v2, 3, 400, 10, 10, 16, 164.47, 3.79967218, , 0, , 1, 40.2, 38.2, 41.8, 38.2
v2, 3, 400, 10, 10, 16, 254.43, 5.62808539, 15, 0.665755999999988, 17992, 1, 41.2, 38.2, 40.2, 38.2
base-v2, 3, 400, 10, 10, 16, 166.80, 3.75944246, , 0, , 1, 40.8, 37.8, 40.2, 38.8
v2, 3, 400, 10, 10, 16, 249.73, 5.63822530, 15, 0.235882000000004, 18174, 1, 39.8, 39.0, 40.2, 37.8
base-v2, 3, 400, 10, 10, 16, 168.24, 3.78420555, , 0, , 1, 40.2, 38.2, 41.2, 38.8
v2, 3, 400, 10, 10, 16, 250.92, 5.62761059, 14, 0.646844999999985, 16796, 1, 40.8, 38.8, 40.2, 38.8
base-v2, 3, 400, 10, 10, 16, 173.65, 3.80327714, , 0, , 1, 40.8, 38.8, 40.1, 38.2
v2, 3, 400, 10, 10, 16, 255.82, 5.61268089, 18, 0.266898999999967, 21544, 1, 40.8, 38.2, 40.2, 38.2
base-v2, 3, 400, 10, 10, 16, 169.61, 3.78841683, , 0, , 1, 40.2, 38.2, 41.2, 38.8
v2, 3, 400, 10, 10, 16, 243.47, 5.59067244, 13, 0.256357999999977, 15831, 1, 40.8, 38.8, 42.0, 38.2
base-v2, 3, 400, 10, 10, 16, 165.45, 3.78976434, , 0, , 1, 40.6, 38.2, 42.2, 39.2
v2, 3, 400, 10, 10, 16, 245.61, 5.64046732, 13, 0.338214999999991, 15647, 1, 41.8, 38.8, 41.8, 38.8
base-v2, 3, 400, 10, 10, 16, 168.06, 3.78792673, , 0, , 1, 41.2, 38.8, 41.8, 38.8
v2, 3, 400, 10, 10, 16, 256.15, 5.62768091, 17, 0.377533999999969, 20196, 1, 49.4, 39.2, 40.8, 38.2
base-v2, 3, 400, 10, 10, 16, 167.90, 3.77303378, , 0, , 1, 53.8, 38.8, 41.2, 39.2
v2, 3, 400, 10, 10, 16, 246.36, 5.56601286, 14, 0.452834999999993, 17089, 1, 41.5, 38.8, 41.8, 38.8
base-v2, 3, 400, 10, 10, 16, 169.25, 3.77735847, , 0, , 1, 40.8, 38.8, 41.2, 39.2
v2, 3, 400, 10, 10, 16, 249.18, 5.60523518, 15, 0.484881999999971, 18006, 1, 40.8, 38.8, 40.2, 39.2
base-v2, 3, 400, 10, 10, 16, 168.07, 3.77254886, , 0, , 1, 40.2, 38.8, 41.2, 39.9
v2, 3, 400, 10, 10, 16, 248.34, 5.59724678, 15, 1.19999300000001, 18372, 1, 41.2, 39.6, 42.2, 39.2
base-v2, 3, 400, 10, 10, 16, 167.64, 3.76696959, , 0, , 1, 41.2, 38.8, 41.5, 38.2
v2, 3, 400, 10, 10, 16, 254.83, 5.63662152, 19, 0.317262999999969, 22397, 1, 41.2, 38.8, 40.8, 38.8
