work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
base-intel, 10, 400, 25, 10, 26.06, 123.34, 20.71265415, , 0, , 62.0
intel, 10, 400, 25, 10, 26.60, 156.58, 25.46092762, 35, 2.85007899999999, 129925, 63.0
base-intel, 10, 400, 25, 10, 22.54, 113.27, 19.32629377, , 0, , 62.0
intel, 10, 400, 25, 10, 48.14, 176.17, 31.56035016, 69, 2.89538700000003, 255200, 59.0
base-intel, 10, 400, 25, 10, 27.78, 120.78, 20.89177654, , 0, , 63.0
intel, 10, 400, 25, 10, 35.49, 161.38, 27.75806634, 59, 4.99918000000002, 218399, 64.0
base-intel, 10, 400, 25, 10, 32.87, 125.69, 22.13903533, , 0, , 59.0
intel, 10, 400, 25, 10, 45.46, 165.39, 30.69089273, 60, 3.88462700000002, 222410, 60.0
base-intel, 10, 400, 25, 10, 26.68, 120.54, 20.26332557, , 0, , 63.0
intel, 10, 400, 25, 10, 43.34, 170.03, 30.08908646, 27, 2.83896300000004, 100246, 59.0
base-intel, 10, 400, 25, 10, 31.93, 122.75, 21.90620227, , 0, , 60.0
intel, 10, 400, 25, 10, 34.21, 160.49, 27.43180793, 50, 4.811305, 185443, 61.0
base-intel, 10, 400, 25, 10, 24.04, 117.45, 19.54545553, , 0, , 63.0
intel, 10, 400, 25, 10, 54.73, 172.37, 34.14907102, 37, 3.84338700000001, 137283, 62.0
base-intel, 10, 400, 25, 10, 36.40, 131.79, 23.61696512, , 0, , 62.0
intel, 10, 400, 25, 10, 40.06, 168.49, 29.51408896, 49, 4.44596000000001, 181465, 62.0
base-intel, 10, 400, 25, 10, 32.89, 123.28, 22.51894152, , 0, , 60.0
intel, 10, 400, 25, 10, 42.89, 165.72, 30.06453603, 44, 4.932883, 163251, 60.0
base-intel, 10, 400, 25, 10, 18.91, 108.56, 17.95685952, , 0, , 59.0
intel, 10, 400, 25, 10, 43.09, 170.77, 29.78596112, 32, 2.47408100000001, 119124, 58.0
base-intel, 10, 400, 25, 10, 36.42, 123.52, 23.28210839, , 0, , 60.0
intel, 10, 400, 25, 10, 49.72, 171.61, 31.97371479, 30, 4.716205, 111713, 59.0
base-intel, 10, 400, 25, 10, 37.22, 121.77, 23.51355828, , 0, , 59.0
intel, 10, 400, 25, 10, 46.65, 163.41, 30.80248965, 41, 4.761754, 152198, 59.0
base-intel, 10, 400, 25, 10, 30.92, 129.01, 22.25865689, , 0, , 60.0
intel, 10, 400, 25, 10, 41.09, 170.19, 29.70978212, 54, 2.81998500000003, 200265, 62.0
base-intel, 10, 400, 25, 10, 21.35, 114.01, 18.62693402, , 0, , 60.0
intel, 10, 400, 25, 10, 47.10, 175.82, 31.60528849, 55, 4.26896700000003, 203878, 58.0
base-intel, 10, 400, 25, 10, 36.33, 130.74, 23.16219532, , 0, , 60.0
intel, 10, 400, 25, 10, 37.08, 160.36, 28.12930038, 32, 3.45210600000001, 119216, 62.0
base-intel, 10, 400, 25, 10, 21.36, 113.56, 18.72271774, , 0, , 61.0
intel, 10, 400, 25, 10, 29.09, 154.45, 25.83737623, 38, 3.31511499999999, 141021, 63.0
base-intel, 10, 400, 25, 10, 35.21, 126.38, 22.86126674, , 0, , 62.0
intel, 10, 400, 25, 10, 44.94, 170.94, 30.60973597, 64, 3.21743400000003, 237023, 61.0
base-intel, 10, 400, 25, 10, 22.50, 118.05, 19.08241528, , 0, , 60.0
intel, 10, 400, 25, 10, 26.01, 152.30, 24.98913204, 58, 2.82401800000002, 214762, 59.0
base-intel, 10, 400, 25, 10, 29.26, 121.48, 21.21839628, , 0, , 59.0
intel, 10, 400, 25, 10, 45.01, 166.01, 30.46360342, 42, 3.28823299999999, 155462, 60.0
base-intel, 10, 400, 25, 10, 25.91, 117.53, 20.16923288, , 0, , 58.0
intel, 10, 400, 25, 10, 32.29, 155.76, 26.77473705, 44, 3.23148100000003, 163285, 63.0
base-intel, 10, 400, 25, 10, 26.15, 119.74, 20.43952686, , 0, , 60.0
intel, 10, 400, 25, 10, 44.49, 166.89, 30.32859646, 32, 3.98005000000001, 118853, 62.0
base-intel, 10, 400, 25, 10, 40.30, 128.46, 24.40723431, , 0, , 60.0
intel, 10, 400, 25, 10, 40.59, 169.38, 29.24358748, 42, 4.30236300000001, 155789, 59.0
base-intel, 10, 400, 25, 10, 27.99, 121.31, 20.46373407, , 0, , 65.0
intel, 10, 400, 25, 10, 31.86, 158.45, 26.99553815, 92, 3.14063800000002, 340349, 60.0
base-intel, 10, 400, 25, 10, 21.75, 116.35, 19.02438320, , 0, , 59.0
intel, 10, 400, 25, 10, 54.51, 179.89, 33.72221335, 30, 3.86055199999998, 111269, 61.0
base-intel, 10, 400, 25, 10, 30.46, 119.16, 21.51867123, , 0, , 59.0
intel, 10, 400, 25, 10, 36.60, 164.42, 27.83115230, 50, 3.390916, 185386, 58.0
base-intel, 10, 400, 25, 10, 36.85, 125.33, 24.19099172, , 0, , 59.0
intel, 10, 400, 25, 10, 45.73, 164.15, 31.18433003, 53, 2.68506400000001, 196330, 61.0
base-intel, 10, 400, 25, 10, 35.38, 124.44, 23.00893237, , 0, , 59.0
intel, 10, 400, 25, 10, 40.05, 157.69, 28.85328264, 29, 3.19600300000002, 107601, 60.0
base-intel, 10, 400, 25, 10, 50.08, 135.36, 27.53133373, , 0, , 60.0
intel, 10, 400, 25, 10, 38.86, 164.12, 28.73825553, 59, 4.16731700000003, 218254, 60.0
base-intel, 10, 400, 25, 10, 24.36, 119.24, 19.57906396, , 0, , 70.0
base-intel, 10, 200, 10, 10, 24.03, 116.94, 19.65272062, , 0, , 62.0
intel, 10, 200, 10, 10, 40.51, 161.45, 29.01159965, 14, 4.93036000000001, 26180, 61.0
base-intel, 10, 200, 10, 10, 30.26, 119.79, 21.44734462, , 0, , 60.0
intel, 10, 200, 10, 10, 35.80, 168.62, 28.09656079, 18, 4.90338600000001, 33520, 60.0
base-intel, 10, 200, 10, 10, 36.97, 127.85, 23.46630125, , 0, , 60.0
intel, 10, 200, 10, 10, 33.10, 160.66, 26.93789010, 17, 3.13219800000002, 31596, 59.0
base-intel, 10, 200, 10, 10, 21.57, 111.15, 18.85013471, , 0, , 59.0
intel, 10, 200, 10, 10, 47.47, 167.88, 31.30856400, 33, 4.29314299999999, 61370, 59.0
base-intel, 10, 200, 10, 10, 50.47, 138.75, 28.12224163, , 0, , 62.0
intel, 10, 200, 10, 10, 49.36, 164.02, 32.11696564, 26, 6.40935300000001, 48372, 61.0
base-intel, 10, 200, 10, 10, 23.94, 115.36, 19.39952433, , 0, , 59.0
intel, 10, 200, 10, 10, 38.41, 162.09, 28.42421146, 22, 4.80463000000003, 41025, 59.0
base-intel, 10, 200, 10, 10, 28.03, 118.58, 20.74373022, , 0, , 63.0
intel, 10, 200, 10, 10, 45.11, 176.36, 31.16222306, 16, 6.49864500000001, 29803, 60.0
base-intel, 10, 200, 10, 10, 21.80, 114.22, 19.01413600, , 0, , 61.0
intel, 10, 200, 10, 10, 31.47, 157.77, 27.14437843, 23, 6.69002999999998, 42854, 59.0
base-intel, 10, 200, 10, 10, 27.31, 120.04, 20.90613683, , 0, , 58.0
intel, 10, 200, 10, 10, 28.69, 154.70, 25.73981455, 26, 3.24637000000001, 48365, 59.0
base-intel, 10, 200, 10, 10, 18.75, 111.30, 18.10757781, , 0, , 59.0
intel, 10, 200, 10, 10, 32.01, 157.14, 26.74706755, 36, 4.31592999999998, 66749, 60.0
base-intel, 10, 200, 10, 10, 23.36, 115.80, 19.54816489, , 0, , 59.0
intel, 10, 200, 10, 10, 34.74, 161.15, 27.23857141, 21, 3.73395299999999, 39042, 58.0
base-intel, 10, 200, 10, 10, 18.48, 110.10, 17.96034452, , 0, , 58.0
intel, 10, 200, 10, 10, 24.62, 148.12, 24.45059643, 18, 5.18105500000001, 33777, 64.0
base-intel, 10, 200, 10, 10, 18.03, 110.50, 17.65163915, , 0, , 60.0
intel, 10, 200, 10, 10, 27.51, 152.23, 25.21473352, 19, 5.090149, 35492, 61.0
base-intel, 10, 200, 10, 10, 31.91, 123.36, 22.45164357, , 0, , 64.0
