work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-cec-mixed-v3, 10, 400, 10, 10, 545.38, 9.13496933, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 569.38, 10.28867554, 18, 5.20063, 67336
base-cec-mixed-v3, 10, 400, 10, 10, 536.42, 8.06882928, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 555.50, 10.23174981, 49, 5.229743, 181481
base-cec-mixed-v3, 10, 400, 10, 10, 447.93, 7.58913327, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 760.43, 11.04032478, 13, 9.481386, 48684
base-cec-mixed-v3, 10, 400, 10, 10, 447.44, 7.62272337, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 611.29, 10.55711397, 13, 8.324799, 48766
base-cec-mixed-v3, 10, 400, 10, 10, 568.46, 8.20302107, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 888.64, 11.80283394, 27, 5.708477, 100366
base-cec-mixed-v3, 10, 400, 10, 10, 594.33, 8.32991479, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 598.93, 10.42716058, 25, 3.76047200000001, 93042
base-cec-mixed-v3, 10, 400, 10, 10, 377.09, 7.32090100, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 660.16, 10.75247817, 20, 2.59971300000001, 74522
base-cec-mixed-v3, 10, 400, 10, 10, 468.65, 7.70743699, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 522.92, 10.02800021, 23, 4.203598, 85662
base-cec-mixed-v3, 10, 400, 10, 10, 475.11, 7.73987717, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 546.11, 10.13360092, 20, 6.032095, 74658
base-cec-mixed-v3, 10, 400, 10, 10, 398.13, 7.32486846, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 523.66, 10.04108853, 13, 5.377222, 48920
base-cec-mixed-v3, 10, 400, 10, 10, 400.25, 7.33279755, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 538.77, 10.10065804, 24, 6.743488, 89323
base-cec-mixed-v3, 10, 400, 10, 10, 378.74, 7.24626557, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 791.88, 11.36826009, 13, 8.758889, 48881
base-cec-mixed-v3, 10, 400, 10, 10, 475.42, 7.75863763, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 651.90, 10.58300660, 27, 5.43873600000001, 100470
base-cec-mixed-v3, 10, 400, 10, 10, 377.32, 7.35583968, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 563.06, 10.23173958, 17, 9.156824, 63447
base-cec-mixed-v3, 10, 400, 10, 10, 547.17, 8.16263008, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 594.55, 10.35684612, 34, 4.287155, 126467
base-cec-mixed-v3, 10, 400, 10, 10, 400.55, 7.34837923, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 533.42, 10.03397208, 20, 9.84213200000001, 74647
base-cec-mixed-v3, 10, 400, 10, 10, 409.72, 7.42756745, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 587.20, 10.32364260, 18, 6.79914600000001, 67049
base-cec-mixed-v3, 10, 400, 10, 10, 365.80, 7.19379607, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 525.49, 10.00170505, 14, 2.858227, 52429
base-cec-mixed-v3, 10, 400, 10, 10, 508.19, 7.84471860, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 822.76, 11.61045303, 26, 4.3408, 96838
base-cec-mixed-v3, 10, 400, 10, 10, 381.03, 7.23676900, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 522.90, 9.99885009, 14, 4.902918, 52557
base-cec-mixed-v3, 10, 400, 10, 10, 383.60, 7.24395067, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 527.13, 10.04782481, 24, 4.343469, 89549
base-cec-mixed-v3, 10, 400, 10, 10, 370.98, 7.17722008, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 562.21, 10.22685895, 51, 5.254223, 188896
base-cec-mixed-v3, 10, 400, 10, 10, 380.62, 7.26197397, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 535.16, 10.07439099, 36, 5.98076500000001, 133502
base-cec-mixed-v3, 10, 400, 10, 10, 367.22, 7.19758747, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 559.52, 10.14258371, 21, 8.78456300000001, 78384
base-cec-mixed-v3, 10, 400, 10, 10, 426.38, 7.50223358, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 583.85, 10.37828485, 22, 4.06117400000001, 82033
base-cec-mixed-v3, 10, 400, 10, 10, 331.22, 7.11398261, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 462.85, 9.81221370, 19, 2.533731, 71041
base-cec-mixed-v3, 10, 400, 10, 10, 305.86, 7.02803401, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 441.24, 9.75199943, 22, 7.36305300000001, 81815
base-cec-mixed-v3, 10, 400, 10, 10, 317.96, 7.04912145, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 428.61, 9.74272580, 12, 4.080844, 45201
base-cec-mixed-v3, 10, 400, 10, 10, 330.81, 7.12014914, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 437.79, 9.73968195, 16, 4.886149, 59923
base-cec-mixed-v3, 10, 400, 10, 10, 304.51, 7.00714451, , 0, 
cec-mixed-v3, 10, 400, 10, 10, 422.71, 9.67479708, 24, 6.165616, 89387
base-cec-mixed-v3, 10, 400, 10, 10, 311.67, 7.01773350, , 0, 
base-cec-mixed-v3, 10, 400, 25, 10, 315.47, 7.03305726, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 426.42, 9.71016133, 28, 5.21900000000001, 104296
base-cec-mixed-v3, 10, 400, 25, 10, 309.25, 7.03058535, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 427.64, 9.73645143, 48, 5.239839, 177816
base-cec-mixed-v3, 10, 400, 25, 10, 312.51, 7.04972310, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 422.20, 9.68559654, 29, 7.019402, 107760
base-cec-mixed-v3, 10, 400, 25, 10, 310.21, 7.02430975, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 436.98, 9.72554444, 61, 2.949465, 225979
base-cec-mixed-v3, 10, 400, 25, 10, 327.73, 7.05784219, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 440.35, 9.78095137, 54, 3.106289, 199900
base-cec-mixed-v3, 10, 400, 25, 10, 314.18, 7.02949035, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 419.09, 9.68270210, 32, 6.456541, 118816
base-cec-mixed-v3, 10, 400, 25, 10, 303.59, 6.99708535, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 421.87, 9.68605984, 30, 5.735564, 111528
base-cec-mixed-v3, 10, 400, 25, 10, 310.52, 7.02183892, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 425.96, 9.75359410, 32, 4.149749, 118758
base-cec-mixed-v3, 10, 400, 25, 10, 315.46, 7.05758999, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 439.68, 9.73968375, 53, 5.18593200000001, 196384
base-cec-mixed-v3, 10, 400, 25, 10, 300.97, 6.97820073, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 422.54, 9.69733097, 45, 3.979778, 166599
base-cec-mixed-v3, 10, 400, 25, 10, 314.58, 7.02755955, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 428.34, 9.71963991, 34, 4.41236500000001, 126260
base-cec-mixed-v3, 10, 400, 25, 10, 309.29, 7.02908668, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 426.03, 9.69013163, 35, 6.15353, 129761
base-cec-mixed-v3, 10, 400, 25, 10, 306.56, 7.03996451, , 0, 
cec-mixed-v3, 10, 400, 25, 10, 431.92, 10.00119651, 109, 3.563766, 403307
