work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-gradient-descent-1, 10, 800, 10, 25, 16, 186.45, 4.17228106, , 0, , 35.2, 32.5, 35.9, 32.0
gradient-descent-1, 10, 800, 10, 25, 16, 314.64, 7.06878274, 39, 7.29538100000001, 148049, 36.6, 32.2, 36.1, 31.8
base-gradient-descent-1, 10, 800, 10, 25, 16, 189.28, 4.18377378, , 0, , 36.9, 33.5, 35.0, 33.0
gradient-descent-1, 10, 800, 10, 25, 16, 352.47, 7.73858527, 24, 7.308403, 92077, 36.1, 34.4, 34.8, 32.0
base-gradient-descent-1, 10, 800, 10, 25, 16, 185.28, 4.19797270, , 0, , 35.0, 32.5, 38.1, 32.5
gradient-descent-1, 10, 800, 10, 25, 16, 350.61, 7.73820841, 22, 11.956441, 84284, 36.4, 32.5, 39.4, 36.9
base-gradient-descent-1, 10, 800, 10, 25, 16, 188.47, 4.16714486, , 0, , 34.5, 33.0, 36.4, 32.0
base-gradient-descent-1, 10, 800, 10, 25, 64, 192.74, 4.21719215, , 0, , 35.9, 32.5, 34.8, 32.0
gradient-descent-1, 10, 800, 10, 25, 64, 310.71, 7.02231636, 33, 6.769808, 125750, 35.4, 33.0, 35.9, 33.8
base-gradient-descent-1, 10, 800, 10, 25, 64, 192.97, 4.19017998, , 0, , 35.2, 32.8, 42.2, 33.0
gradient-descent-1, 10, 800, 10, 25, 64, 353.02, 7.74367016, 23, 7.29302, 88012, 35.8, 33.4, 35.8, 32.2
base-gradient-descent-1, 10, 800, 10, 25, 64, 183.40, 4.16658887, , 0, , 35.4, 32.5, 36.6, 32.8
gradient-descent-1, 10, 800, 10, 25, 64, 340.78, 7.77276222, 30, 9.99493600000001, 114574, 37.4, 33.9, 36.1, 32.5
base-gradient-descent-1, 10, 800, 10, 25, 64, 193.54, 4.18155757, , 0, , 35.8, 33.0, 40.2, 33.8
gradient-descent-1, 10, 800, 10, 25, 64, 316.41, 7.03402657, 17, 9.54123100000001, 65431, 37.9, 34.9, 35.2, 31.8
base-gradient-descent-1, 10, 800, 10, 25, 64, 185.05, 4.18312963, , 0, , 35.0, 33.0, 41.8, 38.2
gradient-descent-1, 10, 800, 10, 25, 64, 325.86, 7.00571537, 22, 9.07701, 84784, 37.6, 33.8, 35.2, 32.5
base-gradient-descent-1, 10, 800, 10, 25, 64, 188.72, 4.18559046, , 0, , 34.8, 33.0, 39.8, 34.1
gradient-descent-1, 10, 800, 10, 25, 64, 319.05, 7.00600145, 27, 6.215654, 104086, 35.9, 32.8, 35.0, 33.2
base-gradient-descent-1, 10, 800, 10, 25, 64, 183.77, 4.19054712, , 0, , 34.0, 33.0, 40.6, 34.9
gradient-descent-1, 10, 800, 10, 25, 64, 352.55, 7.79691084, 36, 10.722064, 136412, 36.1, 32.5, 36.9, 34.4
base-gradient-descent-1, 10, 800, 10, 25, 64, 190.88, 4.19503176, , 0, , 35.4, 33.4, 37.6, 33.9
gradient-descent-1, 10, 800, 10, 25, 64, 350.38, 7.79437409, 37, 7.866917, 139784, 35.9, 33.8, 36.4, 32.0
base-gradient-descent-1, 10, 800, 10, 25, 64, 191.19, 4.18234176, , 0, , 35.9, 32.5, 35.9, 33.9
gradient-descent-1, 10, 800, 10, 25, 64, 322.17, 7.00622190, 26, 7.55539300000001, 100141, 35.4, 33.5, 35.0, 32.2
base-gradient-descent-1, 10, 800, 10, 25, 64, 190.76, 4.19017794, , 0, , 35.0, 33.5, 36.4, 34.9
gradient-descent-1, 10, 800, 10, 25, 64, 348.93, 7.76805062, 20, 15.244885, 76676, 38.4, 35.9, 41.8, 36.1
base-gradient-descent-1, 10, 800, 10, 25, 64, 187.69, 4.18288786, , 0, , 35.0, 33.0, 36.1, 32.5
gradient-descent-1, 10, 800, 10, 25, 64, 317.53, 6.97869563, 18, 6.447912, 69372, 36.1, 33.0, 36.9, 32.8
base-gradient-descent-1, 10, 800, 10, 25, 64, 191.62, 4.18606267, , 0, , 35.0, 33.2, 40.8, 36.6
gradient-descent-1, 10, 800, 10, 25, 64, 314.56, 7.01006915, 18, 13.674517, 68898, 36.1, 33.4, 33.8, 32.5
base-gradient-descent-1, 10, 800, 10, 25, 64, 197.82, 4.20521597, , 0, , 33.5, 32.5, 39.4, 35.6
gradient-descent-1, 10, 800, 10, 25, 64, 354.05, 7.76779354, 24, 6.20699900000001, 91380, 35.0, 33.0, 35.0, 33.8
base-gradient-descent-1, 10, 800, 10, 25, 64, 184.22, 4.18100773, , 0, , 35.0, 33.0, 40.8, 38.0
gradient-descent-1, 10, 800, 10, 25, 64, 323.26, 7.00844314, 15, 8.00619, 58216, 35.9, 32.5, 35.2, 32.0
base-gradient-descent-1, 10, 800, 10, 25, 64, 187.35, 4.19653331, , 0, , 35.0, 33.0, 37.6, 32.5
gradient-descent-1, 10, 800, 10, 25, 64, 354.43, 7.79427263, 25, 11.122238, 94819, 35.4, 33.4, 37.9, 32.0
base-gradient-descent-1, 10, 800, 10, 25, 64, 191.37, 4.18654050, , 0, , 35.9, 33.0, 37.9, 33.0
gradient-descent-1, 10, 800, 10, 25, 64, 328.41, 7.04143424, 26, 5.247986, 98682, 35.4, 33.8, 35.8, 32.8
base-gradient-descent-1, 10, 800, 10, 25, 64, 192.12, 4.21005110, , 0, , 35.2, 32.5, 38.1, 35.1
gradient-descent-1, 10, 800, 10, 25, 64, 346.19, 7.73989656, 14, 7.95299, 53832, 35.9, 33.2, 34.8, 31.5
base-gradient-descent-1, 10, 800, 10, 25, 64, 198.05, 4.20808875, , 0, , 34.0, 32.0, 34.5, 32.2
gradient-descent-1, 10, 800, 10, 25, 64, 315.56, 6.98612896, 18, 10.755636, 68500, 35.8, 33.9, 39.4, 33.2
base-gradient-descent-1, 10, 800, 10, 25, 64, 187.70, 4.17676874, , 0, , 35.9, 33.2, 44.1, 33.5
gradient-descent-1, 10, 800, 10, 25, 64, 322.77, 7.06094430, 36, 4.88688900000001, 136271, 35.4, 34.0, 35.9, 33.0
base-gradient-descent-1, 10, 800, 10, 25, 64, 186.00, 4.18427843, , 0, , 34.5, 33.0, 36.1, 32.0
gradient-descent-1, 10, 800, 10, 25, 64, 347.45, 7.77614328, 31, 7.639268, 117536, 36.6, 32.5, 36.6, 34.1
base-gradient-descent-1, 10, 800, 10, 25, 64, 187.09, 4.19173930, , 0, , 35.4, 32.5, 42.0, 32.5
gradient-descent-1, 10, 800, 10, 25, 64, 321.08, 7.05404660, 23, 8.59060600000001, 87592, 35.8, 33.0, 38.6, 39.4
base-gradient-descent-1, 10, 800, 10, 25, 64, 190.16, 4.20754280, , 0, , 35.4, 33.0, 34.2, 32.0
gradient-descent-1, 10, 800, 10, 25, 64, 321.03, 7.03701829, 35, 8.233869, 133018, 36.1, 32.5, 35.0, 32.0
base-gradient-descent-1, 10, 800, 10, 25, 64, 191.74, 4.18770544, , 0, , 35.4, 32.2, 36.6, 34.4
gradient-descent-1, 10, 800, 10, 25, 64, 322.42, 7.04576445, 27, 11.081127, 102171, 36.1, 32.5, 38.4, 34.4
base-gradient-descent-1, 10, 800, 10, 25, 64, 186.40, 4.18248840, , 0, , 35.2, 33.0, 41.2, 32.5
gradient-descent-1, 10, 800, 10, 25, 64, 317.66, 7.00780983, 15, 10.136127, 57687, 39.1, 35.1, 37.4, 34.4
base-gradient-descent-1, 10, 800, 10, 25, 64, 191.95, 4.18956482, , 0, , 35.9, 33.0, 39.1, 32.5
gradient-descent-1, 10, 800, 10, 25, 64, 348.51, 7.76652075, 22, 5.913956, 84272, 36.1, 32.5, 41.5, 36.4
base-gradient-descent-1, 10, 800, 10, 25, 64, 191.59, 4.19389467, , 0, , 35.2, 32.5, 42.2, 34.1
gradient-descent-1, 10, 800, 10, 25, 64, 346.77, 7.75133687, 20, 6.907582, 76832, 35.4, 33.9, 35.0, 32.5
base-gradient-descent-1, 10, 800, 10, 25, 64, 192.29, 4.19020109, , 0, , 34.5, 32.5, 41.5, 35.1
gradient-descent-1, 10, 800, 10, 25, 64, 355.93, 7.81498245, 30, 5.26119300000001, 114246, 36.1, 33.0, 35.2, 31.8
base-gradient-descent-1, 10, 800, 10, 25, 64, 192.91, 4.22301180, , 0, , 33.0, 32.0, 34.0, 31.5
gradient-descent-1, 10, 800, 10, 25, 64, 355.99, 7.82869315, 24, 7.931161, 91518, 34.8, 32.8, 34.8, 32.0
base-gradient-descent-1, 10, 800, 10, 25, 64, 199.21, 4.21006964, , 0, , 33.8, 33.0, 33.8, 31.8
gradient-descent-1, 10, 800, 10, 25, 64, 320.22, 7.04963274, 42, 4.759134, 158921, 35.2, 33.0, 48.6, 33.5
base-gradient-descent-1, 10, 800, 10, 25, 64, 199.26, 4.24088648, , 0, , 35.1, 33.4, 33.8, 32.5
gradient-descent-1, 10, 800, 10, 25, 64, 317.93, 7.01199970, 27, 7.22026200000001, 103533, 35.8, 34.1, 36.9, 36.1
base-gradient-descent-1, 10, 800, 10, 25, 64, 190.44, 4.17747027, , 0, , 34.0, 33.4, 39.9, 34.6
base-gradient-descent-1, 10, 800, 25, 25, 16, 195.19, 4.21205448, , 0, , 36.4, 34.1, 33.8, 32.0
gradient-descent-1, 10, 800, 25, 25, 16, 321.50, 7.00733105, 33, 12.795399, 125819, 34.8, 33.4, 34.0, 32.0
base-gradient-descent-1, 10, 800, 25, 25, 16, 193.75, 4.19958992, , 0, , 34.0, 33.0, 36.9, 33.2
gradient-descent-1, 10, 800, 25, 25, 16, 349.73, 7.79415788, 32, 7.64871600000001, 122496, 35.4, 33.5, 36.9, 32.5
base-gradient-descent-1, 10, 800, 25, 25, 16, 186.18, 4.18232319, , 0, , 35.4, 33.9, 41.8, 37.0
gradient-descent-1, 10, 800, 25, 25, 16, 320.82, 7.06338105, 33, 10.849563, 126177, 37.4, 33.9, 42.0, 35.6
base-gradient-descent-1, 10, 800, 25, 25, 16, 192.00, 4.20184694, , 0, , 35.9, 33.0, 43.2, 37.5
gradient-descent-1, 10, 800, 25, 25, 16, 326.21, 7.08395354, 80, 3.093475, 301343, 36.6, 34.0, 39.9, 40.1
base-gradient-descent-1, 10, 800, 25, 25, 16, 197.61, 4.20537712, , 0, , 34.5, 33.4, 43.0, 37.0
gradient-descent-1, 10, 800, 25, 25, 16, 313.76, 7.05832935, 53, 11.314154, 200938, 35.0, 33.4, 42.8, 34.5
base-gradient-descent-1, 10, 800, 25, 25, 16, 186.16, 4.18797388, , 0, , 35.0, 32.5, 38.1, 31.6
gradient-descent-1, 10, 800, 25, 25, 16, 330.22, 7.09142374, 58, 3.281238, 219006, 36.1, 33.0, 39.1, 40.6
base-gradient-descent-1, 10, 800, 25, 25, 16, 189.92, 4.19050674, , 0, , 36.9, 33.9, 41.0, 35.6
gradient-descent-1, 10, 800, 25, 25, 16, 329.24, 7.07534383, 65, 5.052452, 245558, 38.6, 33.9, 37.4, 33.0
base-gradient-descent-1, 10, 800, 25, 25, 16, 188.79, 4.18677134, , 0, , 35.9, 33.4, 37.4, 32.5
gradient-descent-1, 10, 800, 25, 25, 16, 347.46, 7.77886819, 34, 4.34541800000001, 129225, 38.4, 33.9, 42.0, 39.4
base-gradient-descent-1, 10, 800, 25, 25, 16, 195.52, 4.20472319, , 0, , 35.0, 32.5, 37.9, 35.9
gradient-descent-1, 10, 800, 25, 25, 16, 355.13, 7.79419994, 33, 9.124314, 124901, 35.4, 33.9, 40.4, 38.8
base-gradient-descent-1, 10, 800, 25, 25, 16, 188.04, 4.17935286, , 0, , 35.0, 33.4, 39.1, 35.9
gradient-descent-1, 10, 800, 25, 25, 16, 351.27, 7.75226989, 31, 8.61245000000001, 117888, 35.9, 33.0, 35.4, 34.1
base-gradient-descent-1, 10, 800, 25, 25, 16, 195.37, 4.21510437, , 0, , 34.5, 33.5, 35.4, 35.1
gradient-descent-1, 10, 800, 25, 25, 16, 319.02, 7.03187138, 68, 9.86789, 257062, 35.9, 33.0, 38.6, 37.2
base-gradient-descent-1, 10, 800, 25, 25, 16, 187.56, 4.20530605, , 0, , 34.0, 33.4, 38.6, 32.5
gradient-descent-1, 10, 800, 25, 25, 16, 315.41, 6.99787794, 33, 4.338161, 124518, 35.9, 32.5, 31.5, 31.0
base-gradient-descent-1, 10, 800, 25, 25, 16, 184.85, 4.17315738, , 0, , 33.0, 32.0, 38.9, 38.5
gradient-descent-1, 10, 800, 25, 25, 16, 366.86, 7.86814345, 36, 9.34427700000001, 136633, 35.9, 32.8, 40.6, 39.4
base-gradient-descent-1, 10, 800, 25, 25, 16, 184.43, 4.17432181, , 0, , 35.0, 33.4, 36.6, 33.8
gradient-descent-1, 10, 800, 25, 25, 16, 350.80, 7.78235967, 48, 6.34583000000001, 181026, 39.6, 37.8, 40.6, 32.5
base-gradient-descent-1, 10, 800, 25, 25, 16, 183.88, 4.18024247, , 0, , 35.0, 32.5, 36.1, 34.1
gradient-descent-1, 10, 800, 25, 25, 16, 320.22, 7.06776568, 84, 5.26851500000001, 316327, 35.0, 33.0, 38.4, 40.9
base-gradient-descent-1, 10, 800, 25, 25, 16, 183.72, 4.18311284, , 0, , 35.4, 33.4, 36.6, 32.2
gradient-descent-1, 10, 800, 25, 25, 16, 323.09, 7.06696313, 80, 7.659575, 302534, 36.1, 32.5, 36.4, 34.1
base-gradient-descent-1, 10, 800, 25, 25, 16, 186.82, 4.19510776, , 0, , 39.4, 38.0, 36.4, 33.0
gradient-descent-1, 10, 800, 25, 25, 16, 312.51, 7.07818455, 37, 5.86921100000001, 140861, 35.8, 33.4, 37.1, 32.5
base-gradient-descent-1, 10, 800, 25, 25, 16, 190.17, 4.19234969, , 0, , 35.9, 32.5, 36.9, 33.8
gradient-descent-1, 10, 800, 25, 25, 16, 360.22, 7.87366639, 47, 4.949009, 177338, 39.9, 36.4, 43.0, 33.9
base-gradient-descent-1, 10, 800, 25, 25, 16, 188.31, 4.15654273, , 0, , 35.9, 33.4, 38.9, 33.9
gradient-descent-1, 10, 800, 25, 25, 16, 352.25, 7.80116222, 39, 7.93323500000001, 148457, 34.5, 33.4, 36.9, 33.0
base-gradient-descent-1, 10, 800, 25, 25, 16, 184.18, 4.17018415, , 0, , 35.4, 33.0, 37.1, 34.9
gradient-descent-1, 10, 800, 25, 25, 16, 358.14, 7.81588325, 38, 10.187419, 143934, 35.4, 33.0, 38.1, 37.5
base-gradient-descent-1, 10, 800, 25, 25, 16, 191.54, 4.20227617, , 0, , 35.2, 33.4, 40.8, 37.0
gradient-descent-1, 10, 800, 25, 25, 16, 319.20, 7.04718104, 52, 10.444334, 196716, 36.4, 34.4, 38.4, 38.0
base-gradient-descent-1, 10, 800, 25, 25, 16, 188.61, 4.18143855, , 0, , 39.1, 38.8, 36.4, 33.8
gradient-descent-1, 10, 800, 25, 25, 16, 352.68, 7.86844634, 65, 5.30087300000001, 245345, 37.6, 34.9, 37.6, 32.5
base-gradient-descent-1, 10, 800, 25, 25, 16, 186.41, 4.19463661, , 0, , 34.5, 32.5, 37.4, 32.5
gradient-descent-1, 10, 800, 25, 25, 16, 355.17, 7.79181977, 41, 7.025093, 153903, 38.6, 33.8, 38.9, 38.9
base-gradient-descent-1, 10, 800, 25, 25, 16, 184.58, 4.18207198, , 0, , 36.9, 33.0, 56.1, 32.0
gradient-descent-1, 10, 800, 25, 25, 16, 321.29, 7.08211213, 35, 6.265665, 133668, 35.8, 32.5, 43.6, 35.6
base-gradient-descent-1, 10, 800, 25, 25, 16, 183.91, 4.17483155, , 0, , 36.1, 33.2, 38.6, 36.5
gradient-descent-1, 10, 800, 25, 25, 16, 350.63, 7.78724043, 48, 7.65380900000001, 181302, 37.6, 33.0, 37.4, 32.8
base-gradient-descent-1, 10, 800, 25, 25, 16, 202.23, 4.20836378, , 0, , 35.4, 33.4, 34.0, 31.5
gradient-descent-1, 10, 800, 25, 25, 16, 330.66, 7.13357378, 33, 8.345872, 125699, 35.0, 32.0, 39.4, 33.5
base-gradient-descent-1, 10, 800, 25, 25, 16, 185.84, 4.18247181, , 0, , 34.9, 33.0, 37.1, 32.8
gradient-descent-1, 10, 800, 25, 25, 16, 326.01, 7.01639864, 32, 11.680008, 120493, 35.9, 32.5, 41.0, 33.2
base-gradient-descent-1, 10, 800, 25, 25, 16, 186.35, 4.18113479, , 0, , 39.4, 34.1, 35.8, 32.5
gradient-descent-1, 10, 800, 25, 25, 16, 323.52, 7.03732549, 34, 9.123636, 129546, 36.4, 33.5, 37.1, 39.9
base-gradient-descent-1, 10, 800, 25, 25, 16, 190.68, 4.19676415, , 0, , 39.8, 37.2, 39.9, 34.0
gradient-descent-1, 10, 800, 25, 25, 16, 349.47, 7.77598415, 35, 7.941692, 132528, 35.8, 32.2, 40.6, 36.4
base-gradient-descent-1, 10, 800, 25, 25, 16, 187.08, 4.18050137, , 0, , 35.8, 32.5, 36.6, 33.8
gradient-descent-1, 10, 800, 25, 25, 16, 357.89, 7.84082743, 55, 7.399411, 206630, 35.4, 33.4, 36.4, 33.2
base-gradient-descent-1, 10, 800, 25, 25, 16, 187.60, 4.17530865, , 0, , 34.2, 33.0, 37.4, 32.2
base-gradient-descent-1, 10, 800, 25, 25, 64, 190.57, 4.17934193, , 0, , 36.9, 32.5, 35.4, 32.5
gradient-descent-1, 10, 800, 25, 25, 64, 348.46, 7.74064097, 48, 5.22069900000001, 181346, 35.9, 33.5, 35.4, 33.4
base-gradient-descent-1, 10, 800, 25, 25, 64, 188.34, 4.19070423, , 0, , 34.5, 33.4, 38.1, 32.5
gradient-descent-1, 10, 800, 25, 25, 64, 319.25, 7.02102310, 38, 9.269476, 144268, 39.6, 35.9, 35.0, 32.0
base-gradient-descent-1, 10, 800, 25, 25, 64, 190.30, 4.23674237, , 0, , 36.9, 34.4, 34.5, 32.0
gradient-descent-1, 10, 800, 25, 25, 64, 315.49, 7.10442949, 60, 6.18785800000001, 226334, 36.4, 32.5, 37.9, 32.5
base-gradient-descent-1, 10, 800, 25, 25, 64, 187.38, 4.18347929, , 0, , 35.9, 32.5, 42.5, 37.0
gradient-descent-1, 10, 800, 25, 25, 64, 311.63, 7.02931276, 71, 4.176519, 267032, 36.4, 33.8, 35.9, 31.8
base-gradient-descent-1, 10, 800, 25, 25, 64, 193.71, 4.21274706, , 0, , 35.0, 32.5, 34.8, 31.0
gradient-descent-1, 10, 800, 25, 25, 64, 319.21, 7.06537794, 64, 8.840936, 241495, 35.9, 32.5, 36.1, 32.0
base-gradient-descent-1, 10, 800, 25, 25, 64, 188.57, 4.17778957, , 0, , 35.0, 33.0, 36.6, 32.5
gradient-descent-1, 10, 800, 25, 25, 64, 322.68, 7.08555536, 43, 9.522521, 161957, 34.9, 33.0, 36.9, 33.0
base-gradient-descent-1, 10, 800, 25, 25, 64, 196.36, 4.20739016, , 0, , 36.4, 33.5, 39.4, 35.9
gradient-descent-1, 10, 800, 25, 25, 64, 356.06, 7.79616465, 74, 6.69735800000001, 280329, 37.1, 33.5, 38.4, 33.2
base-gradient-descent-1, 10, 800, 25, 25, 64, 198.61, 4.22601444, , 0, , 35.6, 33.5, 42.5, 35.1
gradient-descent-1, 10, 800, 25, 25, 64, 360.35, 7.86398714, 31, 10.487158, 117832, 34.5, 32.5, 40.6, 33.2
base-gradient-descent-1, 10, 800, 25, 25, 64, 185.62, 4.17014642, , 0, , 34.9, 33.0, 35.2, 32.5
gradient-descent-1, 10, 800, 25, 25, 64, 363.80, 7.80864419, 75, 7.67971900000001, 283582, 36.4, 33.4, 34.5, 33.8
base-gradient-descent-1, 10, 800, 25, 25, 64, 195.60, 4.21049880, , 0, , 34.0, 33.0, 39.1, 35.6
gradient-descent-1, 10, 800, 25, 25, 64, 346.49, 7.77558752, 58, 5.861965, 219068, 36.6, 34.4, 36.4, 35.6
base-gradient-descent-1, 10, 800, 25, 25, 64, 196.14, 4.21886528, , 0, , 35.4, 33.0, 35.2, 32.0
gradient-descent-1, 10, 800, 25, 25, 64, 318.82, 7.04799859, 32, 9.31052200000001, 121988, 35.9, 32.8, 35.4, 33.5
base-gradient-descent-1, 10, 800, 25, 25, 64, 193.67, 4.18523498, , 0, , 35.4, 33.4, 42.5, 40.1
gradient-descent-1, 10, 800, 25, 25, 64, 366.08, 7.82895456, 57, 4.832634, 214303, 36.9, 34.4, 31.1, 30.1
base-gradient-descent-1, 10, 800, 25, 25, 64, 195.23, 4.20896621, , 0, , 31.1, 30.5, 34.0, 32.5
gradient-descent-1, 10, 800, 25, 25, 64, 319.90, 7.01988551, 40, 5.723254, 150480, 34.0, 32.5, 39.9, 33.9
base-gradient-descent-1, 10, 800, 25, 25, 64, 189.62, 4.19776135, , 0, , 31.1, 31.0, 36.4, 33.2
gradient-descent-1, 10, 800, 25, 25, 64, 353.55, 7.78778854, 36, 7.39790600000001, 136680, 35.6, 33.8, 37.9, 33.0
base-gradient-descent-1, 10, 800, 25, 25, 64, 194.63, 4.21164141, , 0, , 37.9, 33.0, 32.0, 31.5
gradient-descent-1, 10, 800, 25, 25, 64, 532.22, 8.06627402, 51, 8.335865, 192187, 33.5, 32.0, 41.8, 38.2
base-gradient-descent-1, 10, 800, 25, 25, 64, 290.34, 4.32243700, , 0, , 38.4, 36.4, 35.0, 34.4
gradient-descent-1, 10, 800, 25, 25, 64, 540.13, 8.06164140, 41, 3.937185, 155218, 35.4, 34.4, 36.9, 34.9
base-gradient-descent-1, 10, 800, 25, 25, 64, 288.24, 4.32689717, , 0, , 39.8, 37.0, 41.0, 37.8
gradient-descent-1, 10, 800, 25, 25, 64, 486.99, 7.32342603, 113, 5.0382, 425638, 36.1, 34.9, 35.4, 34.9
base-gradient-descent-1, 10, 800, 25, 25, 64, 291.76, 4.32307655, , 0, , 35.9, 34.9, 42.0, 38.8
gradient-descent-1, 10, 800, 25, 25, 64, 533.15, 8.03418204, 77, 7.025858, 291059, 38.4, 35.9, 36.4, 34.9
base-gradient-descent-1, 10, 800, 25, 25, 64, 289.37, 4.32684582, , 0, , 37.1, 35.4, 37.9, 35.6
gradient-descent-1, 10, 800, 25, 25, 64, 481.09, 7.30413786, 55, 4.64685, 207554, 37.1, 35.4, 43.5, 40.9
base-gradient-descent-1, 10, 800, 25, 25, 64, 295.14, 4.34387737, , 0, , 43.0, 40.4, 37.9, 35.4
gradient-descent-1, 10, 800, 25, 25, 64, 533.08, 8.02943142, 48, 9.372027, 181839, 46.9, 39.4, 37.4, 34.9
base-gradient-descent-1, 10, 800, 25, 25, 64, 290.50, 4.32435821, , 0, , 42.8, 40.1, 42.0, 39.2
gradient-descent-1, 10, 800, 25, 25, 64, 481.75, 7.28104941, 88, 6.390124, 331795, 43.5, 36.9, 50.5, 38.2
base-gradient-descent-1, 10, 800, 25, 25, 64, 293.42, 4.32933381, , 0, , 43.6, 40.1, 39.1, 35.4
gradient-descent-1, 10, 800, 25, 25, 64, 478.67, 7.28530052, 42, 7.103362, 160049, 43.2, 42.2, 43.2, 40.1
base-gradient-descent-1, 10, 800, 25, 25, 64, 292.38, 4.32603148, , 0, , 38.9, 37.2, 40.2, 36.6
gradient-descent-1, 10, 800, 25, 25, 64, 490.40, 7.30644083, 47, 10.073249, 177293, 39.4, 36.9, 37.1, 36.2
base-gradient-descent-1, 10, 800, 25, 25, 64, 290.37, 4.32302802, , 0, , 40.2, 37.8, 48.0, 39.0
gradient-descent-1, 10, 800, 25, 25, 64, 541.43, 8.08050738, 66, 7.89215300000001, 249076, 43.6, 38.8, 37.4, 35.9
base-gradient-descent-1, 10, 800, 25, 25, 64, 292.00, 4.32950425, , 0, , 43.5, 41.1, 37.4, 35.9
gradient-descent-1, 10, 800, 25, 25, 64, 533.32, 8.07672748, 56, 8.445167, 212317, 39.9, 39.0, 38.4, 37.2
base-gradient-descent-1, 10, 800, 25, 25, 64, 293.13, 4.33220923, , 0, , 37.9, 37.0, 38.4, 36.4
gradient-descent-1, 10, 800, 25, 25, 64, 527.03, 7.93382470, 50, 5.845724, 190198, 41.2, 40.1, 36.6, 35.9
base-gradient-descent-1, 10, 800, 25, 25, 64, 290.25, 4.32845119, , 0, , 37.4, 36.2, 36.4, 35.9
gradient-descent-1, 10, 800, 25, 25, 64, 535.36, 8.00602336, 34, 6.41874300000001, 129953, 37.4, 36.2, 46.4, 41.4
base-gradient-descent-1, 10, 800, 25, 25, 64, 288.09, 4.32726139, , 0, , 44.6, 41.9, 42.5, 36.9
gradient-descent-1, 10, 800, 25, 25, 64, 478.21, 7.27959642, 66, 5.28054800000001, 249470, 42.5, 40.6, 43.2, 38.8
base-gradient-descent-1, 10, 800, 25, 25, 64, 291.32, 4.32891823, , 0, , 38.9, 37.2, 42.8, 39.8
gradient-descent-1, 10, 800, 25, 25, 64, 533.00, 8.06098140, 34, 3.852187, 129134, 41.2, 40.9, 43.6, 39.9
base-gradient-descent-1, 10, 800, 25, 25, 64, 290.38, 4.32117893, , 0, , 38.9, 37.8, 45.9, 39.8
gradient-descent-1, 10, 800, 25, 25, 64, 531.64, 8.07083320, 36, 9.40601600000001, 138260, 39.1, 37.0, 38.4, 36.2
base-gradient-descent-1, 10, 800, 25, 25, 64, 290.37, 4.32279243, , 0, , 43.6, 40.9, 36.9, 35.9
