work,dimension,population_size,max_gens,alpha,DRAM, Psys, PKG,seconds,generations,diff_fitness,evaluations
baseline-intel, 5, 200, 50, 10, 17.86, 344.69, 158.66, 16.27842811, , 0, 
baseline-intel, 5, 200, 50, 10, 17.20, 337.33, 160.34, 16.07592041, , 0, 
baseline-intel, 5, 200, 50, 10, 16.72, 330.15, 156.21, 15.76680963, , 0, 
baseline-intel, 5, 200, 50, 10, 17.44, 336.05, 158.12, 16.02433519, , 0, 
baseline-intel, 5, 200, 50, 10, 18.11, 342.24, 163.54, 16.21252326, , 0, 
baseline-intel, 5, 200, 50, 10, 16.95, 335.26, 155.27, 15.96305198, , 0, 
baseline-intel, 5, 200, 50, 10, 15.91, 325.98, 155.15, 15.55674439, , 0, 
baseline-intel, 5, 200, 50, 10, 16.23, 327.34, 154.07, 15.62425423, , 0, 
baseline-intel, 5, 200, 50, 10, 19.06, 353.56, 163.15, 16.65198397, , 0, 
baseline-intel, 5, 200, 50, 10, 17.91, 343.51, 161.73, 16.20353101, , 0, 
baseline-intel, 5, 200, 50, 10, 17.56, 343.12, 157.54, 16.15348458, , 0, 
baseline-intel, 5, 200, 50, 10, 17.05, 333.05, 156.22, 15.92599679, , 0, 
baseline-intel, 5, 200, 50, 10, 16.63, 330.72, 155.66, 15.81089333, , 0, 
baseline-intel, 5, 200, 50, 10, 15.39, 323.31, 154.31, 15.48595315, , 0, 
baseline-intel, 5, 200, 50, 10, 18.32, 344.60, 160.71, 16.31608014, , 0, 
baseline-intel, 5, 200, 50, 10, 17.49, 339.39, 158.00, 16.05905690, , 0, 
baseline-intel, 5, 200, 50, 10, 16.41, 328.39, 155.01, 15.67241599, , 0, 
baseline-intel, 5, 200, 50, 10, 17.30, 336.40, 158.94, 16.05791664, , 0, 
baseline-intel, 5, 200, 50, 10, 18.07, 345.49, 161.10, 16.21925404, , 0, 
baseline-intel, 5, 200, 50, 10, 15.11, 321.04, 153.67, 15.43025971, , 0, 
baseline-intel, 5, 200, 50, 10, 14.92, 321.23, 153.38, 15.33769726, , 0, 
baseline-intel, 5, 200, 50, 10, 14.78, 317.41, 152.42, 15.17981529, , 0, 
baseline-intel, 5, 200, 50, 10, 14.96, 320.02, 152.75, 15.34470047, , 0, 
baseline-intel, 5, 200, 50, 10, 23.53, 383.44, 178.70, 18.00132838, , 0, 
baseline-intel, 5, 200, 50, 10, 15.11, 317.89, 152.06, 15.37313932, , 0, 
baseline-intel, 5, 200, 50, 10, 14.82, 318.97, 152.97, 15.28956171, , 0, 
baseline-intel, 5, 200, 50, 10, 17.29, 338.68, 161.43, 16.06446854, , 0, 
baseline-intel, 5, 200, 50, 10, 23.81, 379.80, 180.10, 18.09974517, , 0, 
baseline-intel, 5, 200, 50, 10, 14.63, 316.44, 149.70, 15.16463568, , 0, 
baseline-intel, 5, 200, 50, 10, 21.80, 367.58, 174.08, 17.34458945, , 0, 
baseline-intel, 5, 200, 50, 25, 17.61, 339.21, 158.31, 16.12067971, , 0, 
baseline-intel, 5, 200, 50, 25, 17.68, 340.76, 163.29, 16.16515999, , 0, 
baseline-intel, 5, 200, 50, 25, 16.81, 333.62, 157.94, 15.90966551, , 0, 
baseline-intel, 5, 200, 50, 25, 16.25, 331.18, 160.41, 15.74003950, , 0, 
baseline-intel, 5, 200, 50, 25, 16.49, 330.80, 154.50, 15.82293813, , 0, 
baseline-intel, 5, 200, 50, 25, 17.60, 337.85, 160.72, 16.06565455, , 0, 
baseline-intel, 5, 200, 50, 25, 16.50, 336.51, 160.17, 15.87933471, , 0, 
baseline-intel, 5, 200, 50, 25, 16.21, 328.05, 154.76, 15.64076898, , 0, 
baseline-intel, 5, 200, 50, 25, 19.76, 351.28, 162.11, 16.57113519, , 0, 
baseline-intel, 5, 200, 50, 25, 14.83, 318.28, 156.47, 15.27829919, , 0, 
baseline-intel, 5, 200, 50, 25, 15.15, 319.71, 153.60, 15.33581905, , 0, 
baseline-intel, 5, 200, 50, 25, 15.20, 319.36, 152.58, 15.34484872, , 0, 
baseline-intel, 5, 200, 50, 25, 18.42, 347.97, 161.28, 16.61322580, , 0, 
baseline-intel, 5, 200, 50, 25, 17.67, 341.96, 161.92, 16.15472479, , 0, 
baseline-intel, 5, 200, 50, 25, 22.62, 382.41, 178.97, 18.06913398, , 0, 
baseline-intel, 5, 200, 50, 25, 15.79, 327.03, 150.13, 15.59289672, , 0, 
baseline-intel, 5, 200, 50, 25, 17.86, 348.20, 166.55, 16.38479535, , 0, 
baseline-intel, 5, 200, 50, 25, 20.34, 367.57, 168.66, 17.29288348, , 0, 
baseline-intel, 5, 200, 50, 25, 16.84, 337.53, 159.80, 15.94905792, , 0, 
baseline-intel, 5, 200, 50, 25, 17.08, 338.04, 158.52, 16.02432639, , 0, 
baseline-intel, 5, 200, 50, 25, 17.44, 341.81, 163.27, 16.13686499, , 0, 
baseline-intel, 5, 200, 50, 25, 17.99, 347.38, 163.21, 16.35594129, , 0, 
baseline-intel, 5, 200, 50, 25, 19.19, 354.65, 166.08, 16.73351669, , 0, 
baseline-intel, 5, 200, 50, 25, 16.64, 337.44, 157.67, 15.91330092, , 0, 
baseline-intel, 5, 200, 50, 25, 20.42, 365.86, 169.55, 17.21508544, , 0, 
baseline-intel, 5, 200, 50, 25, 17.56, 341.64, 162.60, 16.14099208, , 0, 
baseline-intel, 5, 200, 50, 25, 18.48, 347.65, 161.71, 16.40667094, , 0, 
baseline-intel, 5, 200, 50, 25, 17.12, 337.73, 159.18, 16.00857634, , 0, 
baseline-intel, 5, 200, 50, 25, 16.42, 333.12, 156.40, 15.81050443, , 0, 
baseline-intel, 5, 200, 50, 25, 16.72, 334.14, 154.44, 15.91629357, , 0, 
baseline-intel, 5, 400, 10, 10, 16.11, 331.32, 153.00, 15.73778881, , 0, 
baseline-intel, 5, 400, 10, 10, 15.36, 322.93, 151.54, 15.47142254, , 0, 
baseline-intel, 5, 400, 10, 10, 15.35, 321.39, 154.31, 15.46489645, , 0, 
baseline-intel, 5, 400, 10, 10, 17.10, 336.81, 158.47, 16.07038160, , 0, 
baseline-intel, 5, 400, 10, 10, 17.68, 345.39, 157.55, 16.25825096, , 0, 
baseline-intel, 5, 400, 10, 10, 15.96, 328.84, 154.48, 15.60558017, , 0, 
baseline-intel, 5, 400, 10, 10, 18.24, 348.42, 161.25, 16.39250297, , 0, 
baseline-intel, 5, 400, 10, 10, 18.30, 345.54, 162.55, 16.39133478, , 0, 
baseline-intel, 5, 400, 10, 10, 17.36, 340.15, 158.28, 16.07804440, , 0, 
baseline-intel, 5, 400, 10, 10, 16.92, 337.77, 158.85, 15.98914975, , 0, 
baseline-intel, 5, 400, 10, 10, 19.00, 353.12, 167.80, 16.60262928, , 0, 
baseline-intel, 5, 400, 10, 10, 18.58, 350.78, 163.49, 16.62679974, , 0, 
baseline-intel, 5, 400, 10, 10, 17.82, 344.28, 162.97, 16.27448155, , 0, 
baseline-intel, 5, 400, 10, 10, 18.01, 345.68, 157.56, 16.27929084, , 0, 
baseline-intel, 5, 400, 10, 10, 18.82, 352.98, 163.62, 16.61600662, , 0, 
baseline-intel, 5, 400, 10, 10, 16.37, 331.54, 157.59, 15.87150959, , 0, 
baseline-intel, 5, 400, 10, 10, 15.26, 320.51, 151.36, 15.33542562, , 0, 
baseline-intel, 5, 400, 10, 10, 16.83, 333.08, 158.76, 15.86912166, , 0, 
baseline-intel, 5, 400, 10, 10, 17.85, 340.71, 160.36, 16.25322130, , 0, 
baseline-intel, 5, 400, 10, 10, 17.27, 340.92, 160.69, 16.10196190, , 0, 
baseline-intel, 5, 400, 10, 10, 16.91, 336.42, 154.92, 15.97044426, , 0, 
baseline-intel, 5, 400, 10, 10, 15.73, 325.18, 154.97, 15.58425665, , 0, 
baseline-intel, 5, 400, 10, 10, 16.79, 332.03, 155.23, 15.83693487, , 0, 
baseline-intel, 5, 400, 10, 10, 16.26, 330.80, 157.70, 15.75482460, , 0, 
baseline-intel, 5, 400, 10, 10, 17.76, 335.20, 162.60, 15.90489591, , 0, 
baseline-intel, 5, 400, 10, 10, 16.29, 330.87, 156.32, 15.72560195, , 0, 
baseline-intel, 5, 400, 10, 10, 16.97, 336.63, 160.83, 15.99194200, , 0, 
baseline-intel, 5, 400, 10, 10, 16.30, 327.00, 156.08, 15.59290435, , 0, 
baseline-intel, 5, 400, 10, 10, 19.49, 352.41, 165.47, 16.62748321, , 0, 
baseline-intel, 5, 400, 10, 10, 18.64, 342.61, 160.25, 16.27677955, , 0, 
baseline-intel, 5, 400, 10, 25, 19.63, 354.15, 166.64, 16.72513729, , 0, 
baseline-intel, 5, 400, 10, 25, 17.55, 337.96, 157.33, 16.01442300, , 0, 
baseline-intel, 5, 400, 10, 25, 15.05, 320.38, 153.17, 15.33576441, , 0, 
baseline-intel, 5, 400, 10, 25, 21.17, 360.87, 169.88, 16.99566482, , 0, 
baseline-intel, 5, 400, 10, 25, 17.41, 339.38, 160.88, 15.97962406, , 0, 
baseline-intel, 5, 400, 10, 25, 22.90, 380.37, 177.05, 17.73527943, , 0, 
baseline-intel, 5, 400, 10, 25, 17.01, 333.92, 157.07, 15.90067770, , 0, 
baseline-intel, 5, 400, 10, 25, 15.45, 323.75, 151.65, 15.51286974, , 0, 
baseline-intel, 5, 400, 10, 25, 15.11, 320.75, 149.17, 15.40219860, , 0, 
baseline-intel, 5, 400, 10, 25, 15.21, 321.64, 154.17, 15.43847726, , 0, 
baseline-intel, 5, 400, 10, 25, 22.75, 374.26, 174.75, 17.57451205, , 0, 
baseline-intel, 5, 400, 10, 25, 19.36, 346.94, 162.23, 16.53661290, , 0, 
baseline-intel, 5, 400, 10, 25, 17.91, 340.58, 161.23, 16.19966241, , 0, 
baseline-intel, 5, 400, 10, 25, 30.20, 439.84, 207.48, 20.49761556, , 0, 
baseline-intel, 5, 400, 10, 25, 16.53, 334.16, 158.89, 15.92508364, , 0, 
baseline-intel, 5, 400, 10, 25, 16.82, 333.60, 161.09, 15.97330654, , 0, 
baseline-intel, 5, 400, 10, 25, 17.07, 337.90, 159.19, 16.09441225, , 0, 
baseline-intel, 5, 400, 10, 25, 17.70, 341.73, 159.04, 16.22670351, , 0, 
baseline-intel, 5, 400, 10, 25, 20.16, 359.05, 166.83, 16.90617287, , 0, 
baseline-intel, 5, 400, 10, 25, 17.33, 337.74, 160.35, 16.07882174, , 0, 
baseline-intel, 5, 400, 10, 25, 14.83, 319.71, 153.08, 15.33109698, , 0, 
baseline-intel, 5, 400, 10, 25, 16.68, 333.43, 157.20, 15.82957228, , 0, 
baseline-intel, 5, 400, 10, 25, 15.31, 321.45, 155.25, 15.38863363, , 0, 
baseline-intel, 5, 400, 10, 25, 16.19, 330.59, 157.04, 15.70193064, , 0, 
baseline-intel, 5, 400, 10, 25, 15.69, 325.24, 155.94, 15.56261827, , 0, 
baseline-intel, 5, 400, 10, 25, 15.70, 326.13, 157.54, 15.56743191, , 0, 
baseline-intel, 5, 400, 10, 25, 15.79, 325.10, 153.48, 15.60737795, , 0, 
baseline-intel, 5, 400, 10, 25, 15.22, 322.87, 153.43, 15.45764375, , 0, 
baseline-intel, 5, 400, 10, 25, 14.68, 315.17, 152.02, 15.19493662, , 0, 
baseline-intel, 5, 400, 10, 25, 15.09, 318.43, 156.61, 15.28330579, , 0, 
baseline-intel, 5, 400, 50, 10, 16.10, 327.55, 158.39, 15.69082949, , 0, 
baseline-intel, 5, 400, 50, 10, 27.18, 416.73, 195.46, 19.48792581, , 0, 
baseline-intel, 5, 400, 50, 10, 17.06, 339.12, 160.80, 16.02299030, , 0, 
baseline-intel, 5, 400, 50, 10, 17.82, 338.70, 158.81, 16.14618081, , 0, 
baseline-intel, 5, 400, 50, 10, 14.63, 315.28, 150.57, 15.20796663, , 0, 
baseline-intel, 5, 400, 50, 10, 14.65, 314.88, 150.69, 15.20450438, , 0, 
baseline-intel, 5, 400, 50, 10, 14.81, 317.40, 153.54, 15.30415414, , 0, 
baseline-intel, 5, 400, 50, 10, 15.05, 318.76, 155.94, 15.36946414, , 0, 
baseline-intel, 5, 400, 50, 10, 14.64, 314.68, 151.17, 15.22197538, , 0, 
baseline-intel, 5, 400, 50, 10, 14.65, 314.93, 150.96, 15.18801439, , 0, 
baseline-intel, 5, 400, 50, 10, 14.93, 319.72, 154.11, 15.34974934, , 0, 
baseline-intel, 5, 400, 50, 10, 14.99, 318.25, 151.89, 15.30802061, , 0, 
baseline-intel, 5, 400, 50, 10, 14.99, 318.52, 152.76, 15.34278821, , 0, 
baseline-intel, 5, 400, 50, 10, 19.05, 354.86, 168.88, 16.70487136, , 0, 
baseline-intel, 5, 400, 50, 10, 18.58, 351.69, 161.84, 16.56591095, , 0, 
baseline-intel, 5, 400, 50, 10, 19.13, 348.05, 164.30, 16.56009601, , 0, 
baseline-intel, 5, 400, 50, 10, 18.88, 348.83, 164.65, 16.49245724, , 0, 
baseline-intel, 5, 400, 50, 10, 20.47, 356.79, 170.22, 16.81942615, , 0, 
baseline-intel, 5, 400, 50, 10, 17.83, 343.33, 161.68, 16.24148039, , 0, 
baseline-intel, 5, 400, 50, 10, 17.63, 341.85, 160.90, 16.16217055, , 0, 
baseline-intel, 5, 400, 50, 10, 15.35, 321.69, 154.17, 15.34693985, , 0, 
baseline-intel, 5, 400, 50, 10, 15.36, 324.29, 153.27, 15.43944425, , 0, 
baseline-intel, 5, 400, 50, 10, 15.31, 322.13, 152.88, 15.43170606, , 0, 
baseline-intel, 5, 400, 50, 10, 17.89, 343.38, 164.07, 16.30237832, , 0, 
baseline-intel, 5, 400, 50, 10, 15.24, 325.29, 153.94, 15.62432870, , 0, 
baseline-intel, 5, 400, 50, 10, 15.24, 322.91, 154.69, 15.46034557, , 0, 
baseline-intel, 5, 400, 50, 10, 17.48, 334.71, 158.91, 15.95962454, , 0, 
baseline-intel, 5, 400, 50, 10, 29.46, 432.46, 197.42, 20.29119884, , 0, 
baseline-intel, 5, 400, 50, 10, 15.81, 327.96, 154.62, 15.58217338, , 0, 
baseline-intel, 5, 400, 50, 10, 18.24, 348.42, 162.69, 16.38714550, , 0, 
baseline-intel, 5, 400, 50, 25, 19.37, 357.26, 166.58, 16.87095866, , 0, 
baseline-intel, 5, 400, 50, 25, 20.39, 359.11, 164.94, 16.85440896, , 0, 
baseline-intel, 5, 400, 50, 25, 16.83, 338.29, 156.65, 15.88386168, , 0, 
baseline-intel, 5, 400, 50, 25, 17.99, 342.45, 157.31, 16.16621416, , 0, 
baseline-intel, 5, 400, 50, 25, 19.28, 353.42, 166.56, 16.64367008, , 0, 
baseline-intel, 5, 400, 50, 25, 18.30, 350.56, 163.04, 16.49104703, , 0, 
baseline-intel, 5, 400, 50, 25, 19.06, 354.61, 168.88, 16.69986009, , 0, 
baseline-intel, 5, 400, 50, 25, 16.18, 332.07, 155.09, 15.77295342, , 0, 
baseline-intel, 5, 400, 50, 25, 15.43, 322.64, 151.11, 15.40892235, , 0, 
baseline-intel, 5, 400, 50, 25, 18.60, 354.98, 163.22, 16.77406251, , 0, 
baseline-intel, 5, 400, 50, 25, 15.74, 325.06, 154.12, 15.54687694, , 0, 
baseline-intel, 5, 400, 50, 25, 17.97, 343.62, 162.71, 16.32082246, , 0, 
baseline-intel, 5, 400, 50, 25, 16.68, 334.39, 158.71, 15.97154532, , 0, 
baseline-intel, 5, 400, 50, 25, 17.42, 340.19, 158.49, 16.10046416, , 0, 
baseline-intel, 5, 400, 50, 25, 19.42, 353.11, 166.41, 16.65562443, , 0, 
baseline-intel, 5, 400, 50, 25, 22.70, 369.32, 168.39, 17.33748248, , 0, 
baseline-intel, 5, 400, 50, 25, 30.56, 419.72, 195.24, 19.35525579, , 0, 
baseline-intel, 5, 400, 50, 25, 22.76, 370.98, 177.08, 17.26886082, , 0, 
baseline-intel, 5, 400, 50, 25, 22.41, 360.83, 168.31, 17.16241387, , 0, 
baseline-intel, 5, 400, 50, 25, 27.78, 399.20, 187.11, 18.57454515, , 0, 
baseline-intel, 5, 400, 50, 25, 31.57, 421.22, 197.08, 19.47208536, , 0, 
baseline-intel, 5, 400, 50, 25, 26.01, 386.36, 180.39, 18.06839055, , 0, 
baseline-intel, 5, 400, 50, 25, 26.49, 392.04, 178.57, 18.35966126, , 0, 
baseline-intel, 5, 400, 50, 25, 20.74, 356.77, 167.61, 16.85241845, , 0, 
baseline-intel, 5, 400, 50, 25, 21.45, 362.78, 169.95, 17.04692096, , 0, 
baseline-intel, 5, 400, 50, 25, 25.81, 386.42, 181.11, 17.94529120, , 0, 
baseline-intel, 5, 400, 50, 25, 30.28, 407.46, 186.99, 18.90009648, , 0, 
baseline-intel, 5, 400, 50, 25, 18.64, 339.45, 162.82, 16.22855357, , 0, 
baseline-intel, 5, 400, 50, 25, 22.72, 363.07, 171.59, 17.11689762, , 0, 
baseline-intel, 5, 400, 50, 25, 22.58, 360.93, 169.50, 17.15960617, , 0, 
