work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
cec-mixed-v2, 10, 400, 25, 10, 691.65, 10.27813593, 54, 2.370709, 199977
base-cec-mixed-v2, 10, 400, 25, 10, 466.20, 7.35533367, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 772.70, 10.66362060, 36, 6.917505, 133795
base-cec-mixed-v2, 10, 400, 25, 10, 617.33, 8.08863130, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 723.89, 10.33977485, 32, 5.49827, 118792
base-cec-mixed-v2, 10, 400, 25, 10, 538.90, 7.59700204, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 833.91, 10.87570440, 45, 4.49492, 166275
base-cec-mixed-v2, 10, 400, 25, 10, 625.24, 7.91173315, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 692.36, 10.41885560, 33, 6.27033, 122668
base-cec-mixed-v2, 10, 400, 25, 10, 305.46, 6.90210139, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 416.94, 9.31534797, 64, 3.600041, 236752
base-cec-mixed-v2, 10, 400, 25, 10, 541.88, 8.00394625, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 940.02, 11.55174973, 27, 8.144326, 100949
base-cec-mixed-v2, 10, 400, 25, 10, 406.68, 7.19429878, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 661.63, 9.96586295, 66, 5.851247, 244301
base-cec-mixed-v2, 10, 400, 25, 10, 345.94, 7.00379362, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 602.77, 9.96559900, 55, 4.902899, 203645
base-cec-mixed-v2, 10, 400, 25, 10, 559.55, 7.77944203, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 827.81, 10.74948130, 45, 5.455227, 166757
base-cec-mixed-v2, 10, 400, 25, 10, 375.59, 7.08745300, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 444.71, 9.35369072, 40, 5.18044, 148576
base-cec-mixed-v2, 10, 400, 25, 10, 340.76, 6.94882222, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 451.54, 9.37801523, 57, 5.886218, 210730
base-cec-mixed-v2, 10, 400, 25, 10, 333.57, 6.93384046, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 446.62, 9.37941917, 37, 2.822115, 137369
base-cec-mixed-v2, 10, 400, 25, 10, 322.88, 6.90675886, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 432.48, 9.32362659, 50, 4.64195, 185154
base-cec-mixed-v2, 10, 400, 25, 10, 323.52, 6.90376315, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 459.66, 9.40768762, 53, 3.584311, 196302
base-cec-mixed-v2, 10, 400, 25, 10, 608.86, 8.14034079, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 451.50, 9.41177134, 63, 3.674911, 233159
base-cec-mixed-v2, 10, 400, 25, 10, 327.28, 6.92597221, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 432.27, 9.32781472, 31, 4.51511, 115281
base-cec-mixed-v2, 10, 400, 25, 10, 314.89, 6.87645088, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 440.67, 9.36309153, 64, 4.330729, 237203
base-cec-mixed-v2, 10, 400, 25, 10, 329.90, 6.94114240, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 458.40, 9.46695344, 64, 5.163802, 237025
base-cec-mixed-v2, 10, 400, 25, 10, 391.02, 7.18635364, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 507.60, 9.57795385, 64, 4.975184, 236730
base-cec-mixed-v2, 10, 400, 25, 10, 352.16, 6.99031390, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 465.65, 9.42018643, 32, 6.891808, 119292
base-cec-mixed-v2, 10, 400, 25, 10, 343.39, 6.96543469, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 494.54, 9.50099613, 33, 3.344776, 122499
base-cec-mixed-v2, 10, 400, 25, 10, 455.81, 7.45584732, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 507.75, 9.57487174, 39, 6.891888, 144578
base-cec-mixed-v2, 10, 400, 25, 10, 381.15, 7.11124879, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 607.13, 10.09120807, 36, 3.842033, 133514
base-cec-mixed-v2, 10, 400, 25, 10, 454.76, 7.42061482, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 604.27, 9.77920922, 52, 6.271369, 192669
base-cec-mixed-v2, 10, 400, 25, 10, 390.05, 7.18431037, , 0, 
cec-mixed-v2, 10, 400, 25, 10, 511.23, 9.53891979, 72, 6.465484, 266359
base-cec-mixed-v2, 10, 400, 25, 10, 424.68, 7.30030766, , 0, 
base-cec-mixed-v2, 10, 200, 10, 10, 468.97, 7.55742916, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 664.19, 10.15238903, 15, 8.825548, 28024
base-cec-mixed-v2, 10, 200, 10, 10, 411.57, 7.07610288, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 628.32, 9.84584198, 30, 9.232963, 55731
base-cec-mixed-v2, 10, 200, 10, 10, 430.29, 7.17484019, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 668.86, 10.03238831, 20, 4.205176, 37313
base-cec-mixed-v2, 10, 200, 10, 10, 512.69, 7.41661920, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 661.91, 9.82036116, 14, 6.737834, 26384
base-cec-mixed-v2, 10, 200, 10, 10, 457.40, 7.15678520, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 645.85, 9.83395367, 15, 6.388775, 28162
base-cec-mixed-v2, 10, 200, 10, 10, 445.69, 7.12218306, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 624.48, 9.73622946, 26, 8.998913, 48166
base-cec-mixed-v2, 10, 200, 10, 10, 431.50, 7.18646174, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 442.52, 9.31269375, 36, 7.751585, 66840
base-cec-mixed-v2, 10, 200, 10, 10, 345.61, 7.03086332, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 594.82, 9.71125419, 22, 6.770071, 40938
base-cec-mixed-v2, 10, 200, 10, 10, 439.16, 7.17589643, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 625.12, 9.76296726, 13, 5.38972, 24275
base-cec-mixed-v2, 10, 200, 10, 10, 502.35, 7.45675048, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 899.86, 10.88307453, 27, 7.663172, 50202
base-cec-mixed-v2, 10, 200, 10, 10, 614.96, 7.62678324, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 850.52, 10.64426015, 13, 11.769727, 24438
base-cec-mixed-v2, 10, 200, 10, 10, 1288.53, 11.66293319, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 2119.49, 18.03637837, 16, 10.315564, 29888
base-cec-mixed-v2, 10, 200, 10, 10, 1558.60, 13.26955378, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 1387.67, 13.92011998, 14, 6.503147, 26302
base-cec-mixed-v2, 10, 200, 10, 10, 520.10, 7.47354962, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 717.04, 10.10074482, 15, 6.97735, 28079
base-cec-mixed-v2, 10, 200, 10, 10, 577.24, 7.38082972, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 680.80, 9.93282532, 35, 5.609795, 64888
base-cec-mixed-v2, 10, 200, 10, 10, 546.63, 7.67624532, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 693.57, 10.08247805, 13, 8.185299, 24381
base-cec-mixed-v2, 10, 200, 10, 10, 445.98, 7.16565091, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 666.51, 10.04072823, 17, 6.92392299999999, 31764
base-cec-mixed-v2, 10, 200, 10, 10, 512.41, 7.48383936, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 638.88, 9.97539483, 39, 7.944705, 72526
base-cec-mixed-v2, 10, 200, 10, 10, 483.57, 7.43069756, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 464.04, 9.48438863, 14, 6.556677, 26288
base-cec-mixed-v2, 10, 200, 10, 10, 333.53, 6.98055196, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 598.84, 9.62904597, 23, 5.766069, 42731
base-cec-mixed-v2, 10, 200, 10, 10, 442.18, 7.16199041, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 657.95, 10.13214712, 16, 6.963502, 29839
base-cec-mixed-v2, 10, 200, 10, 10, 1312.92, 11.80912253, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 1992.31, 17.27214322, 22, 7.191004, 40979
base-cec-mixed-v2, 10, 200, 10, 10, 1506.57, 12.98212444, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 2077.17, 17.85104364, 18, 6.588078, 33509
base-cec-mixed-v2, 10, 200, 10, 10, 848.66, 9.18362939, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 487.88, 9.53341185, 41, 6.325193, 76095
base-cec-mixed-v2, 10, 200, 10, 10, 510.93, 7.57245223, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 530.52, 9.76876102, 24, 9.086466, 44754
base-cec-mixed-v2, 10, 200, 10, 10, 365.57, 7.12975837, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 522.52, 9.74344061, 22, 10.469551, 41063
base-cec-mixed-v2, 10, 200, 10, 10, 453.05, 7.46139301, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 827.59, 10.94650262, 14, 5.70007, 26275
base-cec-mixed-v2, 10, 200, 10, 10, 619.22, 7.82278662, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 755.26, 10.44039358, 20, 8.374739, 37404
base-cec-mixed-v2, 10, 200, 10, 10, 496.17, 7.38485773, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 843.69, 10.75048771, 25, 5.590929, 46529
base-cec-mixed-v2, 10, 200, 10, 10, 785.62, 8.55188528, , 0, 
cec-mixed-v2, 10, 200, 10, 10, 742.01, 10.60386280, 20, 5.741558, 37297
base-cec-mixed-v2, 10, 200, 10, 10, 517.51, 7.76299458, , 0, 
base-cec-mixed-v2, 10, 200, 25, 10, 613.90, 7.85383471, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 809.57, 10.71957728, 52, 6.712307, 96330
base-cec-mixed-v2, 10, 200, 25, 10, 621.14, 7.92826204, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 770.56, 10.57744242, 32, 6.584428, 59220
base-cec-mixed-v2, 10, 200, 25, 10, 500.83, 7.57943900, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 563.46, 9.70099019, 70, 6.744207, 129268
base-cec-mixed-v2, 10, 200, 25, 10, 391.76, 7.06766452, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 543.63, 9.59089119, 29, 3.865429, 53995
base-cec-mixed-v2, 10, 200, 25, 10, 405.80, 7.13139180, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 549.00, 9.68010310, 64, 5.373191, 118267
base-cec-mixed-v2, 10, 200, 25, 10, 396.79, 7.09793534, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 543.49, 9.56826706, 39, 5.157894, 72214
base-cec-mixed-v2, 10, 200, 25, 10, 402.83, 7.11988412, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 536.82, 9.58705813, 39, 5.98107299999999, 72167
base-cec-mixed-v2, 10, 200, 25, 10, 395.35, 7.08178471, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 552.15, 9.64513387, 56, 6.916579, 103476
base-cec-mixed-v2, 10, 200, 25, 10, 397.19, 7.08327937, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 547.58, 9.63182105, 92, 6.065944, 169994
base-cec-mixed-v2, 10, 200, 25, 10, 393.60, 7.07497903, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 548.19, 9.62292095, 38, 5.70740199999999, 70472
base-cec-mixed-v2, 10, 200, 25, 10, 410.26, 7.11431754, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 558.35, 9.62576426, 66, 6.13515599999999, 122009
base-cec-mixed-v2, 10, 200, 25, 10, 393.03, 7.04433352, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 531.38, 9.58776747, 124, 6.583628, 228902
base-cec-mixed-v2, 10, 200, 25, 10, 396.30, 7.09116188, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 537.97, 9.55017939, 34, 5.928614, 63224
base-cec-mixed-v2, 10, 200, 25, 10, 409.75, 7.11847052, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 537.33, 9.61214530, 72, 4.684049, 133060
base-cec-mixed-v2, 10, 200, 25, 10, 405.40, 7.11157235, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 585.66, 9.72011965, 47, 5.769768, 86932
base-cec-mixed-v2, 10, 200, 25, 10, 409.60, 7.14907080, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 537.94, 9.57455300, 55, 6.725845, 101801
base-cec-mixed-v2, 10, 200, 25, 10, 403.93, 7.15222192, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 537.76, 9.58108253, 53, 6.936414, 98109
base-cec-mixed-v2, 10, 200, 25, 10, 397.74, 7.08956552, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 544.71, 9.64064981, 96, 6.357818, 177166
base-cec-mixed-v2, 10, 200, 25, 10, 402.73, 7.12624638, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 531.27, 9.52578689, 31, 7.000828, 57605
base-cec-mixed-v2, 10, 200, 25, 10, 395.93, 7.07848394, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 538.18, 9.56442684, 50, 7.327281, 92596
base-cec-mixed-v2, 10, 200, 25, 10, 401.40, 7.12551448, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 568.40, 9.72328172, 49, 5.279985, 90635
base-cec-mixed-v2, 10, 200, 25, 10, 404.83, 7.10347018, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 537.56, 9.58322173, 40, 5.784669, 74023
base-cec-mixed-v2, 10, 200, 25, 10, 396.08, 7.08217551, , 0, 
cec-mixed-v2, 10, 200, 25, 10, 543.68, 9.59632795, 42, 2.743628, 77738
base-cec-mixed-v2, 10, 200, 25, 10, 402.71, 7.10184962, , 0, 
