work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-unbalanced-2, 10, 400, 10, 10, 562.98, 7.32268199, , 0, , 31.5, 30.5
unbalanced-2, 10, 400, 10, 10, 844.22, 10.41273778, 24, 2.94928400000001, 89495, 38.4, 35.4
base-unbalanced-2, 10, 400, 10, 10, 905.98, 8.95744758, , 0, , 42.2, 35.4
unbalanced-2, 10, 400, 10, 10, 820.42, 10.32813303, 34, 5.814554, 126431, 78.1, 37.8
base-unbalanced-2, 10, 400, 10, 10, 452.02, 6.81883875, , 0, , 37.6, 35.1
unbalanced-2, 10, 400, 10, 10, 675.19, 9.60940419, 16, 10.325315, 60010, 35.4, 33.9
base-unbalanced-2, 10, 400, 10, 10, 525.47, 7.20458185, , 0, , 40.4, 38.5
unbalanced-2, 10, 400, 10, 10, 722.78, 9.87127742, 12, 7.52400200000001, 45137, 42.2, 38.8
base-unbalanced-2, 10, 400, 10, 10, 568.50, 7.40766517, , 0, , 43.0, 37.0
unbalanced-2, 10, 400, 10, 10, 872.17, 10.60923640, 23, 4.728932, 85640, 39.6, 36.1
base-unbalanced-2, 10, 400, 10, 10, 701.62, 7.89834204, , 0, , 50.4, 47.4
unbalanced-2, 10, 400, 10, 10, 859.07, 10.56848427, 25, 5.41141900000001, 93185, 47.1, 45.1
base-unbalanced-2, 10, 400, 10, 10, 531.86, 7.23744709, , 0, , 37.9, 35.9
unbalanced-2, 10, 400, 10, 10, 669.37, 9.59529388, 17, 6.878641, 63652, 36.4, 34.9
base-unbalanced-2, 10, 400, 10, 10, 501.13, 7.09458734, , 0, , 35.9, 35.4
unbalanced-2, 10, 400, 10, 10, 887.60, 10.70113873, 17, 8.900221, 63659, 41.0, 35.9
base-unbalanced-2, 10, 400, 10, 10, 556.45, 7.34046054, , 0, , 41.0, 38.0
unbalanced-2, 10, 400, 10, 10, 684.90, 9.66666407, 15, 8.99608000000001, 56253, 38.9, 35.4
base-unbalanced-2, 10, 400, 10, 10, 566.75, 7.45943087, , 0, , 38.4, 35.4
unbalanced-2, 10, 400, 10, 10, 876.03, 10.33347051, 18, 4.451385, 67185, 36.6, 35.4
base-unbalanced-2, 10, 400, 10, 10, 642.31, 7.76109635, , 0, , 56.0, 38.2
unbalanced-2, 10, 400, 10, 10, 870.91, 10.16406971, 12, 5.55653600000001, 45118, 39.4, 36.2
base-unbalanced-2, 10, 400, 10, 10, 596.32, 7.55560657, , 0, , 36.6, 34.9
unbalanced-2, 10, 400, 10, 10, 738.83, 9.95557969, 14, 5.887315, 52581, 38.6, 35.9
base-unbalanced-2, 10, 400, 10, 10, 461.11, 6.89373546, , 0, , 40.1, 36.2
unbalanced-2, 10, 400, 10, 10, 624.74, 9.34582929, 28, 7.775035, 104166, 39.4, 34.9
base-unbalanced-2, 10, 400, 10, 10, 472.32, 6.92805925, , 0, , 38.9, 36.1
unbalanced-2, 10, 400, 10, 10, 673.68, 9.59657074, 17, 5.98667, 63618, 36.9, 35.4
base-unbalanced-2, 10, 400, 10, 10, 519.70, 7.16518210, , 0, , 37.9, 35.4
unbalanced-2, 10, 400, 10, 10, 656.92, 9.50541932, 28, 5.79399600000001, 103995, 35.9, 35.4
base-unbalanced-2, 10, 400, 10, 10, 468.92, 6.92038419, , 0, , 39.4, 35.9
unbalanced-2, 10, 400, 10, 10, 701.87, 9.75167268, 20, 10.27306, 74604, 36.6, 35.4
base-unbalanced-2, 10, 400, 10, 10, 563.41, 7.38879911, , 0, , 41.0, 36.2
unbalanced-2, 10, 400, 10, 10, 813.02, 10.27219347, 24, 4.17137200000001, 89490, 38.4, 36.4
base-unbalanced-2, 10, 400, 10, 10, 585.20, 7.52956914, , 0, , 38.4, 36.8
unbalanced-2, 10, 400, 10, 10, 737.64, 9.99341748, 13, 9.99992, 48870, 39.1, 37.2
base-unbalanced-2, 10, 400, 10, 10, 604.44, 7.63335157, , 0, , 39.4, 37.2
unbalanced-2, 10, 400, 10, 10, 610.59, 9.55094857, 18, 7.70953300000001, 67079, 36.4, 33.9
base-unbalanced-2, 10, 400, 10, 10, 415.81, 6.91748712, , 0, , 36.4, 34.9
unbalanced-2, 10, 400, 10, 10, 579.36, 9.43166833, 15, 8.458015, 56251, 36.4, 33.9
base-unbalanced-2, 10, 400, 10, 10, 411.77, 6.89192600, , 0, , 36.4, 34.9
unbalanced-2, 10, 400, 10, 10, 574.44, 9.47659070, 26, 8.08522000000001, 96725, 37.4, 33.4
base-unbalanced-2, 10, 400, 10, 10, 427.51, 6.94981979, , 0, , 37.9, 35.4
unbalanced-2, 10, 400, 10, 10, 556.43, 9.40605058, 14, 8.01882500000001, 52469, 36.1, 34.4
base-unbalanced-2, 10, 400, 10, 10, 323.88, 6.75773322, , 0, , 37.6, 33.0
unbalanced-2, 10, 400, 10, 10, 479.50, 9.34881284, 32, 4.297757, 118924, 35.0, 33.0
base-unbalanced-2, 10, 400, 10, 10, 347.81, 6.84349001, , 0, , 44.0, 34.6
unbalanced-2, 10, 400, 10, 10, 590.58, 9.81899249, 33, 3.048872, 122506, 35.4, 33.0
base-unbalanced-2, 10, 400, 10, 10, 698.80, 8.04838189, , 0, , 35.9, 45.6
unbalanced-2, 10, 400, 10, 10, 1721.13, 14.48379691, 16, 6.436284, 59859, 58.5, 49.5
base-unbalanced-2, 10, 400, 10, 10, 1141.66, 10.32391927, , 0, , 55.4, 42.8
unbalanced-2, 10, 400, 10, 10, 1790.80, 15.50314527, 20, 4.18042800000001, 74722, 50.0, 45.0
base-unbalanced-2, 10, 400, 10, 10, 764.71, 8.35652571, , 0, , 56.1, 46.9
unbalanced-2, 10, 400, 10, 10, 460.24, 9.24000882, 51, 3.58774100000001, 189274, 40.4, 37.2
base-unbalanced-2, 10, 400, 10, 10, 342.76, 6.79170243, , 0, , 41.0, 35.6
unbalanced-2, 10, 400, 10, 10, 427.16, 9.16218700, 34, 7.98207600000001, 126294, 36.9, 34.4
base-unbalanced-2, 10, 400, 10, 10, 313.06, 6.70333112, , 0, , 34.5, 33.0
unbalanced-2, 10, 400, 10, 10, 438.03, 9.14420075, 13, 7.20207600000001, 48803, 36.4, 33.4
base-unbalanced-2, 10, 400, 10, 10, 325.60, 6.72722945, , 0, , 34.5, 33.4
unbalanced-2, 10, 400, 10, 10, 439.84, 9.12344674, 15, 7.52554500000001, 56240, 34.0, 32.5
base-unbalanced-2, 10, 400, 10, 10, 328.14, 6.73063574, , 0, , 34.0, 32.5
base-unbalanced-2, 10, 400, 25, 10, 359.09, 6.86767867, , 0, , 35.9, 33.4
unbalanced-2, 10, 400, 25, 10, 820.39, 10.52124549, 69, 6.506096, 255224, 47.4, 47.5
base-unbalanced-2, 10, 400, 25, 10, 436.95, 7.02545587, , 0, , 72.2, 34.9
unbalanced-2, 10, 400, 25, 10, 507.95, 9.46606372, 71, 1.931847, 262877, 35.0, 32.5
base-unbalanced-2, 10, 400, 25, 10, 395.91, 6.97177129, , 0, , 43.2, 34.4
unbalanced-2, 10, 400, 25, 10, 497.75, 9.31792367, 64, 5.734065, 237132, 39.4, 33.9
base-unbalanced-2, 10, 400, 25, 10, 333.77, 6.78735761, , 0, , 34.5, 32.0
unbalanced-2, 10, 400, 25, 10, 450.84, 9.24807883, 44, 2.913291, 163643, 39.1, 34.6
base-unbalanced-2, 10, 400, 25, 10, 577.81, 7.98190411, , 0, , 33.0, 31.5
unbalanced-2, 10, 400, 25, 10, 832.80, 11.06536165, 47, 3.96684, 174255, 37.4, 34.4
base-unbalanced-2, 10, 400, 25, 10, 554.26, 7.87760172, , 0, , 47.9, 34.9
unbalanced-2, 10, 400, 25, 10, 933.90, 11.51949868, 43, 5.642421, 159975, 52.1, 35.9
base-unbalanced-2, 10, 400, 25, 10, 302.95, 6.66868985, , 0, , 34.8, 33.0
unbalanced-2, 10, 400, 25, 10, 423.05, 9.10687244, 36, 5.958427, 133779, 35.0, 32.0
base-unbalanced-2, 10, 400, 25, 10, 328.31, 6.79070855, , 0, , 36.9, 32.0
unbalanced-2, 10, 400, 25, 10, 417.09, 9.10985762, 35, 5.85646, 129960, 35.0, 32.5
base-unbalanced-2, 10, 400, 25, 10, 297.70, 6.67942650, , 0, , 32.8, 31.5
unbalanced-2, 10, 400, 25, 10, 446.17, 9.22719759, 81, 5.722346, 300144, 33.5, 31.5
base-unbalanced-2, 10, 400, 25, 10, 297.44, 6.62909636, , 0, , 32.0, 31.5
unbalanced-2, 10, 400, 25, 10, 431.73, 9.20278799, 82, 3.495621, 303308, 33.0, 31.5
base-unbalanced-2, 10, 400, 25, 10, 445.75, 7.00608471, , 0, , 39.4, 35.6
unbalanced-2, 10, 400, 25, 10, 521.82, 9.59240629, 31, 6.855357, 115314, 34.0, 33.0
base-unbalanced-2, 10, 400, 25, 10, 345.95, 6.83338024, , 0, , 38.9, 36.9
unbalanced-2, 10, 400, 25, 10, 435.96, 9.13572438, 42, 5.66451600000001, 155860, 38.1, 35.1
base-unbalanced-2, 10, 400, 25, 10, 341.56, 6.87042278, , 0, , 33.0, 32.0
unbalanced-2, 10, 400, 25, 10, 641.93, 10.06173265, 69, 2.655546, 255084, 41.5, 39.0
base-unbalanced-2, 10, 400, 25, 10, 488.61, 7.32118876, , 0, , 41.2, 33.4
unbalanced-2, 10, 400, 25, 10, 705.22, 10.06507784, 27, 4.191433, 100653, 38.1, 35.9
base-unbalanced-2, 10, 400, 25, 10, 529.94, 7.56264540, , 0, , 41.0, 34.9
unbalanced-2, 10, 400, 25, 10, 482.24, 9.35482357, 36, 5.42269900000001, 133773, 34.8, 33.0
base-unbalanced-2, 10, 400, 25, 10, 381.12, 6.99811238, , 0, , 33.0, 32.0
unbalanced-2, 10, 400, 25, 10, 565.56, 9.69262602, 28, 5.85083, 104070, 35.4, 33.4
base-unbalanced-2, 10, 400, 25, 10, 495.07, 7.41212138, , 0, , 37.9, 34.4
unbalanced-2, 10, 400, 25, 10, 696.54, 10.14189628, 56, 4.648326, 207351, 36.4, 34.9
base-unbalanced-2, 10, 400, 25, 10, 543.66, 7.52592484, , 0, , 37.9, 35.4
unbalanced-2, 10, 400, 25, 10, 679.24, 9.88875413, 36, 4.935917, 133898, 45.6, 39.1
base-unbalanced-2, 10, 400, 25, 10, 500.90, 7.21903593, , 0, , 38.1, 34.4
unbalanced-2, 10, 400, 25, 10, 728.41, 10.11647388, 38, 3.56012700000001, 141370, 42.5, 37.2
base-unbalanced-2, 10, 400, 25, 10, 455.60, 7.28876545, , 0, , 39.4, 36.4
unbalanced-2, 10, 400, 25, 10, 560.20, 9.68104999, 38, 8.12640300000001, 141121, 37.4, 34.0
base-unbalanced-2, 10, 400, 25, 10, 441.58, 7.21878360, , 0, , 33.5, 32.5
unbalanced-2, 10, 400, 25, 10, 568.30, 9.66270243, 49, 7.39391400000001, 181818, 35.0, 33.9
base-unbalanced-2, 10, 400, 25, 10, 467.59, 7.28666254, , 0, , 34.8, 34.9
unbalanced-2, 10, 400, 25, 10, 650.68, 10.00160113, 73, 5.03355500000001, 269930, 34.5, 35.9
base-unbalanced-2, 10, 400, 25, 10, 622.20, 7.78672083, , 0, , 37.1, 36.8
unbalanced-2, 10, 400, 25, 10, 576.08, 9.69332563, 33, 5.20937600000001, 122657, 52.8, 42.6
base-unbalanced-2, 10, 400, 25, 10, 452.34, 7.14739324, , 0, , 70.9, 35.9
unbalanced-2, 10, 400, 25, 10, 563.74, 9.66644075, 77, 6.026815, 285064, 36.6, 33.0
base-unbalanced-2, 10, 400, 25, 10, 411.18, 7.02558978, , 0, , 34.5, 33.0
unbalanced-2, 10, 400, 25, 10, 525.31, 9.51459248, 45, 6.27874700000001, 167015, 36.6, 32.5
base-unbalanced-2, 10, 400, 25, 10, 401.03, 7.02067075, , 0, , 34.5, 33.4
unbalanced-2, 10, 400, 25, 10, 520.63, 9.45057253, 47, 4.48857700000001, 174213, 38.1, 33.4
base-unbalanced-2, 10, 400, 25, 10, 385.50, 6.94803372, , 0, , 35.6, 34.4
unbalanced-2, 10, 400, 25, 10, 651.75, 9.95304006, 31, 5.211591, 115624, 36.1, 33.9
base-unbalanced-2, 10, 400, 25, 10, 543.08, 7.62863091, , 0, , 36.1, 35.4
unbalanced-2, 10, 400, 25, 10, 584.04, 9.60549470, 34, 4.29099500000001, 126563, 35.9, 36.4
base-unbalanced-2, 10, 400, 25, 10, 613.59, 7.70728129, , 0, , 36.6, 34.4
unbalanced-2, 10, 400, 25, 10, 563.34, 9.70376459, 49, 5.656047, 181496, 36.9, 34.4
base-unbalanced-2, 10, 400, 25, 10, 442.54, 7.21268182, , 0, , 38.9, 36.9
unbalanced-2, 10, 400, 25, 10, 665.68, 9.93496059, 46, 7.028065, 170474, 35.1, 35.4
base-unbalanced-2, 10, 400, 25, 10, 369.93, 6.93137180, , 0, , 35.8, 35.4
base-unbalanced-2, 10, 200, 10, 10, 402.19, 6.94392760, , 0, , 38.1, 34.0
unbalanced-2, 10, 200, 10, 10, 493.22, 9.38773657, 24, 10.44972, 44824, 40.1, 33.4
base-unbalanced-2, 10, 200, 10, 10, 357.28, 6.85282131, , 0, , 35.9, 33.9
unbalanced-2, 10, 200, 10, 10, 632.36, 9.91971007, 16, 7.899912, 29865, 37.6, 33.0
base-unbalanced-2, 10, 200, 10, 10, 376.98, 6.89492010, , 0, , 38.4, 34.6
unbalanced-2, 10, 200, 10, 10, 506.25, 9.36996614, 38, 8.917496, 70408, 38.4, 32.5
base-unbalanced-2, 10, 200, 10, 10, 360.45, 6.83430300, , 0, , 34.4, 32.0
unbalanced-2, 10, 200, 10, 10, 474.71, 9.35772885, 18, 5.714832, 33613, 34.2, 33.0
base-unbalanced-2, 10, 200, 10, 10, 350.40, 6.83955641, , 0, , 34.9, 33.0
unbalanced-2, 10, 200, 10, 10, 489.35, 9.32736914, 13, 9.13951300000001, 24350, 35.0, 32.0
base-unbalanced-2, 10, 200, 10, 10, 374.56, 6.92734139, , 0, , 33.0, 33.0
unbalanced-2, 10, 200, 10, 10, 482.11, 9.33784610, 32, 3.94908700000001, 59350, 33.0, 32.5
base-unbalanced-2, 10, 200, 10, 10, 354.71, 6.84452700, , 0, , 33.5, 32.0
unbalanced-2, 10, 200, 10, 10, 476.24, 9.32006174, 18, 8.016839, 33632, 35.2, 32.0
base-unbalanced-2, 10, 200, 10, 10, 363.01, 6.82344313, , 0, , 36.1, 33.0
unbalanced-2, 10, 200, 10, 10, 471.38, 9.32701958, 13, 8.14729, 24417, 34.0, 32.0
base-unbalanced-2, 10, 200, 10, 10, 376.81, 6.88637870, , 0, , 34.0, 32.5
unbalanced-2, 10, 200, 10, 10, 495.50, 9.41566726, 32, 8.012945, 59431, 35.9, 32.5
base-unbalanced-2, 10, 200, 10, 10, 347.65, 6.85943750, , 0, , 36.4, 33.0
unbalanced-2, 10, 200, 10, 10, 476.18, 9.36868204, 26, 8.90561100000001, 48462, 35.8, 31.5
base-unbalanced-2, 10, 200, 10, 10, 359.41, 6.87059435, , 0, , 37.9, 32.5
unbalanced-2, 10, 200, 10, 10, 473.60, 9.33073395, 18, 4.414361, 33719, 37.4, 34.4
base-unbalanced-2, 10, 200, 10, 10, 347.59, 6.81783377, , 0, , 34.5, 32.0
unbalanced-2, 10, 200, 10, 10, 464.93, 9.29369422, 35, 4.589377, 64906, 36.4, 31.0
base-unbalanced-2, 10, 200, 10, 10, 365.36, 6.86359619, , 0, , 36.1, 32.0
unbalanced-2, 10, 200, 10, 10, 502.71, 9.38108056, 14, 5.923142, 26181, 35.0, 33.0
base-unbalanced-2, 10, 200, 10, 10, 359.80, 6.84146334, , 0, , 35.0, 33.0
unbalanced-2, 10, 200, 10, 10, 489.82, 9.31879430, 34, 5.822804, 63152, 34.5, 32.5
base-unbalanced-2, 10, 200, 10, 10, 348.17, 6.81223471, , 0, , 33.8, 32.5
unbalanced-2, 10, 200, 10, 10, 474.37, 9.33814363, 17, 10.827171, 31734, 34.8, 32.0
base-unbalanced-2, 10, 200, 10, 10, 339.96, 6.80451456, , 0, , 35.2, 32.0
unbalanced-2, 10, 200, 10, 10, 483.53, 9.35200093, 23, 7.44016400000001, 42814, 38.4, 32.5
base-unbalanced-2, 10, 200, 10, 10, 351.51, 6.82522372, , 0, , 34.2, 31.5
unbalanced-2, 10, 200, 10, 10, 484.97, 9.29257779, 31, 8.24176100000001, 57582, 35.4, 32.0
base-unbalanced-2, 10, 200, 10, 10, 360.50, 6.86007233, , 0, , 40.8, 33.0
unbalanced-2, 10, 200, 10, 10, 483.32, 9.28920230, 28, 7.882845, 52142, 35.8, 32.5
base-unbalanced-2, 10, 200, 10, 10, 348.91, 6.82342407, , 0, , 35.9, 33.4
unbalanced-2, 10, 200, 10, 10, 468.08, 9.30423670, 28, 4.962124, 52103, 38.4, 31.5
base-unbalanced-2, 10, 200, 10, 10, 357.58, 6.83443839, , 0, , 37.6, 32.0
unbalanced-2, 10, 200, 10, 10, 482.01, 9.27528609, 18, 5.97056600000001, 33651, 34.0, 32.5
base-unbalanced-2, 10, 200, 10, 10, 350.20, 6.82260020, , 0, , 36.4, 33.0
unbalanced-2, 10, 200, 10, 10, 474.22, 9.34410484, 22, 4.36615400000001, 41155, 33.5, 32.8
base-unbalanced-2, 10, 200, 10, 10, 347.33, 6.84028603, , 0, , 34.0, 32.0
unbalanced-2, 10, 200, 10, 10, 483.20, 9.33011740, 25, 5.444074, 46559, 34.0, 32.0
base-unbalanced-2, 10, 200, 10, 10, 356.32, 6.82498135, , 0, , 33.5, 32.5
unbalanced-2, 10, 200, 10, 10, 481.75, 9.29273646, 20, 5.840722, 37217, 35.2, 32.5
base-unbalanced-2, 10, 200, 10, 10, 358.43, 6.85234377, , 0, , 35.2, 32.0
unbalanced-2, 10, 200, 10, 10, 482.37, 9.26917610, 12, 6.77575400000001, 22588, 63.9, 32.5
base-unbalanced-2, 10, 200, 10, 10, 354.62, 6.81843754, , 0, , 41.8, 32.0
unbalanced-2, 10, 200, 10, 10, 464.43, 9.24214407, 19, 4.45127100000001, 35539, 34.0, 32.0
base-unbalanced-2, 10, 200, 10, 10, 354.48, 6.81453552, , 0, , 37.9, 31.5
unbalanced-2, 10, 200, 10, 10, 467.53, 9.28487459, 14, 9.52759500000001, 26230, 33.5, 32.0
base-unbalanced-2, 10, 200, 10, 10, 346.42, 6.85319668, , 0, , 33.8, 32.5
unbalanced-2, 10, 200, 10, 10, 475.65, 9.32409154, 15, 7.05253500000001, 28087, 38.4, 32.0
base-unbalanced-2, 10, 200, 10, 10, 359.19, 6.81582851, , 0, , 33.0, 32.0
unbalanced-2, 10, 200, 10, 10, 466.98, 9.30426379, 24, 5.104332, 44717, 33.5, 32.0
base-unbalanced-2, 10, 200, 10, 10, 341.38, 6.84038792, , 0, , 35.4, 31.5
unbalanced-2, 10, 200, 10, 10, 472.59, 9.31841835, 16, 11.021359, 29794, 34.2, 31.5
base-unbalanced-2, 10, 200, 10, 10, 344.91, 6.84343802, , 0, , 34.0, 31.5
unbalanced-2, 10, 200, 10, 10, 469.76, 9.28207739, 31, 4.44449400000001, 57638, 34.4, 32.0
base-unbalanced-2, 10, 200, 10, 10, 346.93, 6.83392430, , 0, , 35.2, 32.5
base-unbalanced-2, 10, 200, 25, 10, 351.59, 6.89345314, , 0, , 40.8, 32.0
