work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
base-intel-3, 10, 400, 10, 10, 14.56, 165.33, 14.57885291, , 0, , 41.0
intel-3, 10, 400, 10, 10, 19.09, 150.26, 21.39923289, 51, 3.68407100000002, 188967, 50.0
base-intel-3, 10, 400, 10, 10, 13.90, 98.08, 15.68380802, , 0, , 51.0
intel-3, 10, 400, 10, 10, 18.85, 136.89, 21.85435250, 22, 3.51786199999998, 82001, 51.0
base-intel-3, 10, 400, 10, 10, 13.88, 98.23, 15.71482668, , 0, , 51.0
intel-3, 10, 400, 10, 10, 19.31, 138.84, 21.96471375, 24, 3.28136999999998, 89403, 55.0
base-intel-3, 10, 400, 10, 10, 13.97, 103.66, 15.83128772, , 0, , 54.0
intel-3, 10, 400, 10, 10, 18.81, 135.44, 21.57266301, 15, 4.70252099999999, 56131, 54.0
base-intel-3, 10, 400, 10, 10, 13.93, 97.85, 15.81552793, , 0, , 54.0
intel-3, 10, 400, 10, 10, 19.14, 136.14, 21.98570613, 26, 2.47646000000003, 96975, 57.0
base-intel-3, 10, 400, 10, 10, 14.03, 100.26, 15.88692203, , 0, , 56.0
intel-3, 10, 400, 10, 10, 19.33, 138.14, 21.96853166, 27, 1.97527700000001, 100428, 57.0
base-intel-3, 10, 400, 10, 10, 14.09, 102.06, 15.92984049, , 0, , 56.0
intel-3, 10, 400, 10, 10, 19.39, 135.54, 22.10836013, 21, 5.18918100000002, 78511, 57.0
base-intel-3, 10, 400, 10, 10, 14.10, 101.44, 15.92057054, , 0, , 59.0
intel-3, 10, 400, 10, 10, 19.12, 137.70, 21.95120656, 16, 4.62951500000003, 59930, 57.0
base-intel-3, 10, 400, 10, 10, 14.09, 100.51, 15.95029851, , 0, , 58.0
intel-3, 10, 400, 10, 10, 19.39, 135.61, 22.07854778, 33, 1.459248, 122509, 59.0
base-intel-3, 10, 400, 10, 10, 14.02, 101.01, 15.92623842, , 0, , 59.0
intel-3, 10, 400, 10, 10, 19.48, 140.74, 22.13500817, 33, 5.06078500000001, 122426, 59.0
base-intel-3, 10, 400, 10, 10, 14.00, 99.36, 15.91179003, , 0, , 60.0
intel-3, 10, 400, 10, 10, 19.16, 134.82, 22.02933635, 15, 4.51404400000001, 56188, 61.0
base-intel-3, 10, 400, 10, 10, 14.02, 98.81, 15.86546556, , 0, , 60.0
intel-3, 10, 400, 10, 10, 19.51, 138.42, 22.27512155, 21, 5.21723400000002, 78369, 60.0
base-intel-3, 10, 400, 10, 10, 13.99, 100.95, 15.99719978, , 0, , 61.0
intel-3, 10, 400, 10, 10, 19.02, 137.33, 21.90043681, 12, 4.986154, 45096, 62.0
base-intel-3, 10, 400, 10, 10, 14.10, 98.95, 15.94936593, , 0, , 62.0
intel-3, 10, 400, 10, 10, 19.22, 137.94, 22.19337596, 15, 5.73677500000002, 56403, 61.0
base-intel-3, 10, 400, 10, 10, 14.17, 100.13, 16.02123795, , 0, , 62.0
intel-3, 10, 400, 10, 10, 19.35, 139.82, 22.12295290, 18, 6.99342999999999, 67091, 61.0
base-intel-3, 10, 400, 10, 10, 14.00, 102.53, 15.97493311, , 0, , 63.0
intel-3, 10, 400, 10, 10, 19.51, 138.32, 22.26705311, 25, 4.10643099999999, 93069, 62.0
base-intel-3, 10, 400, 10, 10, 14.08, 101.37, 15.96629551, , 0, , 62.0
intel-3, 10, 400, 10, 10, 19.28, 137.80, 22.29599619, 24, 4.93429200000003, 89554, 61.0
base-intel-3, 10, 400, 10, 10, 14.01, 99.35, 15.90424974, , 0, , 60.0
intel-3, 10, 400, 10, 10, 19.40, 135.40, 22.06575338, 18, 5.63444099999998, 67361, 60.0
base-intel-3, 10, 400, 10, 10, 13.95, 99.52, 15.85278773, , 0, , 59.0
intel-3, 10, 400, 10, 10, 18.98, 135.85, 21.75125290, 13, 5.946754, 48807, 58.0
base-intel-3, 10, 400, 10, 10, 15.44, 99.43, 16.16308750, , 0, , 58.0
intel-3, 10, 400, 10, 10, 18.81, 140.37, 22.98544970, 18, 4.52911, 67257, 58.0
base-intel-3, 10, 400, 10, 10, 8.63, 109.51, 16.00732515, , 0, , 59.0
intel-3, 10, 400, 10, 10, 11.37, 147.13, 21.78310324, 12, 6.96202700000003, 45160, 62.0
base-intel-3, 10, 400, 10, 10, 10.97, 94.12, 18.02439701, , 0, , 62.0
intel-3, 10, 400, 10, 10, 11.87, 145.09, 22.45762512, 17, 6.08087999999998, 63609, 60.0
base-intel-3, 10, 400, 10, 10, 8.89, 110.36, 16.68403731, , 0, , 59.0
intel-3, 10, 400, 10, 10, 11.78, 128.74, 23.30884119, 13, 3.722846, 48856, 58.0
base-intel-3, 10, 400, 10, 10, 9.34, 107.39, 16.24558600, , 0, , 58.0
intel-3, 10, 400, 10, 10, 13.93, 150.28, 23.62200248, 34, 5.12373300000002, 126295, 64.0
base-intel-3, 10, 400, 10, 10, 9.35, 108.44, 16.39441905, , 0, , 62.0
intel-3, 10, 400, 10, 10, 12.71, 146.45, 22.60441824, 19, 6.29170199999999, 70928, 60.0
base-intel-3, 10, 400, 10, 10, 9.60, 106.82, 16.56084779, , 0, , 61.0
intel-3, 10, 400, 10, 10, 35.16, 185.06, 32.72603132, 17, 6.31141100000002, 63493, 59.0
base-intel-3, 10, 400, 10, 10, 45.55, 159.73, 29.86004565, , 0, , 60.0
intel-3, 10, 400, 10, 10, 30.34, 165.05, 28.31732842, 27, 4.81338399999999, 100440, 61.0
base-intel-3, 10, 400, 10, 10, 25.50, 131.55, 22.10470169, , 0, , 61.0
intel-3, 10, 400, 10, 10, 96.91, 238.75, 50.21779692, 31, 4.58512999999999, 115119, 61.0
base-intel-3, 10, 400, 10, 10, 63.37, 169.72, 34.27761610, , 0, , 61.0
intel-3, 10, 400, 10, 10, 49.49, 175.23, 34.12169504, 18, 3.87920300000002, 67104, 61.0
base-intel-3, 10, 400, 10, 10, 45.13, 147.65, 29.03894178, , 0, , 62.0
intel-3, 10, 400, 10, 10, 27.81, 167.65, 27.81965620, 33, 3.165637, 122672, 60.0
base-intel-3, 10, 400, 10, 10, 20.46, 117.31, 20.31400431, , 0, , 62.0
base-intel-3, 10, 400, 25, 10, 21.36, 122.21, 20.77031402, , 0, , 63.0
intel-3, 10, 400, 25, 10, 28.67, 174.56, 27.95071230, 50, 5.52816799999999, 185010, 61.0
base-intel-3, 10, 400, 25, 10, 18.45, 122.04, 19.53906894, , 0, , 60.0
intel-3, 10, 400, 25, 10, 15.96, 160.12, 24.35251674, 64, 4.17190800000003, 236792, 60.0
base-intel-3, 10, 400, 25, 10, 10.66, 111.98, 17.16188395, , 0, , 63.0
intel-3, 10, 400, 25, 10, 13.94, 156.90, 23.75051358, 60, 4.41384600000004, 222077, 62.0
base-intel-3, 10, 400, 25, 10, 10.67, 117.20, 17.26463005, , 0, , 63.0
intel-3, 10, 400, 25, 10, 14.37, 155.93, 23.86705470, 39, 3.36779100000001, 144724, 61.0
base-intel-3, 10, 400, 25, 10, 10.71, 113.50, 17.32933360, , 0, , 61.0
intel-3, 10, 400, 25, 10, 14.85, 158.38, 24.11932356, 52, 2.56638900000002, 192661, 61.0
base-intel-3, 10, 400, 25, 10, 10.03, 113.24, 16.98652179, , 0, , 64.0
intel-3, 10, 400, 25, 10, 38.24, 181.35, 31.04323459, 45, 3.67845299999999, 167019, 62.0
base-intel-3, 10, 400, 25, 10, 21.21, 121.02, 20.37311372, , 0, , 63.0
intel-3, 10, 400, 25, 10, 28.81, 172.08, 27.86608057, 35, 3.39177599999999, 130099, 62.0
base-intel-3, 10, 400, 25, 10, 27.47, 128.75, 21.87218520, , 0, , 63.0
intel-3, 10, 400, 25, 10, 38.69, 175.05, 31.07147923, 75, 3.109263, 277272, 62.0
base-intel-3, 10, 400, 25, 10, 15.05, 120.30, 18.35073772, , 0, , 63.0
intel-3, 10, 400, 25, 10, 40.67, 173.68, 30.75132200, 107, 3.39849400000003, 395621, 62.0
base-intel-3, 10, 400, 25, 10, 16.62, 119.16, 19.07040329, , 0, , 63.0
intel-3, 10, 400, 25, 10, 15.58, 158.52, 24.16193991, 33, 4.734939, 122495, 62.0
base-intel-3, 10, 400, 25, 10, 9.68, 112.60, 16.98778369, , 0, , 62.0
intel-3, 10, 400, 25, 10, 13.27, 156.88, 23.60840927, 49, 4.37115499999999, 181614, 63.0
base-intel-3, 10, 400, 25, 10, 9.71, 115.34, 16.99043926, , 0, , 63.0
intel-3, 10, 400, 25, 10, 13.71, 158.26, 23.85196563, 53, 2.787621, 196257, 62.0
base-intel-3, 10, 400, 25, 10, 9.61, 112.70, 16.88991611, , 0, , 63.0
intel-3, 10, 400, 25, 10, 13.43, 155.74, 23.44476679, 33, 3.53882199999998, 122698, 62.0
base-intel-3, 10, 400, 25, 10, 10.29, 113.57, 17.30725303, , 0, , 62.0
intel-3, 10, 400, 25, 10, 14.07, 154.81, 23.82381403, 84, 4.805701, 310557, 64.0
base-intel-3, 10, 400, 25, 10, 10.11, 112.34, 17.09489853, , 0, , 63.0
intel-3, 10, 400, 25, 10, 13.63, 158.07, 23.73547234, 41, 3.77634, 152367, 63.0
