work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
balanced-4, 10, 400, 25, 10, 717.66, 10.10253868, 38, 2.47691400000001, 141125, 36.4, 35.9
base-balanced-4, 10, 400, 25, 10, 544.71, 7.48796997, , 0, , 36.9, 37.8
balanced-4, 10, 400, 25, 10, 513.76, 9.42474552, 30, 6.746151, 111647, 44.1, 42.1
base-balanced-4, 10, 400, 25, 10, 368.36, 6.87887722, , 0, , 37.6, 34.9
balanced-4, 10, 400, 25, 10, 737.74, 9.99698635, 44, 7.41792600000001, 163372, 38.4, 35.9
base-balanced-4, 10, 400, 25, 10, 369.46, 6.92396042, , 0, , 42.8, 42.8
balanced-4, 10, 400, 25, 10, 523.77, 9.42314865, 44, 6.43298800000001, 163322, 40.8, 38.5
base-balanced-4, 10, 400, 25, 10, 387.94, 6.97097678, , 0, , 34.8, 34.9
balanced-4, 10, 400, 25, 10, 549.67, 9.57204120, 36, 6.695322, 133648, 38.4, 35.9
base-balanced-4, 10, 400, 25, 10, 393.08, 6.98688012, , 0, , 35.4, 36.2
balanced-4, 10, 400, 25, 10, 570.61, 9.61275731, 66, 3.26305500000001, 244462, 38.6, 33.4
base-balanced-4, 10, 400, 25, 10, 393.75, 6.90716639, , 0, , 38.9, 35.4
balanced-4, 10, 400, 25, 10, 516.61, 9.35958861, 38, 5.90249900000001, 141029, 35.4, 33.9
base-balanced-4, 10, 400, 25, 10, 356.60, 6.86872513, , 0, , 34.9, 35.9
balanced-4, 10, 400, 25, 10, 517.82, 9.34489579, 37, 2.28206800000001, 137385, 36.4, 33.4
base-balanced-4, 10, 400, 25, 10, 382.51, 6.96621666, , 0, , 40.8, 34.9
balanced-4, 10, 400, 25, 10, 525.22, 9.43515600, 41, 4.53456300000001, 152426, 36.1, 35.4
base-balanced-4, 10, 400, 25, 10, 361.23, 6.87895937, , 0, , 34.5, 34.9
balanced-4, 10, 400, 25, 10, 514.30, 9.38784675, 31, 5.91462, 115342, 36.9, 33.4
base-balanced-4, 10, 400, 25, 10, 372.83, 6.89969744, , 0, , 39.9, 36.2
balanced-4, 10, 400, 25, 10, 483.47, 9.34652897, 27, 5.017129, 100328, 33.8, 36.2
base-balanced-4, 10, 400, 25, 10, 389.77, 6.91664630, , 0, , 37.4, 33.9
balanced-4, 10, 400, 25, 10, 495.53, 9.36734708, 34, 7.86483700000001, 126452, 34.0, 34.9
base-balanced-4, 10, 400, 25, 10, 379.34, 6.92975980, , 0, , 36.4, 33.0
balanced-4, 10, 400, 25, 10, 491.71, 9.41383523, 56, 5.15409000000001, 207312, 34.0, 34.9
base-balanced-4, 10, 400, 25, 10, 376.12, 6.88030919, , 0, , 47.9, 33.2
balanced-4, 10, 400, 25, 10, 513.59, 9.40519302, 32, 6.313119, 118901, 36.4, 36.2
base-balanced-4, 10, 400, 25, 10, 361.00, 6.84069247, , 0, , 34.4, 36.2
balanced-4, 10, 400, 25, 10, 516.35, 9.40026503, 36, 4.159226, 133630, 35.9, 33.4
base-balanced-4, 10, 400, 25, 10, 348.62, 6.80452247, , 0, , 34.2, 35.9
balanced-4, 10, 400, 25, 10, 508.97, 9.40473637, 28, 6.943545, 104366, 40.4, 33.4
base-balanced-4, 10, 400, 25, 10, 351.19, 6.80884046, , 0, , 34.5, 35.9
balanced-4, 10, 400, 25, 10, 527.63, 9.36000749, 38, 3.98665800000001, 140915, 37.1, 33.8
base-balanced-4, 10, 400, 25, 10, 396.45, 6.90436626, , 0, , 40.8, 35.4
balanced-4, 10, 400, 25, 10, 485.44, 9.34077462, 45, 5.283153, 166966, 33.5, 33.9
base-balanced-4, 10, 400, 25, 10, 372.30, 6.88350128, , 0, , 37.9, 33.4
balanced-4, 10, 400, 25, 10, 483.76, 9.32332851, 52, 6.66606900000001, 192771, 33.5, 35.9
base-balanced-4, 10, 400, 25, 10, 380.37, 6.89656872, , 0, , 42.8, 32.8
balanced-4, 10, 400, 25, 10, 484.47, 9.39520970, 70, 4.34235600000001, 259294, 34.5, 36.8
base-balanced-4, 10, 400, 25, 10, 389.90, 6.91022716, , 0, , 37.4, 32.5
balanced-4, 10, 400, 25, 10, 533.24, 9.51331774, 80, 5.379137, 296044, 38.4, 34.9
base-balanced-4, 10, 400, 25, 10, 376.84, 6.89694992, , 0, , 35.4, 34.9
balanced-4, 10, 400, 25, 10, 491.17, 9.38843017, 46, 5.534724, 170415, 34.0, 35.9
base-balanced-4, 10, 400, 25, 10, 393.14, 6.96379282, , 0, , 36.9, 33.4
balanced-4, 10, 400, 25, 10, 634.96, 9.58629668, 46, 4.10209500000001, 170458, 35.4, 34.9
base-balanced-4, 10, 400, 25, 10, 499.90, 7.08767276, , 0, , 43.6, 42.2
balanced-4, 10, 400, 25, 10, 664.73, 9.52398526, 49, 7.10890400000001, 181632, 36.6, 36.8
base-balanced-4, 10, 400, 25, 10, 499.13, 7.06678434, , 0, , 40.4, 35.9
balanced-4, 10, 400, 25, 10, 662.26, 9.54451093, 40, 6.039148, 148913, 36.6, 37.2
base-balanced-4, 10, 400, 25, 10, 496.85, 7.07868750, , 0, , 42.2, 36.4
balanced-4, 10, 400, 25, 10, 661.05, 9.55493005, 46, 5.091273, 170432, 37.4, 38.5
base-balanced-4, 10, 400, 25, 10, 499.04, 7.07635041, , 0, , 41.0, 37.0
balanced-4, 10, 400, 25, 10, 686.00, 9.62452147, 48, 5.61778000000001, 178095, 37.9, 37.8
base-balanced-4, 10, 400, 25, 10, 501.96, 7.07568280, , 0, , 38.9, 38.0
balanced-4, 10, 400, 25, 10, 678.60, 9.59970328, 48, 4.030309, 177979, 37.9, 37.2
base-balanced-4, 10, 400, 25, 10, 490.65, 7.00820219, , 0, , 39.4, 41.6
balanced-4, 10, 400, 25, 10, 680.41, 9.65746316, 101, 2.442859, 373402, 38.4, 35.9
base-balanced-4, 10, 400, 25, 10, 501.21, 7.08298823, , 0, , 38.1, 38.0
balanced-4, 10, 400, 25, 10, 668.47, 9.64785292, 93, 4.18547500000001, 344275, 37.9, 39.4
base-balanced-4, 10, 400, 25, 10, 506.00, 7.05998806, , 0, , 39.8, 36.6
base-balanced-4, 10, 200, 10, 10, 498.34, 7.07955607, , 0, , 39.9, 37.8
balanced-4, 10, 200, 10, 10, 677.60, 9.59586651, 14, 11.126451, 26410, 40.4, 40.1
base-balanced-4, 10, 200, 10, 10, 491.47, 7.04215680, , 0, , 37.4, 38.8
balanced-4, 10, 200, 10, 10, 687.60, 9.63172939, 22, 9.25437600000001, 40890, 39.4, 37.2
base-balanced-4, 10, 200, 10, 10, 502.55, 7.07951668, , 0, , 37.6, 36.8
balanced-4, 10, 200, 10, 10, 677.03, 9.61568744, 29, 3.77030000000001, 53863, 39.1, 38.8
base-balanced-4, 10, 200, 10, 10, 497.17, 7.05409830, , 0, , 37.9, 37.2
balanced-4, 10, 200, 10, 10, 662.85, 9.52568227, 26, 5.65971500000001, 48462, 37.6, 38.2
base-balanced-4, 10, 200, 10, 10, 504.07, 7.09188218, , 0, , 50.6, 37.2
balanced-4, 10, 200, 10, 10, 675.64, 9.57399795, 17, 4.470274, 31768, 40.4, 39.0
base-balanced-4, 10, 200, 10, 10, 500.47, 7.07881090, , 0, , 37.9, 37.8
balanced-4, 10, 200, 10, 10, 660.49, 9.56898251, 35, 8.67713900000001, 64846, 39.4, 39.9
base-balanced-4, 10, 200, 10, 10, 496.10, 7.07066089, , 0, , 44.1, 36.4
balanced-4, 10, 200, 10, 10, 674.65, 9.58639501, 14, 9.474163, 26217, 38.9, 38.0
base-balanced-4, 10, 200, 10, 10, 504.96, 7.09655291, , 0, , 38.9, 37.8
balanced-4, 10, 200, 10, 10, 703.08, 9.62132704, 22, 9.33730800000001, 41114, 47.2, 45.0
base-balanced-4, 10, 200, 10, 10, 498.32, 7.08393454, , 0, , 38.9, 38.0
balanced-4, 10, 200, 10, 10, 671.28, 9.62839697, 19, 9.594396, 35540, 38.9, 39.4
base-balanced-4, 10, 200, 10, 10, 499.53, 7.04894267, , 0, , 39.4, 37.8
balanced-4, 10, 200, 10, 10, 789.45, 10.09712954, 26, 4.55499900000001, 48448, 37.6, 37.8
base-balanced-4, 10, 200, 10, 10, 432.39, 7.05443592, , 0, , 46.2, 42.6
balanced-4, 10, 200, 10, 10, 754.22, 10.39311269, 15, 6.420468, 28083, 36.6, 37.0
base-balanced-4, 10, 200, 10, 10, 407.03, 6.99977282, , 0, , 47.1, 44.6
balanced-4, 10, 200, 10, 10, 572.91, 9.68963249, 19, 8.044436, 35522, 36.6, 36.8
base-balanced-4, 10, 200, 10, 10, 435.80, 7.06414054, , 0, , 37.9, 34.9
balanced-4, 10, 200, 10, 10, 588.46, 9.58323454, 15, 7.448159, 28102, 40.1, 37.2
base-balanced-4, 10, 200, 10, 10, 425.31, 7.02112016, , 0, , 43.2, 37.5
balanced-4, 10, 200, 10, 10, 570.68, 9.49267083, 16, 9.67886300000001, 29770, 36.6, 35.4
base-balanced-4, 10, 200, 10, 10, 406.18, 6.99300352, , 0, , 38.1, 37.2
balanced-4, 10, 200, 10, 10, 566.49, 9.72943920, 26, 7.488096, 48381, 35.9, 37.2
base-balanced-4, 10, 200, 10, 10, 384.98, 6.98431002, , 0, , 48.0, 44.0
balanced-4, 10, 200, 10, 10, 533.72, 9.48675304, 38, 5.93366400000001, 70568, 38.1, 36.2
base-balanced-4, 10, 200, 10, 10, 413.60, 7.02739090, , 0, , 40.1, 36.8
balanced-4, 10, 200, 10, 10, 540.14, 9.53720123, 14, 8.460933, 26149, 35.2, 35.4
base-balanced-4, 10, 200, 10, 10, 393.21, 6.96929264, , 0, , 38.4, 34.9
balanced-4, 10, 200, 10, 10, 748.77, 10.49196626, 15, 8.825698, 28150, 35.8, 35.9
base-balanced-4, 10, 200, 10, 10, 472.36, 7.32729267, , 0, , 39.8, 36.2
balanced-4, 10, 200, 10, 10, 506.50, 9.49619712, 19, 9.808848, 35312, 43.2, 36.1
base-balanced-4, 10, 200, 10, 10, 354.20, 6.88515947, , 0, , 34.0, 36.2
