work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
cec-initial, 10, 400, 25, 10, 468.03, 9.12751228, 41, 4.65312999999998, 152457
base-cec-initial, 10, 400, 25, 10, 350.32, 6.69141806, , 0, 
cec-initial, 10, 400, 25, 10, 499.98, 9.31059547, 38, 4.14608299999998, 141354
base-cec-initial, 10, 400, 25, 10, 368.53, 6.75078030, , 0, 
cec-initial, 10, 400, 25, 10, 495.07, 9.17613590, 53, 2.6678, 196521
base-cec-initial, 10, 400, 25, 10, 340.28, 6.63450474, , 0, 
cec-initial, 10, 400, 25, 10, 463.81, 9.04905809, 37, 3.77937700000001, 137466
base-cec-initial, 10, 400, 25, 10, 346.16, 6.66278423, , 0, 
cec-initial, 10, 400, 25, 10, 454.85, 9.05896438, 50, 5.02183600000001, 185609
base-cec-initial, 10, 400, 25, 10, 339.50, 6.62405669, , 0, 
cec-initial, 10, 400, 25, 10, 480.19, 9.11418406, 65, 2.832042, 241268
base-cec-initial, 10, 400, 25, 10, 346.33, 6.62926099, , 0, 
cec-initial, 10, 400, 25, 10, 482.68, 9.13645416, 45, 4.94043199999999, 167120
base-cec-initial, 10, 400, 25, 10, 353.99, 6.70709168, , 0, 
cec-initial, 10, 400, 25, 10, 463.35, 9.08150103, 58, 1.822, 215010
base-cec-initial, 10, 400, 25, 10, 351.64, 6.67004091, , 0, 
cec-initial, 10, 400, 25, 10, 454.73, 9.02153518, 29, 4.13648999999998, 108106
base-cec-initial, 10, 400, 25, 10, 320.36, 6.57786841, , 0, 
cec-initial, 10, 400, 25, 10, 469.38, 9.10619041, 77, 3.920321, 285317
base-cec-initial, 10, 400, 25, 10, 333.91, 6.63572147, , 0, 
cec-initial, 10, 400, 25, 10, 451.56, 9.05019383, 47, 4.14686499999999, 174359
base-cec-initial, 10, 400, 25, 10, 320.05, 6.54157611, , 0, 
cec-initial, 10, 400, 25, 10, 452.65, 9.02827761, 35, 5.87768299999999, 130096
base-cec-initial, 10, 400, 25, 10, 315.54, 6.58317095, , 0, 
