work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
taskset-4, 10, 400, 25, 10, 556.96, 9.71280255, 49, 4.37416899999999, 181441, 35.4, 32.5
base-taskset-4, 10, 400, 25, 10, 447.38, 7.40431282, , 0, , 34.5, 33.4
taskset-4, 10, 400, 25, 10, 604.02, 9.93569610, 49, 6.943777, 181599, 37.9, 33.5
base-taskset-4, 10, 400, 25, 10, 562.53, 7.90798529, , 0, , 35.4, 33.4
taskset-4, 10, 400, 25, 10, 674.05, 10.37718316, 28, 5.636305, 104236, 39.6, 36.8
base-taskset-4, 10, 400, 25, 10, 431.27, 7.31548140, , 0, , 36.9, 33.4
taskset-4, 10, 400, 25, 10, 730.79, 10.77722936, 49, 3.638521, 181968, 35.0, 33.4
base-taskset-4, 10, 400, 25, 10, 510.07, 7.60385476, , 0, , 39.1, 36.2
taskset-4, 10, 400, 25, 10, 616.42, 10.11764907, 32, 4.816917, 118949, 47.1, 44.2
base-taskset-4, 10, 400, 25, 10, 392.62, 7.23520995, , 0, , 35.8, 33.4
taskset-4, 10, 400, 25, 10, 591.99, 10.00576003, 42, 6.010889, 155971, 35.9, 33.4
base-taskset-4, 10, 400, 25, 10, 420.31, 7.30728415, , 0, , 37.6, 33.9
taskset-4, 10, 400, 25, 10, 595.94, 9.98374330, 39, 5.86165099999999, 144774, 35.9, 32.0
base-taskset-4, 10, 400, 25, 10, 430.29, 7.35797051, , 0, , 38.6, 34.4
taskset-4, 10, 400, 25, 10, 656.41, 10.25557256, 94, 3.308594, 347838, 41.2, 33.9
base-taskset-4, 10, 400, 25, 10, 486.04, 7.42593524, , 0, , 37.6, 34.4
taskset-4, 10, 400, 25, 10, 652.81, 10.24716017, 50, 4.246899, 184979, 37.9, 33.4
base-taskset-4, 10, 400, 25, 10, 547.94, 7.72792701, , 0, , 37.9, 35.9
taskset-4, 10, 400, 25, 10, 625.37, 10.08772120, 38, 5.562137, 140720, 36.6, 34.4
base-taskset-4, 10, 400, 25, 10, 403.54, 7.16618417, , 0, , 36.4, 42.2
taskset-4, 10, 400, 25, 10, 470.04, 9.40653721, 48, 7.389043, 178097, 35.9, 33.0
base-taskset-4, 10, 400, 25, 10, 350.07, 6.91713057, , 0, , 34.5, 31.5
taskset-4, 10, 400, 25, 10, 477.08, 9.39619437, 61, 3.528352, 225748, 34.8, 32.5
base-taskset-4, 10, 400, 25, 10, 352.80, 6.97842860, , 0, , 38.6, 33.9
taskset-4, 10, 400, 25, 10, 466.25, 9.39270627, 42, 3.35577, 155628, 36.1, 32.5
base-taskset-4, 10, 400, 25, 10, 348.82, 6.94435369, , 0, , 38.1, 33.0
taskset-4, 10, 400, 25, 10, 456.22, 9.30416659, 54, 2.172819, 199747, 34.5, 32.5
base-taskset-4, 10, 400, 25, 10, 343.35, 6.93712802, , 0, , 35.9, 32.0
taskset-4, 10, 400, 25, 10, 468.97, 9.33475195, 90, 3.510755, 332939, 34.0, 32.0
base-taskset-4, 10, 400, 25, 10, 344.30, 6.90343325, , 0, , 34.0, 32.5
taskset-4, 10, 400, 25, 10, 457.22, 9.32537968, 27, 7.332307, 100120, 38.4, 32.5
base-taskset-4, 10, 400, 25, 10, 348.64, 6.92544871, , 0, , 34.0, 32.5
taskset-4, 10, 400, 25, 10, 460.39, 9.31704200, 67, 4.60232, 247849, 34.5, 32.0
base-taskset-4, 10, 400, 25, 10, 338.77, 6.91948386, , 0, , 33.8, 32.0
taskset-4, 10, 400, 25, 10, 452.60, 9.34185360, 30, 6.746906, 111496, 33.5, 31.5
base-taskset-4, 10, 400, 25, 10, 344.51, 6.92647159, , 0, , 34.0, 31.5
taskset-4, 10, 400, 25, 10, 460.62, 9.35592133, 39, 4.800335, 144466, 33.8, 32.0
base-taskset-4, 10, 400, 25, 10, 342.27, 6.90796349, , 0, , 34.2, 31.5
taskset-4, 10, 400, 25, 10, 464.03, 9.35132860, 63, 4.524679, 233277, 34.0, 31.5
base-taskset-4, 10, 400, 25, 10, 332.95, 6.92838272, , 0, , 35.2, 32.0
taskset-4, 10, 400, 25, 10, 457.38, 9.30187136, 39, 5.92946, 144567, 37.4, 31.5
base-taskset-4, 10, 400, 25, 10, 354.96, 6.96989276, , 0, , 35.0, 32.0
taskset-4, 10, 400, 25, 10, 540.74, 9.63232540, 47, 4.118865, 173908, 41.0, 33.9
base-taskset-4, 10, 400, 25, 10, 352.35, 7.01588406, , 0, , 34.0, 33.0
taskset-4, 10, 400, 25, 10, 502.30, 9.45485869, 50, 4.419898, 185311, 34.5, 32.0
