work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
taskset-5, 10, 400, 25, 10, 793.40, 10.17038846, 30, 9.358728, 111500, 52.1, 39.8
base-taskset-5, 10, 400, 25, 10, 646.52, 7.72032662, , 0, , 42.8, 42.1
taskset-5, 10, 400, 25, 10, 718.57, 9.82821216, 44, 2.817662, 163209, 37.9, 36.8
base-taskset-5, 10, 400, 25, 10, 528.51, 7.21911951, , 0, , 37.9, 37.8
taskset-5, 10, 400, 25, 10, 673.89, 9.65687478, 68, 3.74900600000001, 251680, 67.8, 37.2
base-taskset-5, 10, 400, 25, 10, 507.82, 7.14038916, , 0, , 36.6, 37.8
taskset-5, 10, 400, 25, 10, 684.94, 9.67365458, 27, 5.37872400000001, 100442, 36.6, 36.8
base-taskset-5, 10, 400, 25, 10, 488.70, 7.04933684, , 0, , 36.9, 37.2
taskset-5, 10, 400, 25, 10, 680.46, 9.67968911, 54, 3.462723, 200050, 36.4, 37.2
base-taskset-5, 10, 400, 25, 10, 492.91, 7.05326087, , 0, , 38.4, 39.0
taskset-5, 10, 400, 25, 10, 691.92, 9.73002055, 68, 2.58247900000001, 252030, 38.1, 37.8
base-taskset-5, 10, 400, 25, 10, 550.93, 7.36150081, , 0, , 64.4, 42.2
taskset-5, 10, 400, 25, 10, 720.77, 9.84575805, 44, 6.24829700000001, 162976, 37.4, 38.2
base-taskset-5, 10, 400, 25, 10, 677.54, 7.72620070, , 0, , 37.4, 37.8
taskset-5, 10, 400, 25, 10, 768.19, 10.07373088, 64, 3.810259, 236802, 58.5, 42.2
base-taskset-5, 10, 400, 25, 10, 495.08, 7.06637583, , 0, , 37.4, 38.2
taskset-5, 10, 400, 25, 10, 748.63, 9.94886561, 59, 4.794723, 218743, 36.6, 37.8
base-taskset-5, 10, 400, 25, 10, 553.52, 7.31278168, , 0, , 38.9, 37.8
taskset-5, 10, 400, 25, 10, 787.80, 10.16827787, 55, 6.76718200000001, 203703, 36.6, 36.8
base-taskset-5, 10, 400, 25, 10, 497.33, 7.09331629, , 0, , 37.4, 37.2
taskset-5, 10, 400, 25, 10, 688.41, 9.68589333, 35, 4.046645, 130095, 37.4, 38.8
base-taskset-5, 10, 400, 25, 10, 513.49, 7.20215349, , 0, , 36.1, 35.9
taskset-5, 10, 400, 25, 10, 668.91, 9.63509352, 59, 3.586034, 218588, 36.4, 38.5
base-taskset-5, 10, 400, 25, 10, 512.97, 7.16855227, , 0, , 36.6, 36.8
taskset-5, 10, 400, 25, 10, 786.55, 10.11644435, 30, 6.47165100000001, 111346, 36.9, 36.8
base-taskset-5, 10, 400, 25, 10, 488.63, 7.03700007, , 0, , 36.9, 35.9
taskset-5, 10, 400, 25, 10, 701.40, 9.75860985, 28, 5.00901300000001, 104251, 36.9, 36.8
base-taskset-5, 10, 400, 25, 10, 568.60, 7.41994291, , 0, , 41.8, 39.4
taskset-5, 10, 400, 25, 10, 695.09, 9.72899793, 43, 5.05295100000001, 159369, 35.9, 35.9
base-taskset-5, 10, 400, 25, 10, 494.69, 7.06086204, , 0, , 36.4, 35.9
taskset-5, 10, 400, 25, 10, 729.25, 9.86864151, 39, 7.808075, 144638, 40.8, 39.9
base-taskset-5, 10, 400, 25, 10, 553.92, 7.34166160, , 0, , 37.1, 36.8
taskset-5, 10, 400, 25, 10, 726.88, 9.88131144, 40, 3.400704, 148472, 38.4, 37.5
base-taskset-5, 10, 400, 25, 10, 547.42, 7.32159936, , 0, , 39.9, 38.8
taskset-5, 10, 400, 25, 10, 806.03, 10.25066507, 70, 5.399175, 259429, 38.4, 37.5
base-taskset-5, 10, 400, 25, 10, 498.68, 7.08429964, , 0, , 46.8, 38.8
taskset-5, 10, 400, 25, 10, 681.38, 9.68026001, 32, 4.992721, 118849, 36.9, 37.5
base-taskset-5, 10, 400, 25, 10, 521.20, 7.20843439, , 0, , 40.2, 39.9
taskset-5, 10, 400, 25, 10, 687.97, 9.69640569, 34, 7.92587900000001, 126382, 36.4, 37.2
base-taskset-5, 10, 400, 25, 10, 568.85, 7.43628160, , 0, , 38.4, 38.5
taskset-5, 10, 400, 25, 10, 782.92, 10.17982007, 63, 3.929641, 233527, 36.4, 36.2
base-taskset-5, 10, 400, 25, 10, 589.98, 7.57822002, , 0, , 39.4, 38.8
taskset-5, 10, 400, 25, 10, 724.95, 9.86598880, 35, 3.46091, 130026, 43.2, 37.8
base-taskset-5, 10, 400, 25, 10, 509.13, 7.15575179, , 0, , 36.4, 36.2
taskset-5, 10, 400, 25, 10, 810.08, 10.23856382, 36, 3.57265200000001, 133795, 36.6, 36.2
base-taskset-5, 10, 400, 25, 10, 635.29, 7.69212528, , 0, , 45.8, 44.6
taskset-5, 10, 400, 25, 10, 798.96, 10.20974105, 75, 3.12876900000001, 277630, 39.9, 39.0
base-taskset-5, 10, 400, 25, 10, 589.32, 7.47942936, , 0, , 40.4, 41.6
taskset-5, 10, 400, 25, 10, 763.90, 10.06613571, 64, 3.42107800000001, 237167, 36.9, 37.8
base-taskset-5, 10, 400, 25, 10, 513.84, 7.13978872, , 0, , 38.4, 38.8
taskset-5, 10, 400, 25, 10, 716.39, 9.74777869, 30, 4.97200600000001, 111581, 43.8, 38.8
base-taskset-5, 10, 400, 25, 10, 536.27, 7.23077276, , 0, , 39.9, 38.2
taskset-5, 10, 400, 25, 10, 720.74, 9.79806624, 101, 3.96089500000001, 373861, 37.6, 37.8
base-taskset-5, 10, 400, 25, 10, 554.98, 7.31448685, , 0, , 37.9, 37.8
taskset-5, 10, 400, 25, 10, 798.02, 10.20558110, 54, 1.493577, 200093, 39.1, 38.2
base-taskset-5, 10, 400, 25, 10, 646.57, 7.61482159, , 0, , 37.6, 39.9
taskset-5, 10, 400, 25, 10, 772.21, 10.01245611, 49, 4.230548, 181790, 41.8, 41.9
base-taskset-5, 10, 400, 25, 10, 582.71, 7.45639118, , 0, , 37.1, 36.8
taskset-5, 10, 400, 25, 10, 847.60, 10.44992691, 32, 4.34688800000001, 118703, 38.6, 38.2
base-taskset-5, 10, 400, 25, 10, 514.51, 7.16459549, , 0, , 42.8, 42.8
base-taskset-5, 10, 200, 10, 10, 488.36, 7.04742864, , 0, , 37.4, 35.9
taskset-5, 10, 200, 10, 10, 711.77, 9.79549933, 13, 6.314577, 24400, 41.5, 40.9
base-taskset-5, 10, 200, 10, 10, 562.16, 7.26286000, , 0, , 37.9, 39.0
taskset-5, 10, 200, 10, 10, 919.99, 10.70860417, 21, 8.258678, 39203, 43.8, 40.4
base-taskset-5, 10, 200, 10, 10, 583.29, 7.49024460, , 0, , 40.4, 41.4
